,Bagging-Genie3-10,Bagging-Genie3-100,Bagging-Genie3-150,Bagging-Genie3-200,Bagging-Genie3-25,Bagging-Genie3-250,Bagging-Genie3-50,Bagging-Genie3-75,Bagging-RForest-10,Bagging-RForest-100,Bagging-RForest-150,Bagging-RForest-200,Bagging-RForest-25,Bagging-RForest-250,Bagging-RForest-50,Bagging-RForest-75,Bagging-Symbolic-10,Bagging-Symbolic-100,Bagging-Symbolic-150,Bagging-Symbolic-200,Bagging-Symbolic-25,Bagging-Symbolic-250,Bagging-Symbolic-50,Bagging-Symbolic-75,ExtraTrees-Genie3-10,ExtraTrees-Genie3-100,ExtraTrees-Genie3-150,ExtraTrees-Genie3-200,ExtraTrees-Genie3-25,ExtraTrees-Genie3-250,ExtraTrees-Genie3-50,ExtraTrees-Genie3-75,ExtraTrees-Symbolic-10,ExtraTrees-Symbolic-100,ExtraTrees-Symbolic-150,ExtraTrees-Symbolic-200,ExtraTrees-Symbolic-25,ExtraTrees-Symbolic-250,ExtraTrees-Symbolic-50,ExtraTrees-Symbolic-75,RForest-Genie3-10,RForest-Genie3-100,RForest-Genie3-150,RForest-Genie3-200,RForest-Genie3-25,RForest-Genie3-250,RForest-Genie3-50,RForest-Genie3-75,RForest-RForest-10,RForest-RForest-100,RForest-RForest-150,RForest-RForest-200,RForest-RForest-25,RForest-RForest-250,RForest-RForest-50,RForest-RForest-75,RForest-Symbolic-10,RForest-Symbolic-100,RForest-Symbolic-150,RForest-Symbolic-200,RForest-Symbolic-25,RForest-Symbolic-250,RForest-Symbolic-50,RForest-Symbolic-75
Arts1,9.8441,10.0217,10.0339,10.0268,9.8529,9.938,10.065,10.0533,10.2635,10.627,10.6999,10.7012,10.5281,10.6744,10.6156,10.6808,10.2089,9.8338,9.7617,9.79,9.8741,9.8293,9.7256,9.8089,10.0801,10.0801,10.0801,10.0801,10.0801,10.0801,10.0801,10.0801,10.3319,10.3338,10.3409,10.3306,10.3348,10.3415,10.3322,10.3271,10.855,11.2516,11.1413,11.049,10.6347,11.0369,11.2723,11.2686,11.3478,11.315,11.4584,11.2691,10.8656,11.1466,11.2882,11.2694,10.2044,10.0305,9.9268,9.9263,10.1432,9.9083,9.9056,10.0398
bibtex,84.9388,84.4123,84.738,84.7523,84.4676,84.6219,83.9976,84.3197,88.7686,88.5606,88.6159,88.3845,89.3928,88.468,88.4044,88.0732,87.0763,86.7443,85.6028,86.0429,86.7909,86.0072,86.0437,86.3515,105.8827,105.8827,105.8827,105.8827,105.8827,105.8827,105.8827,105.8827,112.293,112.2414,112.2926,112.2942,112.2417,112.1857,112.2942,112.2414,85.4922,86.1225,86.0119,86.1579,86.0262,85.8915,86.3654,86.0783,97.8036,97.4505,97.2425,97.4278,97.0087,97.1205,97.0628,97.3419,88.9944,80.9602,80.5479,80.1177,88.6485,80.2767,82.0867,81.7924
birds,6.6279,6.436,6.436,6.4186,6.3779,6.4186,6.436,6.4419,7.4244,7.1047,7.093,7.0116,7.1337,7.1047,7.0756,7.0698,6.6221,6.5756,6.5988,6.5872,6.6977,6.6686,6.6628,6.6047,7.093,6.9419,6.9535,6.9593,6.9767,6.9709,6.9651,6.9826,6.5291,6.5174,6.5174,6.4942,6.5465,6.4709,6.5174,6.5116,7.064,7.1337,7.2035,7.1802,7.436,7.1337,7.1221,7.1977,7.564,7.6221,7.6977,7.6453,7.6395,7.5581,7.686,7.7384,6.8721,7.5698,7.4186,7.4826,7.3837,7.564,7.3081,7.3256
Business1,6.5392,6.6493,6.6083,6.5923,6.7349,6.6066,6.7057,6.6299,6.5957,6.996,6.9766,6.9646,6.9342,6.9807,6.9068,6.9804,6.5467,6.2992,6.3036,6.2645,6.2998,6.2616,6.3216,6.3003,6.1025,6.1025,6.1025,6.1025,6.1025,6.1025,6.1025,6.1025,6.3041,6.3041,6.3041,6.3041,6.3041,6.3038,6.3041,6.3041,6.6539,6.7451,6.6577,6.6497,6.6404,6.6086,6.7367,6.6341,6.5994,6.7237,6.6428,6.6855,6.7133,6.6664,6.7104,6.7164,6.2242,6.1512,6.139,6.1225,6.159,6.0769,6.1239,6.1379
Computers1,10.201,10.4054,10.3994,10.4316,10.1038,10.4627,10.2956,10.438,9.823,10.3416,10.3615,10.3426,10.2085,10.2658,10.2731,10.2154,9.771,9.9052,10.0016,9.9872,9.8306,9.9082,9.7909,9.7739,9.4943,9.4943,9.4943,9.4943,9.4943,9.4943,9.4943,9.4943,10.2292,10.2315,10.2431,10.224,10.2371,10.242,10.2245,10.2374,9.7483,10.0055,10.0826,10.1145,10.172,10.2281,10.105,10.1446,9.9336,10.1754,10.0831,10.0133,10.116,10.0335,10.1672,10.2834,9.7593,9.4976,9.3473,9.2907,9.678,9.3325,9.6649,9.4431
corel5k,296.636,301.92,300.648,301.316,299.298,301.328,300.572,302.654,304.52,349.16,349.74,343.872,335.338,308.752,349.714,349.686,296.472,293.526,296.648,293.182,290.094,290.58,287.924,298.728,308.732,308.732,308.732,308.732,308.732,308.732,308.732,308.732,340.532,340.532,340.532,340.532,340.532,340.532,340.532,340.532,306.878,303.578,304.184,306.862,308.816,306.196,308.818,307.008,348.1,354.52,354.52,354.52,353.78,354.52,354.52,354.52,297.268,299.556,302.894,307.964,290.712,301.188,303.566,307.3
delicious,910.8032,911.0685,911.3345,910.7752,910.9604,911.0402,911.3317,911.3181,904.7938,903.9431,904.542,904.2971,904.7856,904.2603,903.7633,903.7287,909.4464,909.5819,909.8004,909.2506,910.8645,910.6897,911.3917,912.0179,908.337,908.337,908.337,908.337,908.337,908.337,908.337,908.337,918.6334,918.6322,918.6334,918.6297,918.6322,918.6322,918.6297,918.6319,908.2179,910.0714,909.7828,909.2807,909.2223,909.8482,909.828,909.5193,905.6202,902.85,903.3807,903.0358,904.7463,903.5687,904.4319,902.3832,909.6086,908.3455,905.9142,907.5907,909.2814,908.2785,910.8158,909.4338
Education1,9.7245,9.7127,9.7962,9.8278,9.7293,9.8182,9.8028,9.7412,9.6683,9.9102,9.9773,9.934,9.7255,9.966,10.0078,9.9132,9.7658,9.8547,9.7888,9.8622,9.8337,9.9438,9.965,10.1125,9.6922,9.6922,9.6922,9.6922,9.6922,9.6922,9.6922,9.6922,9.7207,9.7193,9.7193,9.7193,9.7193,9.7193,9.7193,9.7193,9.7985,10.162,10.0858,10.0853,9.9867,10.0192,10.096,10.096,10.324,10.4795,10.255,10.2378,10.0455,10.1588,10.0865,10.4623,9.576,9.1227,9.287,9.2855,9.4028,9.2255,9.3872,9.3728
emotions,2.901,2.8861,2.8861,2.8812,2.9158,2.896,2.8911,2.8614,2.8861,2.9109,2.9109,2.9257,2.9257,2.9208,2.9158,2.8861,2.8861,2.9158,2.9059,2.9356,2.9406,2.9208,2.9307,2.9109,2.8911,2.901,2.9109,2.9059,2.8663,2.896,2.8812,2.8812,2.9208,2.9455,2.9406,2.9257,2.9208,2.9257,2.901,2.9158,2.8564,2.8564,2.8614,2.8515,2.8812,2.8515,2.8861,2.8911,2.9406,2.9802,2.9802,2.9604,2.9604,2.9851,2.9752,2.9901,2.8762,2.8812,2.8713,2.8614,2.8812,2.8861,2.896,2.9208
enron,24.7444,24.6114,24.6062,24.6252,24.8221,24.4646,24.6062,24.6632,27.1399,27.0121,27.0967,27.0069,26.9793,26.9223,27.1174,26.9724,22.9689,22.6788,22.7513,22.7997,23.2815,22.6131,22.734,23.0225,25.5976,25.5976,25.5976,25.5976,25.5976,25.5976,25.5976,25.5976,26.3126,26.3126,26.3264,26.3126,26.3126,26.3264,26.3126,26.3264,25.2729,24.924,25.1693,25.0276,25.494,25.0604,24.7081,24.9206,27.0449,27.057,27.1537,27.1969,27.5181,27.3851,27.1969,27.3696,25.6131,23.7444,24.0881,23.8912,24.4249,23.9896,23.7358,23.9171
Entertainment1,6.724,6.6577,6.6574,6.5781,6.9187,6.6398,6.9561,6.7761,6.939,6.6409,6.5656,6.6341,6.7766,6.6089,6.6821,6.6715,6.8164,7.1679,7.0356,7.0654,6.9587,7.0927,6.9007,6.9857,6.6934,6.6927,6.6927,6.6927,6.6927,6.6927,6.6927,6.6927,6.7383,6.738,6.7386,6.738,6.738,6.7341,6.738,6.7383,6.5855,6.5331,6.4947,6.5496,6.6345,6.5375,6.5861,6.5008,6.7247,6.486,6.4725,6.5806,6.7689,6.5976,6.5515,6.5187,6.6754,6.4473,6.4807,6.4308,6.4829,6.4492,6.3737,6.396
genbase,1.603,1.603,1.603,1.603,1.603,1.603,1.603,1.603,1.6131,1.6131,1.6131,1.608,1.6131,1.608,1.6131,1.6131,1.603,1.608,1.608,1.608,1.608,1.608,1.608,1.608,1.6131,1.6131,1.6131,1.6131,1.6131,1.6131,1.6131,1.6131,2.2111,2.2111,2.2111,2.2111,2.2111,2.2111,2.2111,2.2111,1.6231,1.608,1.608,1.608,1.603,1.608,1.603,1.603,4.2965,1.6131,1.6131,1.6131,2.3266,1.6131,1.6332,1.6231,1.7136,1.6131,1.608,1.6131,1.6683,1.608,1.6382,1.6181
Health1,7.9494,7.8662,7.863,7.8961,7.727,7.9458,8.0303,7.9251,8.2087,8.4398,8.3696,8.4365,8.2334,8.4253,8.4617,8.5009,8.0966,8.0254,8.1177,8.1594,8.0678,8.1807,7.9929,8.0331,7.5669,7.5669,7.5669,7.5669,7.5669,7.5669,7.5663,7.5669,8.2392,8.2352,8.2395,8.2347,8.2352,8.2395,8.2347,8.2392,7.9673,9.449,9.5435,9.3059,8.7132,9.5652,8.872,8.9905,8.1577,9.3754,9.9994,9.7111,8.9927,9.7037,9.0194,9.2646,8.548,7.7334,7.7108,7.7336,8.2474,7.7926,8.0559,7.9318
mediamill,41.5085,41.4919,41.5257,41.5021,41.4998,41.5055,41.5521,41.6046,41.6323,41.6117,41.6146,41.6271,41.6466,41.5931,41.6254,41.602,41.9992,42.2952,42.1806,42.2114,42.1387,42.2521,42.1801,42.211,41.4739,41.4022,41.4141,41.3627,41.4184,41.3641,41.3695,41.37,41.6055,41.4048,41.4438,41.418,41.1245,41.474,41.5223,41.6643,41.586,41.5308,41.4885,41.4785,41.5033,41.4591,41.478,41.48,41.5059,41.4554,41.4443,41.4173,41.4855,41.4221,41.4148,41.4547,41.725,41.3174,41.4085,41.421,41.6138,41.3598,41.2882,41.2227
medical,6.5676,6.2372,6.2102,6.3333,6.4835,6.2192,6.2402,6.2312,6.4595,6.7868,6.6607,6.6787,6.6877,6.7688,6.7988,6.7297,7.3784,7.3874,7.0781,7.1081,8.1351,7.3273,7.2462,7.03,8.4775,8.4775,8.4775,8.4775,8.4775,8.4775,8.4775,8.4775,9.4715,9.4715,9.4715,9.4715,9.4715,9.4715,9.4715,9.4715,7.3453,6.9339,6.958,6.7057,6.8739,6.8288,6.8529,6.952,6.6817,7.2042,7.2673,7.1532,6.6517,7.2462,7.1291,6.994,8.1291,7.021,7.0841,7.1532,7.6456,6.9489,7.2072,6.4625
Recreation1,8.1614,8.0956,8.0623,8.0642,8.0928,8.0738,8.124,8.0565,8.6981,8.6398,8.6445,8.6782,8.7356,8.7057,8.6855,8.6741,8.5112,8.5315,8.5358,8.5183,8.4601,8.5054,8.4636,8.5079,8.0551,8.093,7.9953,7.9895,7.9975,8.0071,8.0255,8.0365,8.2602,8.0714,8.115,8.0274,8.2152,8.1032,8.1129,8.0629,8.2289,8.1359,8.2031,8.156,8.0695,8.2097,7.9578,8.0996,8.9803,8.792,8.8649,8.7735,8.7584,8.7886,8.5713,8.7773,8.5147,8.126,8.0247,7.91,8.3242,7.8595,7.922,8.1271
Reference1,10.7925,10.947,11.0988,11.101,10.867,11.0808,10.8183,10.9153,11.86,11.875,11.9415,11.8525,11.8532,12.067,12.014,11.893,9.2882,9.414,9.3227,9.3942,9.109,9.4428,9.3362,9.505,10.1148,10.1148,10.1148,10.1148,10.1148,10.1148,10.1148,10.1148,9.9213,9.9207,9.921,9.9207,9.9207,9.9207,9.921,9.9213,11.7423,13.2037,13.2282,13.2703,12.3045,13.241,12.753,13.1323,11.9522,13.5725,13.5663,13.545,12.4635,13.58,13.1605,13.3793,10.413,9.6395,9.6745,9.559,9.9757,9.816,9.7427,9.5715
scene,1.7809,1.75,1.7533,1.76,1.7634,1.76,1.755,1.7508,1.7166,1.7023,1.7057,1.7082,1.7124,1.7057,1.7007,1.6931,1.8804,1.8478,1.8319,1.8328,1.852,1.8353,1.852,1.847,1.714,1.709,1.7149,1.7057,1.714,1.709,1.7166,1.7249,1.8135,1.7809,1.7809,1.7759,1.7809,1.7793,1.7784,1.7751,1.7416,1.7048,1.7115,1.7007,1.7157,1.7124,1.7107,1.7023,1.7048,1.7032,1.7015,1.7032,1.7191,1.6982,1.6998,1.7032,1.8135,1.745,1.7584,1.7642,1.7717,1.7525,1.7567,1.7441
Science1,14.7044,14.8634,14.7228,14.734,14.8015,14.7582,14.8836,14.9032,15.7558,15.691,15.7175,15.5943,15.7651,15.57,16.0025,15.7131,15.7713,15.3821,15.3619,15.7455,15.5535,15.7626,15.5806,15.5258,14.8426,14.8426,14.8426,14.8426,14.8426,14.8426,14.8426,14.8426,16.3046,16.3043,16.3043,16.3046,16.3043,16.3037,16.3046,16.3043,16.4751,15.9907,15.6521,15.8332,16.0414,15.7498,16.4042,16.0722,16.7663,16.9499,16.3479,16.3591,16.7066,16.2822,17.0414,17.1736,15.5538,14.2806,14.865,14.9512,14.925,14.8326,14.9331,14.8149
Social1,8.989,9.1385,9.1717,9.2605,9.0477,9.2598,8.9738,9.0046,9.1096,9.0392,9.1278,9.0957,9.1082,9.0497,9.0688,9.0741,9.1098,8.9951,9.1971,9.2043,9.1478,9.1836,9.0362,9.0672,8.9045,8.9045,8.9045,8.9045,8.9045,8.9045,8.9045,8.9045,9.1506,9.1506,9.1506,9.1506,9.1506,9.1506,9.1506,9.1506,9.1811,9.5329,9.4867,9.5879,9.7336,9.4527,9.6632,9.5084,9.1656,9.4075,9.5584,9.5739,9.3731,9.4865,9.4626,9.5384,9.5484,8.7753,8.8495,8.8696,8.9728,8.7743,8.9024,9.0272
Society1,10.6874,10.6598,10.6466,10.6183,10.6747,10.6439,10.7041,10.6741,10.9798,11.1289,11.1159,11.1468,11.1328,11.2058,11.117,11.0155,10.6113,10.5589,10.6711,10.6447,10.4383,10.6399,10.5486,10.6035,10.5796,10.5748,10.6115,10.6198,10.5487,10.6563,10.5769,10.5365,10.6766,10.5386,10.6801,10.5631,10.6324,10.6805,10.6371,10.6022,10.6093,11.2277,11.2585,11.2701,10.8808,11.2833,11.0921,11.1252,11.0217,11.3708,11.3448,11.3954,11.134,11.3455,11.2918,11.2708,10.6924,10.2467,10.1576,10.2067,10.3623,10.1035,10.3125,10.418
tmc2007-500,3.7998,3.8136,3.8159,3.8107,3.8123,3.8087,3.8133,3.8162,3.6852,3.6908,3.6934,3.6932,3.689,3.6928,3.6942,3.6951,3.8781,3.8911,3.8881,3.8867,3.9231,3.8847,3.9073,3.8966,4.2632,4.2632,4.2632,4.2632,4.2632,4.2632,4.2632,4.2632,4.8074,4.8075,4.8078,4.8077,4.8075,4.8074,4.8077,4.8077,3.755,3.7392,3.7401,3.7368,3.7571,3.7404,3.749,3.7474,3.6921,3.7072,3.7065,3.7064,3.6938,3.7031,3.6982,3.7052,4.0509,3.8665,3.8635,3.8562,3.9914,3.8699,3.8844,3.8936
yeast,7.8746,7.8615,7.8899,7.8811,7.8408,7.8844,7.8582,7.8604,7.8615,7.8561,7.843,7.8332,7.8168,7.8342,7.843,7.843,7.9684,7.9182,7.8986,7.8844,7.9269,7.8462,7.8986,7.8648,7.7939,7.8637,7.8255,7.8408,7.8441,7.8473,7.8255,7.8375,7.7895,7.843,7.8408,7.8081,7.8419,7.7961,7.8528,7.8637,7.8135,7.843,7.8124,7.7917,7.8233,7.8222,7.8364,7.8037,7.8571,7.8288,7.8408,7.8386,7.8146,7.8419,7.8364,7.8255,7.9237,7.8222,7.8899,7.8473,7.7895,7.8397,7.8626,7.8222
zbookmarks,111.7821,111.9882,111.9901,111.9635,111.7087,111.9314,111.9081,111.8948,109.3455,109.4208,109.5014,109.4615,109.3949,109.5087,109.4578,109.5423,117.3919,114.4949,114.5052,114.2661,114.9323,114.7315,113.9886,114.6751,118.8947,118.8947,118.8947,118.8947,118.8947,118.8947,118.8947,118.8947,128.9623,128.986,128.9801,128.9847,128.984,128.9757,128.9852,128.9596,109.6605,109.8175,109.8175,109.8175,109.8175,109.8175,109.8175,109.8175,110.0545,109.9471,109.9471,109.9471,109.9471,109.9471,109.9471,109.9471,112.8873,110.3291,110.3291,110.3291,110.3291,110.3291,110.3291,110.3291
