,Bagging-Genie3-10,Bagging-Genie3-100,Bagging-Genie3-150,Bagging-Genie3-200,Bagging-Genie3-25,Bagging-Genie3-250,Bagging-Genie3-50,Bagging-Genie3-75,Bagging-RForest-10,Bagging-RForest-100,Bagging-RForest-150,Bagging-RForest-200,Bagging-RForest-25,Bagging-RForest-250,Bagging-RForest-50,Bagging-RForest-75,Bagging-Symbolic-10,Bagging-Symbolic-100,Bagging-Symbolic-150,Bagging-Symbolic-200,Bagging-Symbolic-25,Bagging-Symbolic-250,Bagging-Symbolic-50,Bagging-Symbolic-75,ExtraTrees-Genie3-10,ExtraTrees-Genie3-100,ExtraTrees-Genie3-150,ExtraTrees-Genie3-200,ExtraTrees-Genie3-25,ExtraTrees-Genie3-250,ExtraTrees-Genie3-50,ExtraTrees-Genie3-75,ExtraTrees-Symbolic-10,ExtraTrees-Symbolic-100,ExtraTrees-Symbolic-150,ExtraTrees-Symbolic-200,ExtraTrees-Symbolic-25,ExtraTrees-Symbolic-250,ExtraTrees-Symbolic-50,ExtraTrees-Symbolic-75,RForest-Genie3-10,RForest-Genie3-100,RForest-Genie3-150,RForest-Genie3-200,RForest-Genie3-25,RForest-Genie3-250,RForest-Genie3-50,RForest-Genie3-75,RForest-RForest-10,RForest-RForest-100,RForest-RForest-150,RForest-RForest-200,RForest-RForest-25,RForest-RForest-250,RForest-RForest-50,RForest-RForest-75,RForest-Symbolic-10,RForest-Symbolic-100,RForest-Symbolic-150,RForest-Symbolic-200,RForest-Symbolic-25,RForest-Symbolic-250,RForest-Symbolic-50,RForest-Symbolic-75
Arts1,0.060007,0.061445,0.061659,0.061914,0.060772,0.061771,0.060792,0.061312,0.062291,0.064555,0.064993,0.064942,0.063749,0.064565,0.064004,0.06537,0.05967,0.059212,0.058671,0.059793,0.060435,0.059997,0.060078,0.059885,0.06171,0.06171,0.06171,0.06171,0.06171,0.06171,0.06171,0.06171,0.059752,0.059772,0.059752,0.059762,0.059762,0.059742,0.059762,0.059732,0.065401,0.065126,0.065054,0.06431,0.063729,0.064697,0.06328,0.065574,0.067257,0.06689,0.067654,0.066003,0.062729,0.065411,0.063127,0.067165,0.059823,0.059089,0.060323,0.060496,0.059028,0.060068,0.058885,0.058528
bibtex,0.013711,0.013729,0.013729,0.013754,0.013741,0.013746,0.013741,0.013729,0.013967,0.013972,0.013992,0.013974,0.014004,0.013982,0.013999,0.013967,0.013851,0.013764,0.013774,0.013756,0.013839,0.013731,0.013804,0.013751,0.014332,0.014332,0.014332,0.014332,0.014332,0.014332,0.014332,0.014332,0.014519,0.014517,0.014519,0.014519,0.014519,0.014519,0.014519,0.014519,0.013756,0.013784,0.013764,0.013786,0.013774,0.013761,0.013789,0.013794,0.014352,0.014312,0.014324,0.014334,0.014327,0.014339,0.014317,0.014327,0.013771,0.013536,0.013554,0.013529,0.013634,0.013511,0.013564,0.013576
birds,0.049536,0.049699,0.049699,0.049699,0.050187,0.049699,0.050024,0.049536,0.049536,0.049373,0.049373,0.049699,0.049699,0.049699,0.049861,0.049699,0.048884,0.049047,0.049047,0.049047,0.048721,0.049047,0.048395,0.049047,0.048721,0.048395,0.048721,0.048721,0.048721,0.048721,0.049047,0.048721,0.050513,0.050676,0.050676,0.050676,0.050676,0.050676,0.050676,0.050513,0.048721,0.047417,0.047254,0.047906,0.048069,0.047743,0.047743,0.047091,0.048232,0.049047,0.049047,0.048884,0.04921,0.049047,0.049047,0.04921,0.048884,0.045136,0.045462,0.044973,0.045136,0.04481,0.045462,0.045788
Business1,0.026962,0.02692,0.026865,0.026938,0.027029,0.026871,0.026805,0.026883,0.028077,0.028131,0.028143,0.028119,0.028131,0.028143,0.02804,0.028198,0.027707,0.027338,0.027247,0.02735,0.027701,0.027453,0.027404,0.02715,0.027083,0.027095,0.027089,0.027083,0.027089,0.027077,0.027083,0.027089,0.028325,0.028307,0.028331,0.028319,0.028313,0.028325,0.028319,0.028331,0.027507,0.027683,0.027641,0.027677,0.027507,0.027641,0.027653,0.027647,0.028379,0.028452,0.02847,0.028422,0.028343,0.028349,0.02847,0.028555,0.028052,0.028809,0.028549,0.028107,0.028167,0.027792,0.028282,0.027877
Computers1,0.036581,0.03634,0.036424,0.036468,0.036394,0.036585,0.036463,0.036404,0.037287,0.03742,0.037386,0.037469,0.037582,0.037459,0.037395,0.037361,0.036905,0.036527,0.036581,0.036424,0.036566,0.03716,0.036713,0.036605,0.035977,0.035977,0.035977,0.035977,0.035977,0.035977,0.035977,0.035977,0.037449,0.03742,0.037444,0.03742,0.03742,0.03744,0.03742,0.037425,0.037096,0.036954,0.037278,0.037066,0.036541,0.037302,0.037189,0.037052,0.03824,0.038583,0.038652,0.03848,0.038397,0.038681,0.038563,0.038652,0.037523,0.036404,0.036276,0.036124,0.036919,0.036085,0.036561,0.036242
corel5k,0.0094278,0.0094011,0.0094064,0.0094011,0.0094439,0.0094118,0.0093797,0.0094118,0.0094332,0.011385,0.011781,0.010856,0.012021,0.0095829,0.011674,0.011722,0.0094545,0.0096364,0.0095989,0.0095829,0.0095936,0.0095775,0.0095294,0.0095241,0.0094759,0.0094759,0.0094759,0.0094759,0.0094759,0.0094759,0.0094759,0.0094759,0.0094439,0.0094439,0.0094439,0.0094439,0.0094439,0.0094439,0.0094439,0.0094439,0.0093422,0.0093636,0.0093743,0.0093476,0.0093636,0.0093369,0.009385,0.0093743,0.011936,0.011995,0.011995,0.011995,0.011989,0.011995,0.011995,0.011995,0.0094813,0.0094545,0.0094813,0.0094813,0.0095401,0.0094118,0.0094171,0.0094545
delicious,0.018488,0.018477,0.018478,0.01848,0.018477,0.018478,0.018469,0.018474,0.018564,0.018585,0.018585,0.018581,0.018585,0.018578,0.018579,0.018589,0.018559,0.018563,0.018549,0.018557,0.018533,0.018553,0.01855,0.018556,0.018526,0.018526,0.018526,0.018526,0.018526,0.018526,0.018526,0.018526,0.018814,0.018815,0.018811,0.018815,0.018814,0.018812,0.018816,0.018812,0.018457,0.018455,0.018457,0.01845,0.018457,0.018452,0.018464,0.018464,0.018566,0.018502,0.018502,0.018505,0.018514,0.0185,0.018498,0.018491,0.018619,0.018481,0.018496,0.018471,0.018601,0.018468,0.018573,0.018554
Education1,0.042212,0.042051,0.042096,0.042071,0.042071,0.042076,0.042096,0.042045,0.043768,0.043869,0.043899,0.043828,0.044086,0.043798,0.043859,0.043753,0.041591,0.041929,0.041803,0.041924,0.041899,0.041722,0.041742,0.042035,0.04199,0.04199,0.04199,0.04199,0.04199,0.04199,0.04199,0.04199,0.040894,0.040894,0.040894,0.040894,0.040894,0.040894,0.040894,0.040894,0.042576,0.043167,0.043101,0.043111,0.043172,0.043157,0.043308,0.043222,0.044005,0.04404,0.043909,0.043854,0.04399,0.04398,0.043894,0.044056,0.042485,0.040697,0.040636,0.041167,0.041152,0.041803,0.04051,0.040919
emotions,0.18317,0.18317,0.18399,0.18234,0.18317,0.18152,0.18729,0.18317,0.18812,0.18647,0.19224,0.19307,0.18812,0.19224,0.18812,0.19059,0.18069,0.19059,0.19307,0.18977,0.18482,0.19142,0.18647,0.18977,0.17574,0.18069,0.18069,0.18399,0.18317,0.18152,0.18729,0.18482,0.19224,0.18812,0.19224,0.18894,0.19307,0.18894,0.18894,0.18894,0.18317,0.19142,0.18894,0.18812,0.18564,0.18647,0.19142,0.19142,0.19142,0.19224,0.19554,0.19554,0.19472,0.19802,0.19554,0.19967,0.17657,0.18647,0.18812,0.19224,0.18564,0.18812,0.18729,0.18647
enron,0.051227,0.050477,0.050184,0.050184,0.050445,0.050184,0.050673,0.050314,0.055659,0.056017,0.055887,0.056082,0.055854,0.055919,0.055724,0.055952,0.051781,0.051748,0.051846,0.051357,0.051683,0.051097,0.051976,0.052042,0.051781,0.051781,0.051781,0.051781,0.051781,0.051781,0.051781,0.051781,0.054779,0.054779,0.054779,0.054779,0.054779,0.054779,0.054779,0.054779,0.05139,0.051911,0.051781,0.051944,0.051781,0.052107,0.052237,0.052367,0.055268,0.055757,0.055757,0.055626,0.055724,0.055463,0.055724,0.055594,0.051357,0.050999,0.050803,0.050543,0.050608,0.051259,0.050152,0.050021
