,Bagging-Genie3-10,Bagging-Genie3-100,Bagging-Genie3-150,Bagging-Genie3-200,Bagging-Genie3-25,Bagging-Genie3-250,Bagging-Genie3-50,Bagging-Genie3-75,Bagging-RForest-10,Bagging-RForest-100,Bagging-RForest-150,Bagging-RForest-200,Bagging-RForest-25,Bagging-RForest-250,Bagging-RForest-50,Bagging-RForest-75,Bagging-Symbolic-10,Bagging-Symbolic-100,Bagging-Symbolic-150,Bagging-Symbolic-200,Bagging-Symbolic-25,Bagging-Symbolic-250,Bagging-Symbolic-50,Bagging-Symbolic-75,ExtraTrees-Genie3-10,ExtraTrees-Genie3-100,ExtraTrees-Genie3-150,ExtraTrees-Genie3-200,ExtraTrees-Genie3-25,ExtraTrees-Genie3-250,ExtraTrees-Genie3-50,ExtraTrees-Genie3-75,ExtraTrees-Symbolic-10,ExtraTrees-Symbolic-100,ExtraTrees-Symbolic-150,ExtraTrees-Symbolic-200,ExtraTrees-Symbolic-25,ExtraTrees-Symbolic-250,ExtraTrees-Symbolic-50,ExtraTrees-Symbolic-75,RForest-Genie3-10,RForest-Genie3-100,RForest-Genie3-150,RForest-Genie3-200,RForest-Genie3-25,RForest-Genie3-250,RForest-Genie3-50,RForest-Genie3-75,RForest-RForest-10,RForest-RForest-100,RForest-RForest-150,RForest-RForest-200,RForest-RForest-25,RForest-RForest-250,RForest-RForest-50,RForest-RForest-75,RForest-Symbolic-10,RForest-Symbolic-100,RForest-Symbolic-150,RForest-Symbolic-200,RForest-Symbolic-25,RForest-Symbolic-250,RForest-Symbolic-50,RForest-Symbolic-75
Arts1,0.11746,0.13481,0.13531,0.13408,0.12953,0.13344,0.1231,0.12812,0.082227,0.102,0.10387,0.10111,0.092162,0.10177,0.092319,0.10309,0.16331,0.17923,0.17614,0.17527,0.16405,0.17493,0.16988,0.17673,0.14371,0.14371,0.14371,0.14371,0.14371,0.14371,0.14371,0.14371,0.14737,0.14737,0.14763,0.14737,0.14763,0.14737,0.1475,0.14763,0.14152,0.14358,0.14748,0.13946,0.12589,0.14543,0.1355,0.14959,0.10756,0.10211,0.11331,0.10105,0.065494,0.095242,0.075195,0.10595,0.14739,0.14423,0.1621,0.17071,0.14043,0.16235,0.16144,0.14775
bibtex,0.1471,0.14645,0.14581,0.14417,0.14561,0.14496,0.14609,0.14697,0.10876,0.10938,0.10821,0.10897,0.10647,0.10836,0.10631,0.10942,0.16219,0.17274,0.17131,0.17383,0.16147,0.17466,0.16706,0.17347,0.070094,0.070094,0.070094,0.070094,0.070094,0.070094,0.070094,0.070094,0.05866,0.05866,0.05866,0.05866,0.058462,0.058462,0.05866,0.05866,0.13158,0.13296,0.13224,0.13085,0.13073,0.13264,0.13125,0.13239,0.07563,0.080249,0.079639,0.079573,0.079076,0.078545,0.078983,0.079473,0.15266,0.16345,0.16588,0.16546,0.15373,0.16595,0.1659,0.16376
birds,0.50836,0.50991,0.50991,0.50991,0.50217,0.50991,0.50372,0.50991,0.50139,0.50217,0.50217,0.50217,0.50165,0.50217,0.50062,0.50062,0.49814,0.49505,0.49505,0.49505,0.49505,0.49505,0.49659,0.49505,0.53039,0.53452,0.53142,0.53142,0.53297,0.53142,0.52988,0.53142,0.49943,0.4984,0.4984,0.4984,0.4984,0.4984,0.4984,0.4984,0.51507,0.52637,0.52472,0.51956,0.5211,0.52575,0.5192,0.52384,0.51455,0.50501,0.50733,0.50733,0.5112,0.50888,0.50501,0.50423,0.49479,0.55568,0.55361,0.55578,0.55423,0.55836,0.55423,0.55077
Business1,0.69968,0.69935,0.69976,0.6995,0.69886,0.69984,0.69993,0.69928,0.68716,0.68654,0.68609,0.68642,0.68696,0.68607,0.68758,0.68583,0.68937,0.6957,0.69649,0.69524,0.68975,0.69381,0.69254,0.69791,0.69885,0.69866,0.69875,0.69875,0.69875,0.69885,0.69875,0.69875,0.68869,0.68889,0.6886,0.68877,0.68887,0.68869,0.68878,0.68869,0.69375,0.69188,0.69264,0.69224,0.69359,0.69276,0.69208,0.69221,0.68387,0.68337,0.68349,0.68445,0.68468,0.68476,0.68291,0.68215,0.6884,0.68072,0.68225,0.68708,0.68594,0.69208,0.6859,0.69013
Computers1,0.39656,0.42163,0.41379,0.41535,0.41459,0.40432,0.4275,0.40974,0.40955,0.42205,0.42658,0.42457,0.4235,0.42089,0.4193,0.4256,0.36962,0.39334,0.38882,0.38161,0.3762,0.36821,0.37605,0.38658,0.40484,0.40484,0.40484,0.40484,0.40484,0.40484,0.40484,0.40484,0.36124,0.36173,0.36156,0.36156,0.36156,0.3616,0.3614,0.36189,0.41169,0.40674,0.41222,0.39985,0.39006,0.38805,0.43267,0.43468,0.39965,0.41077,0.39111,0.40794,0.33816,0.40125,0.41601,0.42202,0.3672,0.39136,0.40253,0.3972,0.37687,0.39667,0.38413,0.39717
corel5k,0.0075667,0.0082333,0.0082333,0.0087333,0.0080667,0.0085667,0.0097333,0.0077333,0.0049,0.0076667,0.0073333,0.0158,0.037533,0.016967,0.0093333,0.0088333,0.015,0.019,0.017767,0.0211,0.0188,0.0206,0.019333,0.017333,0.0085,0.0085,0.0085,0.0085,0.0085,0.0085,0.0085,0.0085,0.0058333,0.0058333,0.0058333,0.0058333,0.0058333,0.0058333,0.0058333,0.0058333,0.013067,0.010233,0.0097333,0.0109,0.0109,0.0114,0.010233,0.010233,0.0063333,0.0053333,0.0053333,0.0053333,0.0053333,0.0053333,0.0053333,0.0053333,0.0095,0.014833,0.011733,0.0124,0.0076667,0.015333,0.012833,0.012333
delicious,0.11473,0.1145,0.11439,0.11452,0.11476,0.11455,0.11455,0.11471,0.10639,0.10689,0.10687,0.10677,0.10653,0.10695,0.10707,0.1067,0.11443,0.11906,0.11857,0.11846,0.11759,0.11919,0.11862,0.12013,0.1208,0.1208,0.1208,0.1208,0.1208,0.1208,0.1208,0.1208,0.0961,0.096037,0.09608,0.096079,0.096042,0.096042,0.096066,0.096065,0.121,0.12153,0.12158,0.1221,0.1211,0.12165,0.12157,0.12126,0.1069,0.10734,0.1077,0.10734,0.10728,0.10736,0.10779,0.10748,0.11009,0.1105,0.11172,0.11266,0.11038,0.11224,0.10861,0.10871
Education1,0.14972,0.15002,0.1491,0.14759,0.14958,0.15011,0.14812,0.14999,0.085353,0.086745,0.082717,0.0833,0.089941,0.083459,0.084323,0.08412,0.15842,0.16352,0.16538,0.16703,0.16299,0.16741,0.16305,0.16449,0.15254,0.15254,0.15254,0.15254,0.15254,0.15254,0.15254,0.15254,0.1677,0.1677,0.1677,0.1677,0.1677,0.1677,0.1677,0.1677,0.12211,0.1225,0.11533,0.11743,0.12449,0.11719,0.12044,0.12194,0.070225,0.058373,0.053512,0.05597,0.070025,0.056999,0.065975,0.064198,0.11781,0.16698,0.16097,0.14883,0.13406,0.15446,0.156,0.15833
emotions,0.58251,0.58168,0.57715,0.5788,0.57921,0.57797,0.56931,0.57921,0.55528,0.56188,0.54455,0.5429,0.55033,0.5462,0.55941,0.55817,0.58333,0.56766,0.56023,0.56559,0.57838,0.56477,0.56683,0.57178,0.58705,0.57632,0.57632,0.56889,0.57054,0.57384,0.56229,0.56807,0.57013,0.56353,0.55941,0.56353,0.55404,0.56147,0.56477,0.57013,0.56972,0.55569,0.55734,0.56312,0.57178,0.56312,0.55404,0.55734,0.54332,0.54414,0.54002,0.53919,0.54084,0.53589,0.53878,0.53053,0.58498,0.56518,0.55817,0.55734,0.57343,0.55734,0.56972,0.56848
enron,0.34997,0.3615,0.3648,0.3645,0.36136,0.36505,0.358,0.36187,0.29304,0.2963,0.29754,0.29567,0.29709,0.29759,0.29262,0.29735,0.36434,0.3687,0.36783,0.36869,0.36909,0.37099,0.36305,0.36718,0.3531,0.3531,0.3531,0.3531,0.3531,0.3531,0.3531,0.3531,0.33309,0.33309,0.33309,0.33309,0.33309,0.33309,0.33309,0.33309,0.34417,0.3448,0.34835,0.34393,0.34236,0.34424,0.34265,0.34193,0.29192,0.2828,0.28436,0.28395,0.28954,0.28598,0.2854,0.28468,0.35159,0.35436,0.35117,0.35914,0.35198,0.35113,0.35816,0.36436
Entertainment1,0.26217,0.26109,0.2619,0.25275,0.2638,0.26199,0.26619,0.26788,0.22058,0.18034,0.17986,0.17865,0.211,0.17785,0.18578,0.17812,0.26002,0.24567,0.24662,0.24324,0.24581,0.24372,0.242,0.23803,0.26206,0.26206,0.26206,0.26206,0.26206,0.26206,0.26206,0.26206,0.25667,0.25698,0.25667,0.25698,0.25698,0.25683,0.25698,0.25667,0.20425,0.20754,0.20775,0.20896,0.20112,0.21025,0.20799,0.20258,0.16449,0.15323,0.15543,0.15454,0.14706,0.15611,0.15523,0.14811,0.20056,0.26943,0.2667,0.25335,0.21228,0.2549,0.23802,0.26361
genbase,0.97613,0.97613,0.97613,0.97613,0.97613,0.97613,0.97613,0.97613,0.96189,0.96859,0.96859,0.97362,0.96189,0.97362,0.96189,0.96859,0.97613,0.97362,0.97362,0.97362,0.97362,0.97362,0.97362,0.97362,0.96859,0.96859,0.96859,0.96859,0.96859,0.96859,0.96859,0.96859,0.89824,0.89824,0.89824,0.89824,0.89824,0.89824,0.89824,0.89824,0.95603,0.97362,0.97362,0.95101,0.97362,0.95101,0.97362,0.97362,0.19933,0.92337,0.95603,0.95854,0.48451,0.95854,0.91583,0.91583,0.9108,0.96859,0.97362,0.96859,0.93342,0.97362,0.93844,0.94347
Health1,0.433,0.4397,0.44253,0.44192,0.4322,0.44334,0.43856,0.43919,0.38528,0.38164,0.38163,0.3833,0.35565,0.3802,0.38913,0.38669,0.43102,0.42732,0.4316,0.42955,0.42507,0.42277,0.44159,0.4347,0.43343,0.43343,0.43343,0.43343,0.43343,0.43343,0.43343,0.43343,0.4268,0.42716,0.42687,0.42716,0.42716,0.42691,0.42716,0.42705,0.41955,0.43156,0.43483,0.43556,0.3767,0.43438,0.40998,0.41914,0.38622,0.38464,0.39589,0.39676,0.3621,0.3953,0.3623,0.38205,0.35849,0.40414,0.39878,0.38455,0.38662,0.39049,0.40857,0.40743
mediamill,0.42702,0.42613,0.42609,0.42629,0.42608,0.42618,0.42639,0.42639,0.42428,0.42423,0.42411,0.42415,0.4244,0.4241,0.42422,0.42426,0.41075,0.41245,0.41211,0.41204,0.41252,0.41282,0.41284,0.41257,0.42642,0.42622,0.42631,0.42641,0.42662,0.42647,0.42592,0.42608,0.41458,0.41604,0.41729,0.41685,0.41637,0.41761,0.41585,0.41632,0.42553,0.42543,0.42553,0.4256,0.42538,0.42513,0.42508,0.42506,0.42536,0.42483,0.42458,0.42456,0.42508,0.42459,0.42463,0.42462,0.41781,0.42084,0.42033,0.41976,0.41801,0.4208,0.42055,0.42044
medical,0.68519,0.6987,0.6987,0.69119,0.7002,0.68969,0.6987,0.6987,0.45971,0.46947,0.47097,0.47097,0.45946,0.47397,0.47197,0.46797,0.6026,0.61011,0.62362,0.62062,0.60861,0.62362,0.6026,0.61161,0.55455,0.55455,0.55455,0.55455,0.55455,0.55455,0.55455,0.55455,0.29605,0.29605,0.29605,0.29605,0.29605,0.29605,0.29605,0.29605,0.57708,0.61011,0.62513,0.61762,0.6041,0.61612,0.6026,0.6041,0.4995,0.46697,0.47598,0.48048,0.48148,0.47698,0.46196,0.46046,0.44194,0.5,0.51852,0.4985,0.44244,0.54555,0.47197,0.504
Recreation1,0.15632,0.15243,0.15201,0.15256,0.15208,0.15116,0.15264,0.1512,0.081692,0.087317,0.088415,0.089503,0.085342,0.090958,0.08383,0.083555,0.16905,0.16539,0.17224,0.17301,0.16666,0.17209,0.16339,0.16141,0.15936,0.15778,0.15843,0.15784,0.15894,0.15761,0.15833,0.15832,0.17734,0.2296,0.22992,0.2288,0.21447,0.22737,0.22497,0.22124,0.1271,0.13204,0.12873,0.13046,0.1312,0.13028,0.13315,0.13167,0.057323,0.065676,0.064379,0.063098,0.064134,0.063181,0.065878,0.06589,0.15113,0.18293,0.19619,0.20409,0.16431,0.20252,0.16933,0.18327
