,Bagging-Genie3-10,Bagging-Genie3-100,Bagging-Genie3-150,Bagging-Genie3-200,Bagging-Genie3-25,Bagging-Genie3-250,Bagging-Genie3-50,Bagging-Genie3-75,Bagging-RForest-10,Bagging-RForest-100,Bagging-RForest-150,Bagging-RForest-200,Bagging-RForest-25,Bagging-RForest-250,Bagging-RForest-50,Bagging-RForest-75,Bagging-Symbolic-10,Bagging-Symbolic-100,Bagging-Symbolic-150,Bagging-Symbolic-200,Bagging-Symbolic-25,Bagging-Symbolic-250,Bagging-Symbolic-50,Bagging-Symbolic-75,ExtraTrees-Genie3-10,ExtraTrees-Genie3-100,ExtraTrees-Genie3-150,ExtraTrees-Genie3-200,ExtraTrees-Genie3-25,ExtraTrees-Genie3-250,ExtraTrees-Genie3-50,ExtraTrees-Genie3-75,ExtraTrees-Symbolic-10,ExtraTrees-Symbolic-100,ExtraTrees-Symbolic-150,ExtraTrees-Symbolic-200,ExtraTrees-Symbolic-25,ExtraTrees-Symbolic-250,ExtraTrees-Symbolic-50,ExtraTrees-Symbolic-75,RForest-Genie3-10,RForest-Genie3-100,RForest-Genie3-150,RForest-Genie3-200,RForest-Genie3-25,RForest-Genie3-250,RForest-Genie3-50,RForest-Genie3-75,RForest-RForest-10,RForest-RForest-100,RForest-RForest-150,RForest-RForest-200,RForest-RForest-25,RForest-RForest-250,RForest-RForest-50,RForest-RForest-75,RForest-Symbolic-10,RForest-Symbolic-100,RForest-Symbolic-150,RForest-Symbolic-200,RForest-Symbolic-25,RForest-Symbolic-250,RForest-Symbolic-50,RForest-Symbolic-75
Arts1,0.1247,0.14386,0.14413,0.14306,0.13779,0.14216,0.13126,0.13674,0.087721,0.10857,0.11085,0.10802,0.098109,0.1086,0.098626,0.11015,0.17447,0.19102,0.18859,0.18725,0.17475,0.18685,0.18142,0.1886,0.15332,0.15332,0.15332,0.15332,0.15332,0.15332,0.15332,0.15332,0.15914,0.15914,0.15949,0.15914,0.15941,0.15914,0.15932,0.15949,0.15199,0.15332,0.1571,0.14857,0.13397,0.1547,0.14427,0.15962,0.11536,0.10936,0.12158,0.1078,0.069137,0.10157,0.079913,0.11343,0.15588,0.15283,0.17271,0.18201,0.14925,0.17287,0.1713,0.15653
bibtex,0.17962,0.17847,0.1779,0.17622,0.17759,0.17712,0.17826,0.1788,0.13521,0.13596,0.13464,0.13576,0.13245,0.13496,0.13271,0.13595,0.19846,0.20997,0.20777,0.21025,0.19722,0.21112,0.20341,0.21089,0.095115,0.095115,0.095115,0.095115,0.095115,0.095115,0.095115,0.095115,0.081425,0.081425,0.081425,0.081425,0.08116,0.08116,0.081425,0.081425,0.16174,0.16382,0.16324,0.16189,0.16155,0.16386,0.16224,0.16321,0.099044,0.10433,0.10334,0.10314,0.10292,0.10199,0.10338,0.10329,0.18444,0.19627,0.19972,0.19836,0.18582,0.19893,0.19947,0.19676
birds,0.51641,0.51847,0.51847,0.51847,0.51022,0.51847,0.51228,0.51847,0.50795,0.51022,0.51022,0.51022,0.5097,0.51022,0.50815,0.50815,0.51261,0.50951,0.50951,0.50951,0.50951,0.50951,0.51054,0.50951,0.54914,0.55378,0.55069,0.55069,0.55172,0.55069,0.54862,0.55069,0.51973,0.51818,0.51818,0.51818,0.51818,0.51818,0.51818,0.51818,0.52766,0.53975,0.53756,0.53261,0.53571,0.5388,0.53271,0.53715,0.52621,0.51662,0.51847,0.51847,0.52239,0.52054,0.51765,0.51538,0.50703,0.57401,0.57112,0.57411,0.57246,0.57772,0.57411,0.56813
Business1,0.75363,0.75351,0.75383,0.75352,0.75293,0.75388,0.75401,0.75344,0.74104,0.74033,0.74006,0.74032,0.74081,0.74001,0.74151,0.7398,0.74645,0.75136,0.7514,0.75025,0.7473,0.74933,0.74934,0.75397,0.75404,0.75392,0.75398,0.75398,0.75398,0.75404,0.75398,0.75398,0.7464,0.74654,0.74634,0.74644,0.74652,0.7464,0.74646,0.7464,0.74775,0.74612,0.74672,0.74628,0.74774,0.74677,0.74642,0.74637,0.73876,0.73761,0.73772,0.73839,0.73917,0.73881,0.73771,0.73681,0.74396,0.74105,0.7425,0.74542,0.74254,0.7495,0.74273,0.74694
Computers1,0.41944,0.44666,0.43807,0.4396,0.43889,0.42818,0.45277,0.43362,0.43497,0.44868,0.45349,0.45139,0.45012,0.44765,0.44577,0.45251,0.3905,0.41558,0.41076,0.40298,0.3974,0.38818,0.39743,0.40837,0.42735,0.42735,0.42735,0.42735,0.42735,0.42735,0.42735,0.42735,0.38185,0.38234,0.38218,0.38218,0.38218,0.38223,0.38202,0.3825,0.43642,0.43116,0.43722,0.42318,0.41316,0.41096,0.45952,0.46149,0.4255,0.43817,0.41687,0.43473,0.35885,0.42832,0.44336,0.45013,0.38812,0.41314,0.4255,0.41962,0.39799,0.41874,0.40525,0.41845
corel5k,0.011,0.011181,0.011181,0.011714,0.011114,0.011914,0.013314,0.010381,0.0076667,0.0122,0.0116,0.024333,0.0596,0.026543,0.0148,0.014,0.021267,0.029048,0.026733,0.030352,0.028467,0.029848,0.02841,0.026848,0.0128,0.0128,0.0128,0.0128,0.0128,0.0128,0.0128,0.0128,0.0092,0.0092,0.0092,0.0092,0.0092,0.0092,0.0092,0.0092,0.018514,0.014514,0.013981,0.015781,0.015114,0.015914,0.014514,0.014514,0.01,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.014314,0.0212,0.018067,0.019133,0.011733,0.022667,0.018914,0.019133
delicious,0.1796,0.1792,0.17906,0.17926,0.17952,0.17921,0.17932,0.1795,0.1664,0.1671,0.16708,0.16693,0.16671,0.16716,0.16735,0.16684,0.17851,0.18602,0.18511,0.18497,0.18339,0.18603,0.18513,0.18735,0.18974,0.18974,0.18974,0.18974,0.18974,0.18974,0.18974,0.18974,0.15409,0.15396,0.15403,0.15405,0.15398,0.15401,0.15402,0.15405,0.18855,0.18937,0.18934,0.19015,0.18878,0.18946,0.18947,0.18895,0.16759,0.16773,0.16838,0.16791,0.16758,0.16781,0.16846,0.16786,0.17314,0.17263,0.17424,0.17561,0.17341,0.17503,0.17058,0.17023
Education1,0.15741,0.15766,0.15643,0.15514,0.15709,0.15748,0.15581,0.15752,0.090477,0.091416,0.087661,0.088216,0.095344,0.088138,0.089166,0.088905,0.1665,0.17151,0.17364,0.17535,0.1713,0.17554,0.17191,0.17298,0.16006,0.16006,0.16006,0.16006,0.16006,0.16006,0.16006,0.16006,0.1765,0.1765,0.1765,0.1765,0.1765,0.1765,0.1765,0.1765,0.12792,0.12911,0.12169,0.12352,0.13119,0.12321,0.12697,0.1286,0.074122,0.061483,0.056238,0.058755,0.073422,0.059877,0.069255,0.067577,0.12336,0.17724,0.17069,0.15792,0.14067,0.16345,0.16498,0.16789
emotions,0.65429,0.65429,0.65033,0.65281,0.65231,0.6505,0.6467,0.65248,0.63531,0.63944,0.62393,0.62096,0.62706,0.62327,0.63713,0.63647,0.66023,0.64059,0.63152,0.63581,0.65413,0.6335,0.64323,0.64472,0.65891,0.65099,0.65,0.64488,0.64719,0.64884,0.63762,0.64158,0.63812,0.63993,0.63168,0.63581,0.62805,0.63399,0.6429,0.64587,0.64917,0.63465,0.63515,0.64175,0.65132,0.64142,0.63432,0.63432,0.62162,0.6231,0.61898,0.61881,0.62195,0.61634,0.61568,0.60974,0.65974,0.64373,0.63449,0.63614,0.64983,0.6335,0.64785,0.64818
enron,0.44562,0.45927,0.46276,0.46228,0.45636,0.46297,0.45563,0.45994,0.36503,0.36858,0.36975,0.36898,0.37034,0.37012,0.36481,0.37056,0.46249,0.47189,0.46948,0.46862,0.46881,0.47113,0.46392,0.47008,0.44648,0.44648,0.44648,0.44648,0.44648,0.44648,0.44648,0.44648,0.42861,0.42861,0.42861,0.42861,0.42861,0.42861,0.42861,0.42861,0.4309,0.4338,0.4373,0.43187,0.43045,0.43191,0.42966,0.42904,0.36588,0.35291,0.35437,0.35346,0.36223,0.35651,0.35652,0.35527,0.44655,0.44771,0.44286,0.44998,0.44451,0.44197,0.44989,0.46012
