,Bagging-Genie3-10,Bagging-Genie3-100,Bagging-Genie3-150,Bagging-Genie3-200,Bagging-Genie3-25,Bagging-Genie3-250,Bagging-Genie3-50,Bagging-Genie3-75,Bagging-RForest-10,Bagging-RForest-100,Bagging-RForest-150,Bagging-RForest-200,Bagging-RForest-25,Bagging-RForest-250,Bagging-RForest-50,Bagging-RForest-75,Bagging-Symbolic-10,Bagging-Symbolic-100,Bagging-Symbolic-150,Bagging-Symbolic-200,Bagging-Symbolic-25,Bagging-Symbolic-250,Bagging-Symbolic-50,Bagging-Symbolic-75,ExtraTrees-Genie3-10,ExtraTrees-Genie3-100,ExtraTrees-Genie3-150,ExtraTrees-Genie3-200,ExtraTrees-Genie3-25,ExtraTrees-Genie3-250,ExtraTrees-Genie3-50,ExtraTrees-Genie3-75,ExtraTrees-Symbolic-10,ExtraTrees-Symbolic-100,ExtraTrees-Symbolic-150,ExtraTrees-Symbolic-200,ExtraTrees-Symbolic-25,ExtraTrees-Symbolic-250,ExtraTrees-Symbolic-50,ExtraTrees-Symbolic-75,RForest-Genie3-10,RForest-Genie3-100,RForest-Genie3-150,RForest-Genie3-200,RForest-Genie3-25,RForest-Genie3-250,RForest-Genie3-50,RForest-Genie3-75,RForest-RForest-10,RForest-RForest-100,RForest-RForest-150,RForest-RForest-200,RForest-RForest-25,RForest-RForest-250,RForest-RForest-50,RForest-RForest-75,RForest-Symbolic-10,RForest-Symbolic-100,RForest-Symbolic-150,RForest-Symbolic-200,RForest-Symbolic-25,RForest-Symbolic-250,RForest-Symbolic-50,RForest-Symbolic-75
Arts1,0.14117,0.1649,0.16477,0.1641,0.15681,0.16265,0.14966,0.15655,0.10141,0.12527,0.12871,0.1258,0.11307,0.12619,0.11479,0.12831,0.19724,0.21527,0.21408,0.21169,0.1968,0.21156,0.20484,0.21319,0.17497,0.17497,0.17497,0.17497,0.17497,0.17497,0.17497,0.17497,0.18385,0.18385,0.18438,0.18385,0.18412,0.18385,0.18412,0.18438,0.17829,0.17802,0.18094,0.1706,0.15443,0.17815,0.16636,0.18545,0.13627,0.12898,0.14409,0.12633,0.078606,0.1189,0.092391,0.13401,0.17458,0.17272,0.19777,0.20824,0.16848,0.19804,0.19366,0.17683
bibtex,0.27893,0.27581,0.27561,0.27362,0.27495,0.27492,0.27601,0.27541,0.21915,0.22044,0.21865,0.22064,0.21521,0.21965,0.21667,0.22025,0.30205,0.31087,0.30543,0.30902,0.29426,0.30981,0.30282,0.31365,0.17833,0.17833,0.17833,0.17833,0.17833,0.17833,0.17833,0.17833,0.15726,0.15726,0.15726,0.15726,0.15686,0.15686,0.15726,0.15726,0.25487,0.25907,0.2597,0.25789,0.25651,0.26034,0.25797,0.25857,0.17429,0.18204,0.18058,0.17999,0.18065,0.1784,0.18244,0.18025,0.27482,0.29498,0.30181,0.29702,0.2841,0.29854,0.30086,0.29568
birds,0.5387,0.5418,0.5418,0.5418,0.53251,0.5418,0.5356,0.5418,0.52632,0.53251,0.53251,0.53251,0.53251,0.53251,0.52941,0.52941,0.55108,0.54799,0.54799,0.54799,0.54799,0.54799,0.54799,0.54799,0.59443,0.59907,0.59598,0.59598,0.59598,0.59598,0.59288,0.59598,0.56656,0.56347,0.56347,0.56347,0.56347,0.56347,0.56347,0.56347,0.56347,0.57121,0.57121,0.56811,0.57121,0.5743,0.56966,0.57276,0.55263,0.54334,0.54334,0.54334,0.54489,0.54489,0.54489,0.54025,0.5356,0.6161,0.61455,0.6192,0.61455,0.62384,0.6192,0.61146
Business1,0.87603,0.87688,0.87733,0.87688,0.87624,0.87736,0.87694,0.87715,0.86634,0.86643,0.86634,0.86634,0.86685,0.86676,0.86752,0.8661,0.85841,0.86661,0.8671,0.86691,0.85623,0.86477,0.86246,0.86752,0.87073,0.87055,0.87064,0.87064,0.87064,0.87064,0.87064,0.87064,0.85362,0.8538,0.85353,0.85362,0.85371,0.85362,0.85371,0.85353,0.87318,0.87258,0.87303,0.87273,0.8734,0.87327,0.87279,0.87258,0.86598,0.86664,0.8667,0.86673,0.86776,0.86746,0.86622,0.86546,0.85726,0.84296,0.84526,0.85392,0.85589,0.85595,0.85283,0.8588
Computers1,0.47786,0.51128,0.50059,0.50197,0.50124,0.48958,0.51841,0.49565,0.50132,0.51841,0.52384,0.52214,0.51979,0.51801,0.51469,0.52295,0.44423,0.4712,0.46612,0.45694,0.4513,0.43832,0.45176,0.46337,0.4848,0.4848,0.4848,0.4848,0.4848,0.4848,0.4848,0.4848,0.43281,0.4333,0.43313,0.43313,0.43313,0.4333,0.43297,0.43346,0.50167,0.4956,0.50313,0.48426,0.47221,0.47071,0.52913,0.53204,0.49386,0.51026,0.48523,0.50605,0.41267,0.50038,0.51514,0.52394,0.44156,0.46788,0.48486,0.47776,0.45087,0.47557,0.45872,0.47206
corel5k,0.02,0.018,0.018,0.018,0.018,0.02,0.022,0.016,0.017,0.03,0.028,0.051,0.088,0.060333,0.036,0.034,0.042,0.058667,0.052333,0.054333,0.058,0.056,0.053333,0.055,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.033667,0.025667,0.026333,0.030333,0.025667,0.027667,0.025667,0.025667,0.024,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.032,0.044,0.04,0.042,0.024,0.047,0.039,0.044
delicious,0.43802,0.44183,0.44156,0.44016,0.44055,0.44087,0.44499,0.44329,0.43517,0.43313,0.43337,0.43341,0.43498,0.43316,0.43515,0.43384,0.43691,0.45585,0.45447,0.45254,0.44585,0.45287,0.4527,0.45551,0.44591,0.44591,0.44591,0.44591,0.44591,0.44591,0.44591,0.44591,0.42445,0.4243,0.42478,0.42409,0.4245,0.42537,0.42418,0.4253,0.44033,0.44883,0.44699,0.4497,0.4453,0.44847,0.44797,0.44642,0.44241,0.43924,0.44167,0.44027,0.43701,0.44073,0.4389,0.44001,0.43063,0.43805,0.43584,0.43708,0.429,0.43525,0.43355,0.43233
Education1,0.174,0.17422,0.17239,0.17164,0.17325,0.17356,0.17247,0.17397,0.10275,0.1025,0.099333,0.099667,0.10808,0.099167,0.1005,0.1,0.18425,0.18889,0.19183,0.19358,0.18944,0.19325,0.19133,0.19156,0.17642,0.17642,0.17642,0.17642,0.17642,0.17642,0.17642,0.17642,0.196,0.196,0.196,0.196,0.196,0.196,0.196,0.196,0.14083,0.14425,0.13592,0.13711,0.14633,0.13675,0.14169,0.14378,0.0835,0.068833,0.0625,0.065167,0.081333,0.06675,0.077083,0.0755,0.13617,0.19544,0.18944,0.176,0.156,0.18264,0.18214,0.18539
emotions,0.68482,0.69142,0.68647,0.68894,0.68234,0.68977,0.67822,0.68812,0.70297,0.69884,0.68812,0.68317,0.68812,0.68647,0.69637,0.69554,0.70297,0.67822,0.66254,0.66749,0.69967,0.66254,0.69059,0.68152,0.70792,0.69967,0.69967,0.69224,0.69224,0.69884,0.69142,0.68977,0.66337,0.68977,0.67574,0.68152,0.67244,0.67739,0.69224,0.69637,0.70462,0.69224,0.69059,0.69802,0.70215,0.69884,0.69307,0.68399,0.69059,0.68234,0.67987,0.68069,0.68894,0.68069,0.67162,0.66667,0.71287,0.69142,0.68729,0.68564,0.69472,0.67904,0.69554,0.69719
enron,0.63716,0.65268,0.65472,0.65141,0.64721,0.65343,0.65426,0.65685,0.53368,0.52173,0.52447,0.52648,0.5285,0.52677,0.5213,0.52591,0.61514,0.6382,0.64177,0.63402,0.62596,0.63898,0.62346,0.63227,0.61566,0.61566,0.61566,0.61566,0.61566,0.61566,0.61566,0.61566,0.59067,0.59067,0.59067,0.59067,0.59067,0.59067,0.59067,0.59067,0.62248,0.61474,0.62193,0.61675,0.61675,0.61402,0.61082,0.60581,0.53123,0.51108,0.51051,0.51123,0.52216,0.51857,0.51799,0.51497,0.61226,0.62395,0.61005,0.61762,0.60279,0.61327,0.61572,0.63379
