,Bagging-Genie3-10,Bagging-Genie3-100,Bagging-Genie3-150,Bagging-Genie3-200,Bagging-Genie3-25,Bagging-Genie3-250,Bagging-Genie3-50,Bagging-Genie3-75,Bagging-RForest-10,Bagging-RForest-100,Bagging-RForest-150,Bagging-RForest-200,Bagging-RForest-25,Bagging-RForest-250,Bagging-RForest-50,Bagging-RForest-75,Bagging-Symbolic-10,Bagging-Symbolic-100,Bagging-Symbolic-150,Bagging-Symbolic-200,Bagging-Symbolic-25,Bagging-Symbolic-250,Bagging-Symbolic-50,Bagging-Symbolic-75,ExtraTrees-Genie3-10,ExtraTrees-Genie3-100,ExtraTrees-Genie3-150,ExtraTrees-Genie3-200,ExtraTrees-Genie3-25,ExtraTrees-Genie3-250,ExtraTrees-Genie3-50,ExtraTrees-Genie3-75,ExtraTrees-Symbolic-10,ExtraTrees-Symbolic-100,ExtraTrees-Symbolic-150,ExtraTrees-Symbolic-200,ExtraTrees-Symbolic-25,ExtraTrees-Symbolic-250,ExtraTrees-Symbolic-50,ExtraTrees-Symbolic-75,RForest-Genie3-10,RForest-Genie3-100,RForest-Genie3-150,RForest-Genie3-200,RForest-Genie3-25,RForest-Genie3-250,RForest-Genie3-50,RForest-Genie3-75,RForest-RForest-10,RForest-RForest-100,RForest-RForest-150,RForest-RForest-200,RForest-RForest-25,RForest-RForest-250,RForest-RForest-50,RForest-RForest-75,RForest-Symbolic-10,RForest-Symbolic-100,RForest-Symbolic-150,RForest-Symbolic-200,RForest-Symbolic-25,RForest-Symbolic-250,RForest-Symbolic-50,RForest-Symbolic-75
Arts1,0.11843,0.13591,0.13646,0.13528,0.13059,0.13459,0.12431,0.12927,0.08258,0.10224,0.10411,0.10135,0.092515,0.102,0.09254,0.10347,0.16563,0.18161,0.17875,0.17768,0.16642,0.17717,0.17224,0.17896,0.14496,0.14496,0.14496,0.14496,0.14496,0.14496,0.14496,0.14496,0.14877,0.14877,0.14903,0.14877,0.14903,0.14877,0.1489,0.14903,0.14228,0.14414,0.14856,0.14069,0.12653,0.14612,0.13596,0.15014,0.10765,0.10216,0.11335,0.1011,0.065538,0.095286,0.075239,0.10599,0.14881,0.14516,0.163,0.17166,0.14182,0.16312,0.16244,0.14866
bibtex,0.14883,0.1482,0.14736,0.14612,0.14735,0.14688,0.14792,0.14867,0.10929,0.11013,0.10889,0.10966,0.10729,0.10903,0.10709,0.1101,0.16553,0.17737,0.17653,0.17841,0.16636,0.17911,0.1714,0.17809,0.070247,0.070247,0.070247,0.070247,0.070247,0.070247,0.070247,0.070247,0.058902,0.058902,0.058902,0.058902,0.058703,0.058703,0.058902,0.058902,0.13278,0.13417,0.13317,0.13181,0.13186,0.13378,0.1324,0.13353,0.07616,0.080845,0.08007,0.08007,0.079473,0.079042,0.079745,0.080169,0.15782,0.1656,0.16788,0.16785,0.155,0.16801,0.16788,0.16567
birds,0.50836,0.50991,0.50991,0.50991,0.50217,0.50991,0.50372,0.50991,0.50139,0.50217,0.50217,0.50217,0.50165,0.50217,0.50062,0.50062,0.49814,0.49505,0.49505,0.49505,0.49505,0.49505,0.49659,0.49505,0.53142,0.53607,0.53297,0.53297,0.53452,0.53297,0.53142,0.53297,0.5015,0.50046,0.50046,0.50046,0.50046,0.50046,0.50046,0.50046,0.51507,0.52755,0.52487,0.51971,0.52436,0.5259,0.5192,0.52384,0.5192,0.50965,0.51197,0.51197,0.51739,0.51507,0.5112,0.50888,0.49582,0.55774,0.55413,0.55645,0.55645,0.55955,0.558,0.55129
Business1,0.70499,0.70418,0.70459,0.70436,0.70398,0.70448,0.705,0.70394,0.69108,0.68978,0.68953,0.68978,0.69031,0.68896,0.69096,0.68916,0.70936,0.70969,0.70813,0.70645,0.71335,0.7071,0.70985,0.71373,0.71083,0.71083,0.71083,0.71083,0.71083,0.71092,0.71083,0.71083,0.71355,0.71364,0.71355,0.71355,0.71364,0.71355,0.71355,0.71364,0.69719,0.69526,0.69601,0.69548,0.69737,0.6958,0.69575,0.6958,0.68824,0.68543,0.68569,0.6864,0.68756,0.68667,0.68654,0.68536,0.70447,0.71513,0.71577,0.71207,0.7039,0.71686,0.70696,0.70906
Computers1,0.39802,0.42302,0.41518,0.41666,0.41609,0.40559,0.42873,0.41104,0.41025,0.42296,0.42756,0.42515,0.42416,0.42156,0.42036,0.42651,0.37122,0.39577,0.39125,0.38383,0.37799,0.37032,0.37801,0.3888,0.40651,0.40651,0.40651,0.40651,0.40651,0.40651,0.40651,0.40651,0.36421,0.3647,0.36454,0.36454,0.36454,0.36457,0.36437,0.36486,0.41267,0.4074,0.41291,0.40071,0.39185,0.38883,0.43418,0.43562,0.40062,0.41216,0.39194,0.40852,0.33921,0.402,0.41704,0.42328,0.36832,0.39378,0.4041,0.39829,0.37907,0.39792,0.38605,0.39897
corel5k,0.0078333,0.0085,0.0085,0.009,0.0083333,0.0088333,0.01,0.008,0.005,0.0076667,0.0073333,0.0165,0.046667,0.017333,0.0093333,0.0088333,0.015,0.020333,0.019,0.023,0.019667,0.021667,0.020667,0.0185,0.0088333,0.0088333,0.0088333,0.0088333,0.0088333,0.0088333,0.0088333,0.0088333,0.0058333,0.0058333,0.0058333,0.0058333,0.0058333,0.0058333,0.0058333,0.0058333,0.013833,0.011,0.010167,0.011333,0.011667,0.012167,0.011,0.011,0.0063333,0.0053333,0.0053333,0.0053333,0.0053333,0.0053333,0.0053333,0.0053333,0.0095,0.015167,0.012,0.012667,0.0081667,0.0155,0.013,0.012333
delicious,0.12879,0.12853,0.12826,0.1285,0.12881,0.12854,0.12853,0.12867,0.11794,0.11857,0.11858,0.11841,0.11818,0.11861,0.11874,0.11836,0.1286,0.13388,0.13328,0.13323,0.13214,0.13394,0.1334,0.13521,0.13625,0.13625,0.13625,0.13625,0.13625,0.13625,0.13625,0.13625,0.10725,0.10716,0.10721,0.10721,0.10717,0.10717,0.1072,0.10718,0.13611,0.13674,0.13673,0.13743,0.13659,0.13699,0.13677,0.13651,0.11825,0.11868,0.11901,0.11866,0.11867,0.11866,0.11927,0.11864,0.12342,0.12402,0.12473,0.12603,0.12425,0.12571,0.1218,0.1218
Education1,0.15052,0.15082,0.1499,0.14836,0.15035,0.15091,0.14895,0.15071,0.085381,0.086787,0.082828,0.083412,0.090066,0.0835,0.084378,0.084175,0.15909,0.16434,0.16604,0.16777,0.16378,0.16811,0.16398,0.16534,0.15325,0.15325,0.15325,0.15325,0.15325,0.15325,0.15325,0.15325,0.16816,0.16816,0.16816,0.16816,0.16816,0.16816,0.16816,0.16816,0.12253,0.12286,0.11573,0.11796,0.12494,0.11759,0.12086,0.12233,0.070281,0.058484,0.053623,0.056081,0.070025,0.057027,0.066003,0.064309,0.11801,0.17024,0.16325,0.15064,0.13436,0.156,0.1581,0.16095
emotions,0.66914,0.66667,0.66419,0.66667,0.66667,0.66337,0.66419,0.66584,0.62706,0.63449,0.61634,0.61634,0.61881,0.61634,0.63284,0.63201,0.67492,0.65429,0.64604,0.64769,0.66337,0.64521,0.64934,0.65512,0.66419,0.65842,0.65512,0.65347,0.65842,0.65512,0.63944,0.64851,0.65759,0.64356,0.63531,0.64026,0.63531,0.64026,0.64521,0.64851,0.65182,0.63531,0.63696,0.64356,0.65677,0.64274,0.63449,0.64026,0.61469,0.62211,0.61716,0.61716,0.61716,0.61386,0.61551,0.60891,0.66419,0.64851,0.63614,0.63779,0.65759,0.63779,0.65264,0.65099
enron,0.37757,0.38795,0.39195,0.3924,0.38718,0.39225,0.38388,0.38851,0.30966,0.31611,0.31657,0.3149,0.31701,0.31625,0.3115,0.31687,0.40062,0.40774,0.40461,0.40441,0.40714,0.40731,0.40311,0.40817,0.38858,0.38858,0.38858,0.38858,0.38858,0.38858,0.38858,0.38858,0.36837,0.36837,0.36837,0.36837,0.36837,0.36837,0.36837,0.36837,0.36536,0.36919,0.37183,0.36712,0.36552,0.36821,0.36563,0.36587,0.31257,0.30163,0.3033,0.3018,0.30958,0.30376,0.30453,0.30407,0.38673,0.38399,0.38084,0.38861,0.38548,0.37957,0.38843,0.3973
