,Bagging-Genie3-10,Bagging-Genie3-100,Bagging-Genie3-150,Bagging-Genie3-200,Bagging-Genie3-25,Bagging-Genie3-250,Bagging-Genie3-50,Bagging-Genie3-75,Bagging-RForest-10,Bagging-RForest-100,Bagging-RForest-150,Bagging-RForest-200,Bagging-RForest-25,Bagging-RForest-250,Bagging-RForest-50,Bagging-RForest-75,Bagging-Symbolic-10,Bagging-Symbolic-100,Bagging-Symbolic-150,Bagging-Symbolic-200,Bagging-Symbolic-25,Bagging-Symbolic-250,Bagging-Symbolic-50,Bagging-Symbolic-75,ExtraTrees-Genie3-10,ExtraTrees-Genie3-100,ExtraTrees-Genie3-150,ExtraTrees-Genie3-200,ExtraTrees-Genie3-25,ExtraTrees-Genie3-250,ExtraTrees-Genie3-50,ExtraTrees-Genie3-75,ExtraTrees-Symbolic-10,ExtraTrees-Symbolic-100,ExtraTrees-Symbolic-150,ExtraTrees-Symbolic-200,ExtraTrees-Symbolic-25,ExtraTrees-Symbolic-250,ExtraTrees-Symbolic-50,ExtraTrees-Symbolic-75,RForest-Genie3-10,RForest-Genie3-100,RForest-Genie3-150,RForest-Genie3-200,RForest-Genie3-25,RForest-Genie3-250,RForest-Genie3-50,RForest-Genie3-75,RForest-RForest-10,RForest-RForest-100,RForest-RForest-150,RForest-RForest-200,RForest-RForest-25,RForest-RForest-250,RForest-RForest-50,RForest-RForest-75,RForest-Symbolic-10,RForest-Symbolic-100,RForest-Symbolic-150,RForest-Symbolic-200,RForest-Symbolic-25,RForest-Symbolic-250,RForest-Symbolic-50,RForest-Symbolic-75
Arts1,0.16796,0.18524,0.18471,0.18387,0.17929,0.1829,0.17332,0.17799,0.11605,0.13428,0.13561,0.13312,0.12339,0.13426,0.12442,0.13517,0.23363,0.25139,0.2537,0.24782,0.23335,0.2468,0.24072,0.24695,0.19671,0.19671,0.19671,0.19671,0.19671,0.19671,0.19671,0.19671,0.21908,0.21902,0.2195,0.21905,0.21926,0.21911,0.21926,0.21956,0.1821,0.18168,0.18435,0.17803,0.16399,0.18266,0.17627,0.18646,0.1371,0.13136,0.14265,0.13056,0.089672,0.12471,0.10314,0.13545,0.19354,0.19436,0.21141,0.22068,0.19519,0.21296,0.21652,0.203
bibtex,0.21839,0.21594,0.21571,0.21361,0.21511,0.21393,0.21489,0.21527,0.17516,0.17608,0.17368,0.17557,0.17209,0.175,0.17287,0.17589,0.24217,0.26022,0.25748,0.25853,0.24728,0.25907,0.25486,0.26079,0.13599,0.13599,0.13599,0.13599,0.13599,0.13599,0.13599,0.13599,0.1211,0.12112,0.1211,0.1211,0.12084,0.12084,0.1211,0.1211,0.2054,0.20622,0.206,0.20459,0.20519,0.20695,0.20502,0.20473,0.13868,0.14493,0.14303,0.14269,0.14224,0.14187,0.14437,0.14352,0.22535,0.23921,0.24153,0.24187,0.2238,0.24232,0.23884,0.23953
birds,0.16484,0.15978,0.15978,0.15978,0.15385,0.15978,0.1589,0.16022,0.14124,0.15599,0.15599,0.15512,0.15512,0.15512,0.15,0.15042,0.24242,0.23797,0.23797,0.23797,0.23919,0.23797,0.2365,0.23797,0.28297,0.29117,0.2864,0.2864,0.2864,0.2864,0.28162,0.2864,0.28899,0.28506,0.28506,0.28506,0.28506,0.28506,0.28506,0.28571,0.19839,0.23622,0.2246,0.20541,0.20485,0.20596,0.21448,0.23342,0.16384,0.16156,0.16156,0.16201,0.16111,0.1662,0.1662,0.15642,0.21875,0.30576,0.29008,0.30303,0.30227,0.31078,0.30424,0.28133
Business1,0.69607,0.69619,0.6967,0.69601,0.69505,0.69657,0.69759,0.69635,0.67961,0.67835,0.67816,0.67853,0.67861,0.67798,0.67981,0.67756,0.69478,0.69753,0.69791,0.69618,0.6962,0.69563,0.69718,0.70047,0.69792,0.69783,0.69787,0.69792,0.69787,0.69801,0.69792,0.69787,0.69078,0.69095,0.69073,0.69082,0.69091,0.69078,0.69082,0.69077,0.68792,0.68508,0.68563,0.68509,0.68749,0.68554,0.68541,0.68541,0.67575,0.67334,0.67334,0.67398,0.67514,0.67473,0.67384,0.6725,0.68774,0.68669,0.68897,0.69029,0.68653,0.69482,0.68687,0.69105
Computers1,0.46051,0.47837,0.4729,0.47357,0.47415,0.4665,0.48125,0.47138,0.46117,0.46804,0.47123,0.46883,0.46682,0.46719,0.46664,0.47065,0.4425,0.46104,0.45903,0.45558,0.45099,0.44121,0.45016,0.4561,0.46992,0.46992,0.46992,0.46992,0.46992,0.46992,0.46992,0.46992,0.43465,0.43509,0.43485,0.43501,0.43501,0.43496,0.43492,0.43514,0.46428,0.46424,0.46548,0.45841,0.45621,0.45023,0.47734,0.48013,0.44764,0.45345,0.44066,0.45167,0.40378,0.44784,0.456,0.45962,0.42858,0.4607,0.46701,0.46418,0.44314,0.46297,0.45288,0.46298
corel5k,0.016732,0.017877,0.017867,0.018973,0.017798,0.018952,0.021205,0.01676,0.010101,0.013895,0.01255,0.029637,0.068766,0.034483,0.016224,0.015274,0.027503,0.039446,0.0365,0.041711,0.037554,0.040707,0.040904,0.036777,0.016648,0.016648,0.016648,0.016648,0.016648,0.016648,0.016648,0.016648,0.012304,0.012304,0.012304,0.012304,0.012304,0.012304,0.012304,0.012304,0.027824,0.022334,0.021217,0.023464,0.023424,0.024581,0.022284,0.022309,0.010638,0.0088378,0.0088378,0.0088378,0.0088417,0.0088378,0.0088378,0.0088378,0.0199,0.030702,0.024216,0.026359,0.015453,0.030837,0.026534,0.025358
delicious,0.2036,0.20379,0.2036,0.20378,0.20413,0.2038,0.2039,0.20405,0.18503,0.1857,0.18564,0.18544,0.18522,0.18565,0.18587,0.18536,0.20056,0.20816,0.20757,0.20735,0.20628,0.20803,0.207,0.20981,0.21272,0.21272,0.21272,0.21272,0.21272,0.21272,0.21272,0.21272,0.17179,0.17167,0.17174,0.17171,0.17167,0.17166,0.17168,0.17171,0.21309,0.21385,0.21341,0.2141,0.21299,0.21391,0.21371,0.21344,0.18673,0.18782,0.18844,0.18768,0.18736,0.18765,0.18851,0.18789,0.19406,0.19659,0.19713,0.19881,0.19663,0.19848,0.19254,0.19281
Education1,0.23138,0.23178,0.23002,0.22899,0.23098,0.23096,0.22974,0.23151,0.13891,0.13949,0.13598,0.13669,0.14463,0.13677,0.13729,0.13741,0.25495,0.25888,0.26197,0.26338,0.26074,0.26405,0.26278,0.26143,0.23599,0.23599,0.23599,0.23599,0.23599,0.23599,0.23599,0.23599,0.2685,0.2685,0.2685,0.2685,0.2685,0.2685,0.2685,0.2685,0.19392,0.19039,0.18335,0.18456,0.19374,0.18409,0.18774,0.18989,0.11821,0.10047,0.093431,0.09618,0.11484,0.097617,0.11035,0.1078,0.18756,0.26612,0.25748,0.24042,0.21639,0.24404,0.25226,0.25588
emotions,0.70942,0.70866,0.70696,0.70959,0.70866,0.71053,0.70327,0.70866,0.69106,0.69293,0.68126,0.67945,0.68681,0.68126,0.69022,0.68742,0.71146,0.69565,0.69129,0.69577,0.70449,0.69312,0.69947,0.69816,0.71562,0.70761,0.70683,0.70227,0.704,0.70588,0.69366,0.69973,0.69382,0.69761,0.68892,0.69426,0.688,0.69426,0.69507,0.69588,0.70241,0.68817,0.69096,0.69437,0.6996,0.69624,0.68649,0.68984,0.68392,0.68385,0.67843,0.67843,0.67935,0.67391,0.67843,0.6712,0.71237,0.69867,0.69355,0.68809,0.7004,0.69355,0.69934,0.69947
enron,0.45606,0.46751,0.47152,0.47224,0.46694,0.47224,0.46287,0.46795,0.36974,0.37331,0.37477,0.37213,0.374,0.37372,0.37271,0.37404,0.4761,0.48071,0.47853,0.48158,0.48034,0.48387,0.4755,0.47793,0.46117,0.46117,0.46117,0.46117,0.46117,0.46117,0.46117,0.46117,0.43382,0.43382,0.43382,0.43382,0.43382,0.43382,0.43382,0.43382,0.44177,0.44553,0.44769,0.44382,0.44343,0.44344,0.44049,0.44065,0.37647,0.36418,0.36559,0.36519,0.37086,0.36776,0.36714,0.36627,0.4654,0.46349,0.46481,0.46902,0.46833,0.45852,0.47349,0.48019
