,Bagging-Genie3-10,Bagging-Genie3-100,Bagging-Genie3-150,Bagging-Genie3-200,Bagging-Genie3-25,Bagging-Genie3-250,Bagging-Genie3-50,Bagging-Genie3-75,Bagging-RForest-10,Bagging-RForest-100,Bagging-RForest-150,Bagging-RForest-200,Bagging-RForest-25,Bagging-RForest-250,Bagging-RForest-50,Bagging-RForest-75,Bagging-Symbolic-10,Bagging-Symbolic-100,Bagging-Symbolic-150,Bagging-Symbolic-200,Bagging-Symbolic-25,Bagging-Symbolic-250,Bagging-Symbolic-50,Bagging-Symbolic-75,ExtraTrees-Genie3-10,ExtraTrees-Genie3-100,ExtraTrees-Genie3-150,ExtraTrees-Genie3-200,ExtraTrees-Genie3-25,ExtraTrees-Genie3-250,ExtraTrees-Genie3-50,ExtraTrees-Genie3-75,ExtraTrees-Symbolic-10,ExtraTrees-Symbolic-100,ExtraTrees-Symbolic-150,ExtraTrees-Symbolic-200,ExtraTrees-Symbolic-25,ExtraTrees-Symbolic-250,ExtraTrees-Symbolic-50,ExtraTrees-Symbolic-75,RForest-Genie3-10,RForest-Genie3-100,RForest-Genie3-150,RForest-Genie3-200,RForest-Genie3-25,RForest-Genie3-250,RForest-Genie3-50,RForest-Genie3-75,RForest-RForest-10,RForest-RForest-100,RForest-RForest-150,RForest-RForest-200,RForest-RForest-25,RForest-RForest-250,RForest-RForest-50,RForest-RForest-75,RForest-Symbolic-10,RForest-Symbolic-100,RForest-Symbolic-150,RForest-Symbolic-200,RForest-Symbolic-25,RForest-Symbolic-250,RForest-Symbolic-50,RForest-Symbolic-75
Arts1,0.69555,0.58199,0.57179,0.5602,0.62416,0.56736,0.62941,0.59398,0.57948,0.44881,0.4329,0.43351,0.48193,0.4484,0.46947,0.4196,0.6295,0.63394,0.65594,0.61256,0.59656,0.60515,0.6061,0.60949,0.5635,0.5635,0.5635,0.5635,0.5635,0.5635,0.5635,0.5635,0.63969,0.63869,0.63926,0.63919,0.63898,0.64019,0.63898,0.64025,0.43993,0.44704,0.44978,0.46974,0.48767,0.4592,0.50494,0.43713,0.36772,0.37209,0.36316,0.39641,0.56215,0.41171,0.52047,0.36857,0.66667,0.71766,0.61808,0.60258,0.72074,0.62954,0.69271,0.74364
bibtex,0.88147,0.88318,0.88407,0.8809,0.8807,0.88312,0.88159,0.88588,0.9488,0.94016,0.9408,0.94146,0.94175,0.93978,0.94051,0.94453,0.76096,0.74807,0.75079,0.75334,0.75373,0.75889,0.74802,0.75019,0.92608,0.92608,0.92608,0.92608,0.92608,0.92608,0.92608,0.92608,0.86957,0.87146,0.86957,0.86957,0.87118,0.87118,0.86957,0.86957,0.91506,0.89724,0.9084,0.90318,0.90689,0.90542,0.9,0.89873,0.89362,0.88665,0.88848,0.88333,0.89118,0.88433,0.88624,0.88398,0.83178,0.87822,0.863,0.87172,0.89522,0.87716,0.86837,0.86103
birds,0.58824,0.58,0.58,0.58,0.54902,0.58,0.55769,0.59184,0.60976,0.6087,0.6087,0.58333,0.58333,0.58333,0.57447,0.58696,0.57831,0.57317,0.57317,0.57317,0.5875,0.57317,0.60526,0.57317,0.56731,0.57547,0.56604,0.56604,0.56604,0.56604,0.5566,0.56604,0.5122,0.5082,0.5082,0.5082,0.5082,0.5082,0.5082,0.5124,0.61667,0.66176,0.68852,0.66667,0.65517,0.67857,0.66667,0.6875,0.70732,0.63043,0.63043,0.64444,0.61702,0.625,0.625,0.62222,0.59155,0.7093,0.7125,0.72289,0.71429,0.72093,0.69318,0.70513
Business1,0.87026,0.87194,0.87303,0.87162,0.87015,0.87314,0.87325,0.87322,0.86567,0.86675,0.8667,0.8668,0.86597,0.86722,0.86684,0.86584,0.83997,0.84855,0.85155,0.85183,0.83642,0.84876,0.84658,0.84863,0.859,0.85871,0.85885,0.859,0.85885,0.85902,0.859,0.85885,0.82463,0.82491,0.82449,0.82476,0.82478,0.82463,0.82476,0.82439,0.86849,0.86847,0.86889,0.86875,0.86978,0.86915,0.86897,0.86925,0.86242,0.86588,0.86502,0.86548,0.86592,0.86681,0.8636,0.86339,0.84398,0.81542,0.82014,0.83487,0.84224,0.83624,0.83638,0.84269
Computers1,0.69439,0.68448,0.6871,0.68484,0.68687,0.68784,0.67741,0.68939,0.66824,0.65791,0.65635,0.6557,0.65379,0.65737,0.65987,0.6576,0.70162,0.69589,0.69602,0.70616,0.70572,0.6927,0.70069,0.6983,0.70723,0.70723,0.70723,0.70723,0.70723,0.70723,0.70723,0.70723,0.68817,0.68888,0.68816,0.68897,0.68897,0.68823,0.68906,0.68863,0.67193,0.6769,0.66472,0.67856,0.7007,0.678,0.65742,0.65935,0.64812,0.63333,0.64025,0.63764,0.6815,0.63425,0.63218,0.62727,0.69168,0.70104,0.6989,0.70813,0.70028,0.71118,0.70372,0.70483
corel5k,0.5,0.59259,0.57143,0.58621,0.45714,0.54839,0.65517,0.55556,0.47368,0.037879,0.029915,0.094225,0.1275,0.34409,0.039474,0.036717,0.45455,0.32743,0.34,0.36449,0.34653,0.36538,0.4,0.39535,0.38462,0.38462,0.38462,0.38462,0.38462,0.38462,0.38462,0.38462,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.73529,0.71429,0.67857,0.77778,0.7,0.81481,0.625,0.66667,0.024341,0.02,0.02,0.02,0.02004,0.02,0.02,0.02,0.3913,0.45902,0.40741,0.41379,0.28571,0.5283,0.52174,0.45098
delicious,0.59425,0.59577,0.59579,0.59537,0.59547,0.59566,0.59698,0.59608,0.59506,0.59088,0.59103,0.59178,0.59122,0.59218,0.59191,0.59058,0.58518,0.58021,0.58252,0.5815,0.58568,0.58166,0.58267,0.58023,0.58282,0.58282,0.58282,0.58282,0.58282,0.58282,0.58282,0.58282,0.56082,0.56077,0.56137,0.56065,0.56087,0.56114,0.56061,0.56117,0.59255,0.59224,0.59234,0.59292,0.59262,0.59272,0.59112,0.5913,0.59342,0.60375,0.6033,0.60324,0.60204,0.60417,0.60386,0.60562,0.58,0.60048,0.59755,0.60032,0.58123,0.60109,0.58819,0.59112
Education1,0.61426,0.62425,0.62281,0.62538,0.62363,0.62332,0.62306,0.62481,0.56462,0.55521,0.55429,0.56036,0.53517,0.56311,0.55726,0.56697,0.63269,0.61027,0.6149,0.60745,0.6106,0.61776,0.61761,0.60295,0.62451,0.62451,0.62451,0.62451,0.62451,0.62451,0.62451,0.62451,0.66251,0.66251,0.66251,0.66251,0.66251,0.66251,0.66251,0.66251,0.62132,0.58059,0.5899,0.58831,0.57827,0.58531,0.5725,0.5771,0.55355,0.56106,0.58639,0.59155,0.5572,0.5716,0.57158,0.55415,0.63547,0.67827,0.69403,0.67717,0.71565,0.6293,0.71173,0.67556
emotions,0.74247,0.7438,0.74309,0.74586,0.7438,0.74792,0.73497,0.7438,0.75221,0.75668,0.75,0.74924,0.75988,0.75,0.75371,0.74706,0.75,0.73333,0.72981,0.73669,0.74373,0.73389,0.74504,0.73278,0.76571,0.75714,0.75862,0.75143,0.75214,0.75645,0.75146,0.75216,0.72928,0.74085,0.73714,0.74286,0.73504,0.74286,0.74148,0.74011,0.75504,0.74203,0.74854,0.7464,0.74857,0.75072,0.74487,0.73926,0.74925,0.74556,0.73964,0.73964,0.74184,0.73591,0.73964,0.73294,0.76812,0.74644,0.74783,0.73851,0.74716,0.74783,0.74157,0.74504
enron,0.69883,0.70686,0.71044,0.70958,0.70846,0.70958,0.70675,0.71099,0.65662,0.64322,0.64573,0.64232,0.64728,0.64565,0.65212,0.64447,0.66483,0.66157,0.66123,0.66972,0.66335,0.67369,0.66088,0.65737,0.67864,0.67864,0.67864,0.67864,0.67864,0.67864,0.67864,0.67864,0.63014,0.63014,0.63014,0.63014,0.63014,0.63014,0.63014,0.63014,0.71071,0.69114,0.69247,0.69206,0.69714,0.6879,0.68736,0.68359,0.66235,0.6586,0.65733,0.66173,0.6537,0.66443,0.65695,0.66174,0.68531,0.69691,0.70083,0.70329,0.70226,0.6952,0.70902,0.70477
Entertainment1,0.6429,0.71622,0.68503,0.74317,0.65396,0.69739,0.63692,0.66143,0.53608,0.8376,0.82619,0.82578,0.62276,0.83666,0.79363,0.83049,0.75654,0.72759,0.72842,0.72671,0.75878,0.7188,0.77479,0.76648,0.71158,0.71158,0.71158,0.71158,0.71158,0.71158,0.71158,0.71158,0.79171,0.79186,0.79171,0.79214,0.79186,0.79178,0.79186,0.79171,0.8801,0.87815,0.88229,0.87623,0.87323,0.87603,0.87137,0.8801,0.83915,0.88432,0.88873,0.87587,0.87078,0.88308,0.85812,0.87491,0.73372,0.73409,0.72224,0.75142,0.73593,0.73173,0.74105,0.71424
genbase,0.99567,0.99567,0.99567,0.99567,0.99567,0.99567,0.99567,0.99567,0.97436,0.9913,0.9913,0.99565,0.97436,0.99565,0.97436,0.9913,0.99567,0.99565,0.99565,0.99565,0.99565,0.99565,0.99565,0.99565,0.9913,0.9913,0.9913,0.9913,0.9913,0.9913,0.9913,0.9913,0.98565,0.98565,0.98565,0.98565,0.98565,0.98565,0.98565,0.98565,0.97835,1,0.99565,0.95816,1,0.95816,1,1,0.87273,0.9187,0.96596,0.9661,0.90845,0.9661,0.91429,0.91429,0.93534,0.99563,0.99565,0.9913,0.94538,0.99565,0.95359,0.95378
