,Bagging-Genie3-10,Bagging-Genie3-100,Bagging-Genie3-150,Bagging-Genie3-200,Bagging-Genie3-25,Bagging-Genie3-250,Bagging-Genie3-50,Bagging-Genie3-75,Bagging-RForest-10,Bagging-RForest-100,Bagging-RForest-150,Bagging-RForest-200,Bagging-RForest-25,Bagging-RForest-250,Bagging-RForest-50,Bagging-RForest-75,Bagging-Symbolic-10,Bagging-Symbolic-100,Bagging-Symbolic-150,Bagging-Symbolic-200,Bagging-Symbolic-25,Bagging-Symbolic-250,Bagging-Symbolic-50,Bagging-Symbolic-75,ExtraTrees-Genie3-10,ExtraTrees-Genie3-100,ExtraTrees-Genie3-150,ExtraTrees-Genie3-200,ExtraTrees-Genie3-25,ExtraTrees-Genie3-250,ExtraTrees-Genie3-50,ExtraTrees-Genie3-75,ExtraTrees-Symbolic-10,ExtraTrees-Symbolic-100,ExtraTrees-Symbolic-150,ExtraTrees-Symbolic-200,ExtraTrees-Symbolic-25,ExtraTrees-Symbolic-250,ExtraTrees-Symbolic-50,ExtraTrees-Symbolic-75,RForest-Genie3-10,RForest-Genie3-100,RForest-Genie3-150,RForest-Genie3-200,RForest-Genie3-25,RForest-Genie3-250,RForest-Genie3-50,RForest-Genie3-75,RForest-RForest-10,RForest-RForest-100,RForest-RForest-150,RForest-RForest-200,RForest-RForest-25,RForest-RForest-250,RForest-RForest-50,RForest-RForest-75,RForest-Symbolic-10,RForest-Symbolic-100,RForest-Symbolic-150,RForest-Symbolic-200,RForest-Symbolic-25,RForest-Symbolic-250,RForest-Symbolic-50,RForest-Symbolic-75
Arts1,0.30223,0.32821,0.33563,0.34491,0.31548,0.34385,0.31601,0.32503,0.30753,0.35817,0.36426,0.36665,0.33722,0.3587,0.34332,0.37487,0.29799,0.30037,0.2842,0.31495,0.32131,0.31734,0.32105,0.32025,0.33749,0.33749,0.33749,0.33749,0.33749,0.33749,0.33749,0.33749,0.29401,0.29427,0.29401,0.29427,0.29401,0.29348,0.29427,0.29348,0.39899,0.38759,0.39634,0.37937,0.34809,0.38971,0.35657,0.40191,0.40138,0.38865,0.41278,0.37328,0.27757,0.35684,0.29586,0.40085,0.2789,0.28897,0.33669,0.34305,0.28765,0.32052,0.28075,0.2789
bibtex,0.2171,0.22346,0.22107,0.22187,0.21869,0.22107,0.22107,0.22584,0.22028,0.22664,0.22783,0.22664,0.22863,0.22704,0.22942,0.22744,0.21431,0.21789,0.22187,0.21193,0.22028,0.20994,0.21909,0.2171,0.13241,0.13241,0.13241,0.13241,0.13241,0.13241,0.13241,0.13241,0.12406,0.12366,0.12406,0.12406,0.12406,0.12406,0.12406,0.12406,0.20915,0.21551,0.21233,0.21471,0.21074,0.21233,0.21829,0.21909,0.22227,0.21511,0.2167,0.2175,0.22028,0.21869,0.21471,0.2175,0.18012,0.20199,0.20318,0.19841,0.1829,0.20557,0.19761,0.20278
birds,0.24458,0.24458,0.24458,0.24149,0.25697,0.24768,0.25077,0.24149,0.22291,0.22601,0.2291,0.2322,0.23839,0.2291,0.23529,0.23839,0.24458,0.24458,0.25077,0.25077,0.23529,0.24458,0.23839,0.25077,0.24768,0.25077,0.25697,0.25387,0.25387,0.25077,0.26316,0.25387,0.30341,0.29721,0.29721,0.29721,0.30031,0.29721,0.30341,0.30341,0.21981,0.21672,0.20743,0.21053,0.20433,0.20433,0.20743,0.20124,0.19505,0.21672,0.21672,0.21053,0.21053,0.21362,0.20743,0.21672,0.26006,0.18266,0.19195,0.17028,0.19195,0.17337,0.18576,0.18885
Business1,0.12064,0.11882,0.11828,0.11973,0.12082,0.1181,0.11828,0.119,0.12972,0.12954,0.12954,0.12972,0.13027,0.12972,0.13009,0.13063,0.12009,0.119,0.11919,0.12009,0.11864,0.11919,0.11919,0.11828,0.11737,0.11737,0.11737,0.11737,0.11737,0.11737,0.11737,0.11737,0.12318,0.12318,0.12318,0.12318,0.12318,0.12318,0.12318,0.12318,0.12373,0.12627,0.12482,0.12518,0.12409,0.12445,0.125,0.125,0.13136,0.13245,0.13136,0.13136,0.12972,0.131,0.1319,0.13227,0.12754,0.12482,0.12137,0.12155,0.12664,0.11882,0.12809,0.123
Computers1,0.3335,0.32588,0.3309,0.3309,0.33074,0.33301,0.3322,0.32977,0.34111,0.34354,0.34257,0.34257,0.34742,0.34289,0.34062,0.34273,0.32718,0.32426,0.32864,0.32135,0.32459,0.3369,0.32783,0.32604,0.31665,0.31665,0.31665,0.31665,0.31665,0.31665,0.31665,0.31665,0.32637,0.32523,0.32604,0.3254,0.32523,0.32604,0.3254,0.3254,0.34046,0.33884,0.34888,0.3424,0.32766,0.34872,0.34289,0.34095,0.35261,0.362,0.36346,0.35844,0.35682,0.36395,0.36119,0.36233,0.32281,0.32928,0.32005,0.31973,0.31535,0.31973,0.31309,0.31859
corel5k,0.248,0.258,0.25,0.25,0.286,0.25,0.24,0.274,0.232,0.816,0.928,0.664,0.714,0.344,0.892,0.912,0.282,0.316,0.322,0.31,0.294,0.326,0.304,0.296,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.218,0.218,0.218,0.218,0.218,0.218,0.218,0.218,0.226,0.22,0.238,0.22,0.226,0.22,0.214,0.224,0.966,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.28,0.278,0.28,0.264,0.288,0.266,0.258,0.264
delicious,0.36421,0.36515,0.36264,0.36641,0.36515,0.3686,0.36546,0.36923,0.38242,0.39246,0.39121,0.39058,0.3843,0.38807,0.38838,0.39027,0.37865,0.373,0.36892,0.37206,0.36986,0.3752,0.37268,0.37457,0.36829,0.36829,0.36829,0.36829,0.36829,0.36829,0.36829,0.36829,0.39058,0.39184,0.38995,0.39309,0.39184,0.38838,0.39435,0.38838,0.36609,0.36201,0.36327,0.36138,0.36107,0.36201,0.36358,0.36641,0.37834,0.37645,0.37645,0.37645,0.38085,0.37488,0.37174,0.3752,0.37457,0.36672,0.37614,0.36829,0.37237,0.373,0.38367,0.36452
Education1,0.34967,0.33633,0.33217,0.3275,0.34083,0.32933,0.33833,0.33667,0.33667,0.3155,0.31483,0.3115,0.33217,0.31,0.32267,0.30967,0.3385,0.35167,0.35117,0.35817,0.348,0.35417,0.33883,0.35017,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.32717,0.327,0.327,0.327,0.327,0.32717,0.327,0.327,0.30617,0.32983,0.32567,0.32417,0.3375,0.32633,0.34833,0.33733,0.2965,0.28933,0.2905,0.28233,0.2995,0.28767,0.29633,0.296,0.32383,0.32267,0.30817,0.31933,0.29,0.33067,0.30267,0.31533
emotions,0.27228,0.23267,0.23762,0.23267,0.24257,0.23762,0.23762,0.23267,0.26238,0.26238,0.25743,0.25743,0.26238,0.26238,0.27228,0.26238,0.27228,0.29208,0.30198,0.28713,0.25743,0.29208,0.27723,0.29208,0.22277,0.24752,0.23267,0.23762,0.24257,0.23762,0.24257,0.24752,0.27228,0.27723,0.31188,0.26238,0.25248,0.27723,0.25743,0.29703,0.21287,0.24257,0.24257,0.24257,0.23267,0.24257,0.24257,0.24257,0.23762,0.25743,0.26733,0.26733,0.27228,0.26238,0.28713,0.27228,0.25743,0.27723,0.29703,0.30198,0.26733,0.29703,0.27723,0.28218
enron,0.28152,0.28497,0.28325,0.28152,0.2867,0.28152,0.27979,0.28325,0.35579,0.35406,0.35751,0.35924,0.35406,0.36269,0.35406,0.35233,0.26425,0.27288,0.26943,0.27461,0.28325,0.27288,0.27288,0.25907,0.28325,0.28325,0.28325,0.28325,0.28325,0.28325,0.28325,0.28325,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.27634,0.29534,0.29534,0.29706,0.2867,0.30052,0.29361,0.30915,0.31779,0.33679,0.33851,0.34542,0.33851,0.33851,0.33851,0.32988,0.28843,0.27461,0.27979,0.29361,0.2487,0.29188,0.25734,0.26252
