,Bagging-Genie3-10,Bagging-Genie3-100,Bagging-Genie3-150,Bagging-Genie3-200,Bagging-Genie3-25,Bagging-Genie3-250,Bagging-Genie3-50,Bagging-Genie3-75,Bagging-RForest-10,Bagging-RForest-100,Bagging-RForest-150,Bagging-RForest-200,Bagging-RForest-25,Bagging-RForest-250,Bagging-RForest-50,Bagging-RForest-75,Bagging-Symbolic-10,Bagging-Symbolic-100,Bagging-Symbolic-150,Bagging-Symbolic-200,Bagging-Symbolic-25,Bagging-Symbolic-250,Bagging-Symbolic-50,Bagging-Symbolic-75,ExtraTrees-Genie3-10,ExtraTrees-Genie3-100,ExtraTrees-Genie3-150,ExtraTrees-Genie3-200,ExtraTrees-Genie3-25,ExtraTrees-Genie3-250,ExtraTrees-Genie3-50,ExtraTrees-Genie3-75,ExtraTrees-Symbolic-10,ExtraTrees-Symbolic-100,ExtraTrees-Symbolic-150,ExtraTrees-Symbolic-200,ExtraTrees-Symbolic-25,ExtraTrees-Symbolic-250,ExtraTrees-Symbolic-50,ExtraTrees-Symbolic-75,RForest-Genie3-10,RForest-Genie3-100,RForest-Genie3-150,RForest-Genie3-200,RForest-Genie3-25,RForest-Genie3-250,RForest-Genie3-50,RForest-Genie3-75,RForest-RForest-10,RForest-RForest-100,RForest-RForest-150,RForest-RForest-200,RForest-RForest-25,RForest-RForest-250,RForest-RForest-50,RForest-RForest-75,RForest-Symbolic-10,RForest-Symbolic-100,RForest-Symbolic-150,RForest-Symbolic-200,RForest-Symbolic-25,RForest-Symbolic-250,RForest-Symbolic-50,RForest-Symbolic-75
Arts1,0.18518,0.18801,0.1884,0.18824,0.18721,0.18655,0.18995,0.18906,0.20106,0.20565,0.20829,0.20882,0.20292,0.20755,0.20486,0.20736,0.19721,0.18597,0.1859,0.18665,0.18734,0.18702,0.18383,0.18519,0.19453,0.19453,0.19453,0.19453,0.19453,0.19453,0.19453,0.19453,0.19789,0.19771,0.19808,0.19759,0.19773,0.19797,0.19762,0.19776,0.20605,0.2091,0.20917,0.2058,0.20094,0.20545,0.21499,0.21073,0.22784,0.21542,0.21807,0.21349,0.21349,0.21069,0.22042,0.21359,0.19871,0.19046,0.18604,0.18595,0.19436,0.18739,0.18563,0.18766
bibtex,0.20647,0.2045,0.206,0.2059,0.20621,0.20591,0.20485,0.20425,0.22078,0.21907,0.21951,0.21928,0.22216,0.21953,0.21862,0.21786,0.21099,0.21113,0.20658,0.20992,0.20939,0.20864,0.20992,0.21017,0.27883,0.27883,0.27883,0.27883,0.27883,0.27883,0.27883,0.27883,0.30728,0.30708,0.30726,0.30723,0.30708,0.30709,0.30725,0.30715,0.20985,0.21052,0.21066,0.21126,0.21063,0.21108,0.21156,0.20963,0.24555,0.24518,0.24509,0.24554,0.24424,0.24452,0.24417,0.24568,0.22042,0.19159,0.18947,0.18895,0.21858,0.19042,0.1955,0.1926
birds,0.078713,0.075018,0.075598,0.075308,0.0747,0.075297,0.075115,0.0749,0.088743,0.084744,0.084634,0.083073,0.084915,0.08463,0.084567,0.083845,0.077732,0.078333,0.078323,0.078564,0.078772,0.079498,0.077712,0.078096,0.084478,0.082321,0.082556,0.082922,0.083148,0.083271,0.0829,0.083003,0.079518,0.079921,0.079658,0.079476,0.080012,0.079213,0.07947,0.079314,0.084338,0.086659,0.087481,0.087883,0.090994,0.086707,0.086343,0.087926,0.093744,0.094019,0.095284,0.095402,0.094261,0.093601,0.094897,0.095259,0.078384,0.087878,0.089816,0.091334,0.085971,0.093857,0.084882,0.086373
Business1,0.053368,0.054061,0.053777,0.053972,0.054318,0.053792,0.053789,0.053861,0.056345,0.057414,0.057771,0.057809,0.057444,0.057688,0.057553,0.057411,0.057125,0.054383,0.054116,0.053794,0.055075,0.053852,0.054771,0.054822,0.052013,0.052013,0.052013,0.052013,0.052013,0.052013,0.052013,0.052013,0.055802,0.055802,0.055802,0.055802,0.055802,0.0558,0.055802,0.055802,0.057204,0.05793,0.057967,0.05773,0.057054,0.057702,0.057637,0.057105,0.058635,0.060731,0.060223,0.060523,0.059942,0.060284,0.06016,0.060321,0.056001,0.05411,0.053048,0.052963,0.054185,0.052987,0.052935,0.053191
Computers1,0.11157,0.11392,0.11362,0.11402,0.11092,0.11396,0.11365,0.11438,0.10914,0.11539,0.11544,0.11486,0.11437,0.11403,0.11528,0.11443,0.11064,0.11256,0.11132,0.11141,0.11129,0.11054,0.11096,0.11099,0.10747,0.10747,0.10747,0.10747,0.10747,0.10747,0.10747,0.10747,0.11914,0.11913,0.11923,0.11907,0.11916,0.11919,0.11906,0.1192,0.10989,0.11325,0.1137,0.11456,0.11358,0.11602,0.11432,0.11391,0.11403,0.11692,0.1163,0.11654,0.11575,0.11654,0.1165,0.11753,0.11529,0.10925,0.10687,0.1056,0.11332,0.10578,0.11193,0.11018
corel5k,0.20003,0.2004,0.19984,0.20038,0.20052,0.20068,0.19992,0.20012,0.20223,0.243,0.24735,0.23113,0.23593,0.19833,0.24497,0.24586,0.196,0.18459,0.18869,0.18855,0.18522,0.18761,0.18673,0.185,0.2037,0.2037,0.2037,0.2037,0.2037,0.2037,0.2037,0.2037,0.23023,0.23023,0.23023,0.23023,0.23023,0.23023,0.23023,0.23023,0.20315,0.20454,0.20507,0.20551,0.20925,0.20545,0.20835,0.20532,0.24385,0.25126,0.25126,0.25126,0.25002,0.25126,0.25126,0.25126,0.19002,0.18699,0.18933,0.19123,0.18546,0.18845,0.19116,0.18825
delicious,0.19763,0.19685,0.19687,0.19682,0.1972,0.19693,0.19661,0.19686,0.19892,0.19933,0.19911,0.19906,0.19888,0.19919,0.19912,0.19915,0.1993,0.19938,0.19906,0.19911,0.19865,0.19948,0.19941,0.19929,0.19671,0.19671,0.19671,0.19671,0.19671,0.19671,0.19671,0.19671,0.21208,0.21206,0.21202,0.21205,0.21205,0.21207,0.21206,0.21207,0.19715,0.1967,0.19672,0.19681,0.19689,0.19692,0.19669,0.19671,0.19722,0.19696,0.19672,0.19683,0.1965,0.19701,0.19671,0.19682,0.20322,0.19867,0.19821,0.19774,0.2019,0.19717,0.20012,0.19975
Education1,0.12756,0.12816,0.12866,0.12904,0.12746,0.12877,0.12811,0.12805,0.13262,0.13476,0.13446,0.13396,0.13111,0.13513,0.13362,0.13376,0.12904,0.12714,0.12714,0.12736,0.12988,0.12853,0.12903,0.13126,0.12656,0.12656,0.12656,0.12656,0.12656,0.12656,0.12656,0.12656,0.12486,0.12485,0.12485,0.12485,0.12485,0.12485,0.12485,0.12485,0.13264,0.1342,0.13422,0.13421,0.13296,0.13344,0.13252,0.13378,0.14346,0.14378,0.14182,0.14198,0.13931,0.14046,0.1387,0.14193,0.12817,0.11822,0.12074,0.12242,0.1268,0.12296,0.12411,0.1233
emotions,0.1434,0.14483,0.14285,0.14161,0.14638,0.14329,0.14427,0.14191,0.15078,0.1462,0.14601,0.14909,0.15197,0.15065,0.14762,0.14638,0.15078,0.15073,0.15054,0.15061,0.15463,0.1532,0.14938,0.15117,0.14036,0.14528,0.14429,0.14299,0.13866,0.14336,0.14473,0.14504,0.14916,0.15701,0.15653,0.15102,0.15331,0.1525,0.14589,0.15017,0.13996,0.13541,0.13232,0.13133,0.13688,0.13155,0.13595,0.13974,0.14975,0.15253,0.15304,0.15216,0.15745,0.15549,0.15535,0.16,0.14147,0.1497,0.14988,0.14567,0.14776,0.15099,0.15184,0.15217
enron,0.11584,0.11421,0.11662,0.11515,0.11727,0.1145,0.11411,0.11433,0.12325,0.12323,0.12281,0.12283,0.12158,0.12284,0.12286,0.12361,0.10849,0.10525,0.10637,0.10612,0.10885,0.10622,0.10604,0.10654,0.12407,0.12407,0.12407,0.12407,0.12407,0.12407,0.12407,0.12407,0.13185,0.13195,0.13194,0.13195,0.13195,0.13194,0.13195,0.13205,0.11661,0.11613,0.11765,0.11537,0.11809,0.11654,0.11461,0.11661,0.12633,0.12618,0.12694,0.12686,0.12965,0.12754,0.12883,0.12812,0.12188,0.10595,0.10889,0.10843,0.11147,0.10795,0.10628,0.10587
