,Bagging-Genie3-10,Bagging-Genie3-100,Bagging-Genie3-150,Bagging-Genie3-200,Bagging-Genie3-25,Bagging-Genie3-250,Bagging-Genie3-50,Bagging-Genie3-75,Bagging-RForest-10,Bagging-RForest-100,Bagging-RForest-150,Bagging-RForest-200,Bagging-RForest-25,Bagging-RForest-250,Bagging-RForest-50,Bagging-RForest-75,Bagging-Symbolic-10,Bagging-Symbolic-100,Bagging-Symbolic-150,Bagging-Symbolic-200,Bagging-Symbolic-25,Bagging-Symbolic-250,Bagging-Symbolic-50,Bagging-Symbolic-75,ExtraTrees-Genie3-10,ExtraTrees-Genie3-100,ExtraTrees-Genie3-150,ExtraTrees-Genie3-200,ExtraTrees-Genie3-25,ExtraTrees-Genie3-250,ExtraTrees-Genie3-50,ExtraTrees-Genie3-75,ExtraTrees-Symbolic-10,ExtraTrees-Symbolic-100,ExtraTrees-Symbolic-150,ExtraTrees-Symbolic-200,ExtraTrees-Symbolic-25,ExtraTrees-Symbolic-250,ExtraTrees-Symbolic-50,ExtraTrees-Symbolic-75,RForest-Genie3-10,RForest-Genie3-100,RForest-Genie3-150,RForest-Genie3-200,RForest-Genie3-25,RForest-Genie3-250,RForest-Genie3-50,RForest-Genie3-75,RForest-RForest-10,RForest-RForest-100,RForest-RForest-150,RForest-RForest-200,RForest-RForest-25,RForest-RForest-250,RForest-RForest-50,RForest-RForest-75,RForest-Symbolic-10,RForest-Symbolic-100,RForest-Symbolic-150,RForest-Symbolic-200,RForest-Symbolic-25,RForest-Symbolic-250,RForest-Symbolic-50,RForest-Symbolic-75
Arts1,0.098621,0.11108,0.11241,0.11082,0.10817,0.11082,0.1018,0.10551,0.068399,0.085631,0.086426,0.08404,0.077413,0.084836,0.076617,0.085631,0.13309,0.1474,0.14236,0.1429,0.13521,0.1429,0.13892,0.14475,0.1185,0.1185,0.1185,0.1185,0.1185,0.1185,0.1185,0.1185,0.11506,0.11506,0.11506,0.11506,0.11532,0.11506,0.11506,0.11506,0.11506,0.1193,0.12354,0.11665,0.10578,0.12222,0.1132,0.1246,0.088547,0.084571,0.093319,0.084836,0.056469,0.080064,0.063627,0.088017,0.12513,0.12169,0.13441,0.14077,0.11665,0.13468,0.13521,0.1246
bibtex,0.074751,0.075149,0.074354,0.072763,0.074354,0.073559,0.074751,0.076342,0.050099,0.050497,0.049702,0.049304,0.049304,0.049304,0.048111,0.050497,0.079125,0.085089,0.085487,0.087873,0.077932,0.089066,0.081511,0.085487,0.017097,0.017097,0.017097,0.017097,0.017097,0.017097,0.017097,0.017097,0.010736,0.010736,0.010736,0.010736,0.010736,0.010736,0.010736,0.010736,0.063618,0.063618,0.062823,0.061233,0.061233,0.062425,0.06163,0.063221,0.024254,0.027833,0.028231,0.028628,0.027435,0.027833,0.026243,0.027833,0.081113,0.088668,0.089066,0.090656,0.081511,0.090258,0.089463,0.088668
birds,0.48916,0.48916,0.48916,0.48916,0.48297,0.48916,0.48297,0.48916,0.48607,0.48297,0.48297,0.48297,0.48297,0.48297,0.48297,0.48297,0.4613,0.4582,0.4582,0.4582,0.4582,0.4582,0.4613,0.4582,0.47988,0.48297,0.47988,0.47988,0.48297,0.47988,0.47988,0.47988,0.44582,0.44582,0.44582,0.44582,0.44582,0.44582,0.44582,0.44582,0.48607,0.49226,0.49226,0.48916,0.48607,0.49536,0.48607,0.48916,0.48607,0.47678,0.47988,0.47988,0.48297,0.47988,0.47368,0.47678,0.4613,0.50464,0.50774,0.50774,0.50464,0.50774,0.50155,0.50464
Business1,0.55323,0.55214,0.55287,0.55269,0.55233,0.55287,0.55251,0.5516,0.54288,0.54288,0.54179,0.54179,0.5436,0.54215,0.54324,0.54161,0.5327,0.54342,0.5456,0.54469,0.53161,0.54197,0.53597,0.54324,0.5476,0.54724,0.54742,0.54742,0.54742,0.5476,0.54742,0.54742,0.5298,0.53016,0.52961,0.52998,0.53016,0.5298,0.52998,0.5298,0.54797,0.54597,0.54742,0.54742,0.54778,0.54797,0.54578,0.54669,0.53761,0.53979,0.53979,0.54142,0.54033,0.54124,0.53761,0.53725,0.53652,0.51508,0.51581,0.52725,0.53198,0.53452,0.53198,0.53488
Computers1,0.33754,0.3573,0.35131,0.35293,0.35196,0.34289,0.36265,0.3484,0.34516,0.35471,0.3586,0.35698,0.35601,0.35342,0.35228,0.35763,0.31584,0.33576,0.3322,0.32637,0.32102,0.31633,0.3207,0.33026,0.34678,0.34678,0.34678,0.34678,0.34678,0.34678,0.34678,0.34678,0.30839,0.30888,0.30871,0.30871,0.30871,0.30871,0.30855,0.30904,0.34937,0.34467,0.34856,0.34014,0.33074,0.32928,0.36443,0.36686,0.33463,0.34208,0.32653,0.34078,0.28555,0.3335,0.3471,0.35147,0.3139,0.33511,0.34386,0.33981,0.32183,0.34014,0.32977,0.34208
corel5k,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0.002,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0
delicious,0.0028257,0.0021978,0.0021978,0.0021978,0.0025118,0.0021978,0.0021978,0.0021978,0.0031397,0.0025118,0.0025118,0.0025118,0.0031397,0.0025118,0.0028257,0.0025118,0.0028257,0.0031397,0.0028257,0.0031397,0.0028257,0.0031397,0.0025118,0.0028257,0.0025118,0.0025118,0.0025118,0.0025118,0.0025118,0.0025118,0.0025118,0.0025118,0.0025118,0.0025118,0.0025118,0.0025118,0.0025118,0.0025118,0.0025118,0.0025118,0.0031397,0.0021978,0.0025118,0.0025118,0.0021978,0.0021978,0.0021978,0.0021978,0.0028257,0.0028257,0.0028257,0.0028257,0.0028257,0.0028257,0.0028257,0.0031397,0.0021978,0.0025118,0.0025118,0.0025118,0.0025118,0.0025118,0.0021978,0.0021978
Education1,0.128,0.1285,0.1285,0.12633,0.12833,0.1295,0.1265,0.12883,0.071167,0.073667,0.068833,0.069333,0.074833,0.070167,0.070667,0.0705,0.13533,0.14067,0.142,0.1435,0.13917,0.14417,0.13817,0.14017,0.13133,0.13133,0.13133,0.13133,0.13133,0.13133,0.13133,0.13133,0.14233,0.14233,0.14233,0.14233,0.14233,0.14233,0.14233,0.14233,0.10567,0.10417,0.0975,0.10033,0.10567,0.10033,0.10217,0.10333,0.059333,0.049667,0.045667,0.048,0.060167,0.048833,0.056667,0.054667,0.10217,0.138,0.13383,0.12317,0.1155,0.12917,0.13067,0.13117
emotions,0.34653,0.35149,0.34158,0.34158,0.34653,0.34653,0.32673,0.34653,0.30693,0.31683,0.29703,0.30198,0.30693,0.30693,0.31683,0.31188,0.34158,0.34158,0.34158,0.34653,0.33663,0.35149,0.32178,0.34653,0.35644,0.33168,0.34158,0.32673,0.32673,0.33168,0.32178,0.33168,0.35149,0.32178,0.32673,0.33168,0.31683,0.33168,0.32178,0.33168,0.32178,0.31188,0.31188,0.31683,0.32178,0.31188,0.30198,0.31683,0.29208,0.29208,0.28713,0.28218,0.28713,0.27723,0.29703,0.28218,0.35149,0.31188,0.31188,0.30693,0.32673,0.31188,0.32178,0.31683
enron,0.11054,0.11226,0.11399,0.11399,0.11744,0.11399,0.10881,0.11054,0.11399,0.11917,0.11917,0.11744,0.11572,0.11917,0.11572,0.11917,0.11054,0.10363,0.10881,0.10881,0.11054,0.11226,0.10708,0.10363,0.10708,0.10708,0.10708,0.10708,0.10708,0.10708,0.10708,0.10708,0.096718,0.096718,0.096718,0.096718,0.096718,0.096718,0.096718,0.096718,0.12608,0.1209,0.12263,0.12263,0.11917,0.12263,0.12781,0.12263,0.11399,0.11226,0.11399,0.11399,0.11399,0.11572,0.11399,0.11399,0.11054,0.11572,0.11572,0.11744,0.11226,0.11399,0.12608,0.11399
