,Bagging-Genie3-10,Bagging-Genie3-100,Bagging-Genie3-150,Bagging-Genie3-200,Bagging-Genie3-25,Bagging-Genie3-250,Bagging-Genie3-50,Bagging-Genie3-75,Bagging-RForest-10,Bagging-RForest-100,Bagging-RForest-150,Bagging-RForest-200,Bagging-RForest-25,Bagging-RForest-250,Bagging-RForest-50,Bagging-RForest-75,Bagging-Symbolic-10,Bagging-Symbolic-100,Bagging-Symbolic-150,Bagging-Symbolic-200,Bagging-Symbolic-25,Bagging-Symbolic-250,Bagging-Symbolic-50,Bagging-Symbolic-75,ExtraTrees-Genie3-10,ExtraTrees-Genie3-100,ExtraTrees-Genie3-150,ExtraTrees-Genie3-200,ExtraTrees-Genie3-25,ExtraTrees-Genie3-250,ExtraTrees-Genie3-50,ExtraTrees-Genie3-75,ExtraTrees-Symbolic-10,ExtraTrees-Symbolic-100,ExtraTrees-Symbolic-150,ExtraTrees-Symbolic-200,ExtraTrees-Symbolic-25,ExtraTrees-Symbolic-250,ExtraTrees-Symbolic-50,ExtraTrees-Symbolic-75,RForest-Genie3-10,RForest-Genie3-100,RForest-Genie3-150,RForest-Genie3-200,RForest-Genie3-25,RForest-Genie3-250,RForest-Genie3-50,RForest-Genie3-75,RForest-RForest-10,RForest-RForest-100,RForest-RForest-150,RForest-RForest-200,RForest-RForest-25,RForest-RForest-250,RForest-RForest-50,RForest-RForest-75,RForest-Symbolic-10,RForest-Symbolic-100,RForest-Symbolic-150,RForest-Symbolic-200,RForest-Symbolic-25,RForest-Symbolic-250,RForest-Symbolic-50,RForest-Symbolic-75
Arts1,0.1792153,0.1737852,0.1760634,0.1776437,0.1764074,0.1777696,0.1728247,0.1733273,0.1522582,0.1497212,0.148628,0.1478529,0.1493733,0.1476695,0.1502972,0.1501643,0.1664092,0.1796553,0.1826014,0.1789774,0.1719052,0.1786752,0.1740873,0.1784347,0.1751211,0.1751211,0.1751211,0.1751211,0.1751211,0.1751211,0.1751211,0.1751211,0.1597247,0.1597017,0.1597423,0.1597731,0.1597645,0.1597735,0.1597894,0.159924,0.1585225,0.1547088,0.1543527,0.1537767,0.1580373,0.1547391,0.1562387,0.1536024,0.1327264,0.1298101,0.1264204,0.1257751,0.1293466,0.1275546,0.1286965,0.1291713,0.1506087,0.1751929,0.1902899,0.1952767,0.1711658,0.1917263,0.1732385,0.1762697
bibtex,0.1734099,0.1754867,0.1738896,0.1736227,0.1751605,0.1745058,0.1749154,0.1767588,0.1832582,0.1844057,0.1839446,0.1840131,0.1824901,0.1843144,0.1832521,0.1846153,0.155933,0.1598238,0.1620453,0.1594302,0.1552228,0.1593429,0.1584423,0.1618715,0.07554488,0.07554488,0.07554488,0.07554488,0.07554488,0.07554488,0.07554488,0.07554488,0.05853672,0.05864552,0.05854741,0.05862312,0.05863398,0.05860315,0.0586248,0.05853287,0.1714892,0.172896,0.1742913,0.1730094,0.1715044,0.1735685,0.172386,0.1721978,0.1493873,0.1502458,0.1504264,0.1498323,0.1505593,0.1499075,0.1509384,0.1510305,0.1401093,0.1763638,0.1817255,0.1841828,0.1544841,0.187239,0.1746649,0.1827429
birds,0.2647699,0.2707963,0.2721281,0.26751,0.2667302,0.265914,0.2734748,0.2726884,0.2473342,0.2429201,0.2467732,0.2481288,0.2540405,0.2461025,0.2480511,0.2508419,0.279462,0.2689281,0.2691147,0.2701854,0.2876882,0.2710192,0.289099,0.27487,0.2918111,0.2995614,0.2975844,0.2972676,0.3023539,0.295693,0.2968504,0.2975659,0.2641617,0.2679524,0.2679819,0.2718201,0.2687059,0.2702334,0.2647047,0.2724036,0.2581021,0.2616499,0.257593,0.2521895,0.2588894,0.2534765,0.2600622,0.2604644,0.2365718,0.2436394,0.2473224,0.2482628,0.249113,0.2464588,0.2435605,0.2386957,0.2724217,0.3099968,0.2901543,0.2917478,0.3181009,0.2984971,0.3010081,0.3050096
Business1,0.181272,0.1730773,0.1720368,0.1710701,0.1702204,0.1723247,0.1712991,0.1750663,0.1595307,0.1485014,0.1471563,0.1483166,0.1522892,0.1486178,0.1514679,0.1469616,0.1542359,0.1604246,0.163854,0.1639551,0.1540705,0.1645725,0.162359,0.1620055,0.171174,0.1711754,0.1711721,0.171176,0.1711689,0.1711738,0.1711711,0.1711774,0.1488962,0.1489144,0.1489007,0.148903,0.1489083,0.1489019,0.1489061,0.1488926,0.1502302,0.1484579,0.1479121,0.1481713,0.15846,0.1482093,0.1492101,0.1500498,0.1236236,0.1225027,0.1223979,0.121965,0.1281942,0.1218717,0.1255009,0.1220422,0.1340157,0.1762773,0.1689454,0.1684599,0.1549251,0.1697842,0.1648813,0.1674015
Computers1,0.1945336,0.1900303,0.1900765,0.1887775,0.1940679,0.1891082,0.19319,0.1928874,0.1965825,0.1956236,0.1960176,0.1949876,0.1954971,0.194842,0.196102,0.1968047,0.1706913,0.1737043,0.1748121,0.1721199,0.1652312,0.173156,0.1673739,0.1727261,0.1852639,0.1852639,0.1852639,0.1852639,0.1852639,0.1852639,0.1852639,0.1852639,0.1406434,0.1406614,0.1406419,0.1406864,0.1406551,0.1406543,0.140674,0.1406633,0.1856893,0.1827828,0.1830561,0.1838517,0.1872171,0.1843251,0.1838421,0.1834151,0.1670487,0.1758582,0.1673965,0.1659227,0.1976229,0.1672641,0.1754451,0.1718642,0.151271,0.1936281,0.1885781,0.1928154,0.1606003,0.1953529,0.1689767,0.1848851
corel5k,0.03678837,0.03706496,0.03762185,0.03768547,0.03743814,0.03774691,0.03863315,0.03632111,0.04284789,0.01546474,0.01561582,0.01947671,0.01650349,0.03226257,0.01444212,0.0145428,0.03423002,0.03494924,0.0350134,0.03520337,0.0366449,0.03550261,0.03605376,0.03724403,0.03135397,0.03135397,0.03135397,0.03135397,0.03135397,0.03135397,0.03135397,0.03135397,0.0114913,0.0114913,0.0114913,0.0114913,0.0114913,0.0114913,0.0114913,0.0114913,0.03995385,0.04081226,0.04096836,0.04113104,0.04057277,0.04111948,0.03852019,0.04030119,0.01597968,0.009427807,0.009427807,0.009427807,0.0112653,0.009427807,0.009427807,0.009427807,0.03503576,0.03166525,0.03019877,0.0305242,0.03300644,0.03266169,0.03191945,0.03098727
delicious,0.09796866,0.09835948,0.09809814,0.09847649,0.09824742,0.09821439,0.0985859,0.09875134,0.1026368,0.102311,0.1023262,0.1023917,0.1023342,0.1024902,0.1019568,0.1022989,0.09111177,0.09238593,0.09246433,0.0920693,0.09179277,0.09227241,0.09245115,0.09315157,0.09797782,0.09797782,0.09797782,0.09797782,0.09797782,0.09797782,0.09797782,0.09797782,0.07622468,0.07625942,0.07624856,0.07622862,0.07622055,0.07619751,0.07622452,0.07623127,0.1018378,0.1028851,0.1025578,0.1023597,0.1017579,0.1027441,0.1029719,0.103077,0.1025125,0.1036866,0.10368,0.1033291,0.1032346,0.1034271,0.1036264,0.1040737,0.08805331,0.09336679,0.09541245,0.09604761,0.09051991,0.09635496,0.09078444,0.09194286
Education1,0.1744989,0.1735509,0.1739335,0.1735682,0.1732787,0.1739049,0.1730865,0.17392,0.130535,0.1261818,0.1271196,0.1264876,0.1287533,0.1267314,0.1262134,0.1273304,0.133036,0.1316999,0.1348467,0.1368388,0.1388003,0.1411462,0.1353657,0.1312416,0.1623524,0.1623524,0.1623524,0.1623524,0.1623524,0.1623524,0.1623524,0.1623524,0.1362327,0.1362445,0.1362445,0.1362445,0.1362445,0.1362473,0.1362445,0.1362443,0.1366814,0.1281015,0.1285195,0.1272316,0.1350706,0.1274701,0.130335,0.1302744,0.1164224,0.1087711,0.1093101,0.1084534,0.1104373,0.1090192,0.1092441,0.1095359,0.1385316,0.1635535,0.1754958,0.1614117,0.1349093,0.1611186,0.1619768,0.1818195
emotions,0.7598669,0.7614648,0.7636769,0.7627445,0.7550418,0.7620102,0.7540407,0.7586916,0.7520052,0.7597191,0.7525319,0.754115,0.7483769,0.7534386,0.7532249,0.7575332,0.7505661,0.7441853,0.7439348,0.7462213,0.7363334,0.7446732,0.7502514,0.7445885,0.7645354,0.7572385,0.7568763,0.7603867,0.7609339,0.7605419,0.7586824,0.7592265,0.7457818,0.7501399,0.7471647,0.7558517,0.7633733,0.7514838,0.7572814,0.7517306,0.7554429,0.747309,0.751435,0.7531566,0.7570992,0.7543784,0.7485207,0.75011,0.7402053,0.7410571,0.7396303,0.7430477,0.741316,0.7427902,0.7407968,0.7351746,0.752214,0.7560508,0.7493155,0.75247,0.7603704,0.7488056,0.7593026,0.7569197
enron,0.1755371,0.1730635,0.172445,0.1727892,0.173534,0.1733458,0.1736014,0.1734082,0.1651924,0.1697501,0.1699282,0.1703968,0.1689542,0.1701061,0.1714936,0.1679873,0.1618468,0.1608222,0.1603125,0.1579125,0.1627918,0.1586733,0.1595409,0.1594569,0.1450786,0.1450786,0.1450786,0.1450786,0.1450786,0.1450786,0.1450786,0.1450786,0.1254253,0.1254151,0.1253512,0.1254151,0.1254151,0.1253512,0.1254151,0.125341,0.1818209,0.1772911,0.179419,0.1797999,0.1807912,0.1794461,0.1811511,0.1749515,0.1715472,0.1723775,0.172224,0.1733183,0.1693615,0.1719443,0.1691237,0.1709402,0.1556395,0.1766941,0.1801243,0.1888605,0.1697258,0.1917571,0.1774194,0.1801113
