,Bagging-Genie3-10,Bagging-Genie3-100,Bagging-Genie3-150,Bagging-Genie3-200,Bagging-Genie3-25,Bagging-Genie3-250,Bagging-Genie3-50,Bagging-Genie3-75,Bagging-RForest-10,Bagging-RForest-100,Bagging-RForest-150,Bagging-RForest-200,Bagging-RForest-25,Bagging-RForest-250,Bagging-RForest-50,Bagging-RForest-75,Bagging-Symbolic-10,Bagging-Symbolic-100,Bagging-Symbolic-150,Bagging-Symbolic-200,Bagging-Symbolic-25,Bagging-Symbolic-250,Bagging-Symbolic-50,Bagging-Symbolic-75,ExtraTrees-Genie3-10,ExtraTrees-Genie3-100,ExtraTrees-Genie3-150,ExtraTrees-Genie3-200,ExtraTrees-Genie3-25,ExtraTrees-Genie3-250,ExtraTrees-Genie3-50,ExtraTrees-Genie3-75,ExtraTrees-Symbolic-10,ExtraTrees-Symbolic-100,ExtraTrees-Symbolic-150,ExtraTrees-Symbolic-200,ExtraTrees-Symbolic-25,ExtraTrees-Symbolic-250,ExtraTrees-Symbolic-50,ExtraTrees-Symbolic-75,RForest-Genie3-10,RForest-Genie3-100,RForest-Genie3-150,RForest-Genie3-200,RForest-Genie3-25,RForest-Genie3-250,RForest-Genie3-50,RForest-Genie3-75,RForest-RForest-10,RForest-RForest-100,RForest-RForest-150,RForest-RForest-200,RForest-RForest-25,RForest-RForest-250,RForest-RForest-50,RForest-RForest-75,RForest-Symbolic-10,RForest-Symbolic-100,RForest-Symbolic-150,RForest-Symbolic-200,RForest-Symbolic-25,RForest-Symbolic-250,RForest-Symbolic-50,RForest-Symbolic-75
Arts1,0.6100661,0.6085699,0.6074642,0.6081734,0.6088667,0.608726,0.6049055,0.6057574,0.5918724,0.5850111,0.5874025,0.5862958,0.588742,0.5867969,0.5873844,0.5847742,0.6185635,0.6207907,0.6223642,0.618934,0.6268796,0.6193138,0.6287044,0.6190625,0.6142103,0.6142103,0.6142103,0.6142103,0.6142103,0.6142103,0.6142103,0.6142103,0.6058802,0.6058876,0.6058771,0.605904,0.6058853,0.6058065,0.6058938,0.6060259,0.5945806,0.5891446,0.5869044,0.5888167,0.5958924,0.5888966,0.59307,0.58911,0.5776775,0.574975,0.5691251,0.5722616,0.5724478,0.5732989,0.578216,0.5715797,0.6012086,0.6232004,0.6353513,0.6355792,0.6219067,0.6317539,0.6345213,0.6327889
bibtex,0.7478995,0.7480879,0.7478342,0.7482748,0.7490426,0.7484054,0.7485383,0.7481874,0.7316411,0.7345573,0.7339699,0.7338843,0.7308383,0.7345271,0.7338416,0.7347578,0.7324896,0.7333005,0.7384174,0.7356594,0.7333225,0.735207,0.733755,0.7332193,0.6599027,0.6599027,0.6599027,0.6599027,0.6599027,0.6599027,0.6599027,0.6599027,0.6285412,0.6286159,0.6285453,0.6285588,0.6286164,0.6287038,0.6285561,0.6285462,0.7433637,0.7396694,0.7394155,0.738521,0.7401439,0.7388112,0.7396432,0.7405734,0.703598,0.7041438,0.7043425,0.7035271,0.7054134,0.7044696,0.7058752,0.7043932,0.7288972,0.7581527,0.7637352,0.763095,0.7338269,0.7616768,0.7551561,0.7565642
birds,0.823228,0.8269872,0.8268456,0.8262669,0.8271822,0.8263275,0.8271948,0.8272299,0.7984449,0.8116645,0.8124976,0.8136176,0.8048054,0.8127052,0.8128772,0.8133771,0.8218846,0.8287503,0.8281238,0.8279313,0.8283625,0.825977,0.8297623,0.8289957,0.8335494,0.8379215,0.8374908,0.8370745,0.8374597,0.8368902,0.8370583,0.837016,0.8275368,0.8290456,0.8292558,0.8296804,0.8287851,0.8298301,0.8291809,0.8297793,0.8184823,0.8210551,0.8182566,0.8170615,0.8117183,0.8197836,0.81849,0.8176931,0.8013657,0.8114007,0.8018778,0.8018604,0.8113606,0.810743,0.8106816,0.8091881,0.8266446,0.8251737,0.8225427,0.8239085,0.8276326,0.8172642,0.8275633,0.8278941
Business1,0.6290789,0.621832,0.6248113,0.6213637,0.622621,0.6254726,0.623095,0.6215503,0.6108697,0.6145802,0.6097516,0.6072783,0.6082828,0.6090516,0.6081185,0.609919,0.6084046,0.6298416,0.6319851,0.635743,0.6161312,0.6305327,0.6267534,0.6216249,0.6325631,0.6325679,0.6325618,0.6325682,0.6325621,0.6325642,0.6325637,0.6325705,0.6135373,0.6135374,0.6135348,0.6135366,0.613536,0.6135306,0.6135382,0.613532,0.6023822,0.5976466,0.5944215,0.5947074,0.6019327,0.5935307,0.6011086,0.6039779,0.597757,0.5878286,0.5880054,0.5848409,0.5913128,0.5861304,0.5917378,0.5899528,0.6136985,0.6288728,0.633792,0.6297753,0.6196685,0.6259609,0.6257421,0.6288171
Computers1,0.6413213,0.6383739,0.6382809,0.636271,0.6450033,0.637621,0.6384221,0.6380803,0.6319068,0.6276888,0.6292512,0.6303029,0.6298315,0.6284929,0.6295863,0.6305693,0.6376655,0.6432828,0.6465588,0.6431134,0.6388297,0.6442128,0.626528,0.636172,0.6416501,0.6416501,0.6416501,0.6416501,0.6416501,0.6416501,0.6416501,0.6416501,0.6114667,0.6114857,0.6114106,0.6115407,0.6114491,0.6114247,0.6114913,0.6114732,0.6333574,0.627042,0.6262998,0.6233611,0.6262301,0.6235575,0.6263874,0.6259901,0.6201908,0.6147169,0.6120101,0.610654,0.6196388,0.6110935,0.616341,0.6146833,0.6292897,0.6564201,0.6569201,0.6559774,0.6286122,0.6525136,0.6364907,0.6508807
corel5k,0.5377651,0.5389558,0.5407139,0.5402526,0.537652,0.5399105,0.5392762,0.5379325,0.543381,0.5062653,0.5029245,0.5176634,0.5105875,0.5461406,0.5057558,0.5056089,0.5439123,0.551806,0.5494966,0.5507219,0.5535215,0.551102,0.5502528,0.5545845,0.5478734,0.5478734,0.5478734,0.5478734,0.5478734,0.5478734,0.5478734,0.5478734,0.5013703,0.5013703,0.5013703,0.5013703,0.5013703,0.5013703,0.5013703,0.5013703,0.5441314,0.5470391,0.5450614,0.5445099,0.5410199,0.5449573,0.5412418,0.54359,0.5052218,0.5,0.5,0.5,0.5006051,0.5,0.5,0.5,0.5507027,0.5482871,0.5464341,0.544682,0.5488237,0.5442409,0.5438033,0.5472746
delicious,0.6456989,0.6460651,0.6461608,0.6461747,0.646333,0.6459925,0.6463007,0.646048,0.6481934,0.6476972,0.647735,0.6478678,0.6481486,0.6479857,0.6479338,0.6479325,0.6426299,0.6433669,0.6431145,0.6432508,0.6420754,0.6435055,0.6423785,0.6426968,0.6452678,0.6452678,0.6452678,0.6452678,0.6452678,0.6452678,0.6452678,0.6452678,0.6251736,0.6252608,0.6253333,0.6252249,0.62526,0.6252267,0.6252248,0.6251902,0.6470928,0.6469013,0.6468694,0.6467862,0.6468266,0.6465752,0.6470787,0.6472381,0.6502237,0.6504756,0.6504253,0.6500061,0.6505139,0.6499699,0.6507341,0.6507344,0.6408699,0.6448872,0.6445762,0.6449964,0.6421218,0.6442507,0.6431818,0.6440279
Education1,0.6083124,0.6101166,0.6088471,0.6057361,0.6044369,0.6056962,0.6030265,0.6083132,0.5886114,0.5855742,0.5841367,0.5836949,0.5867142,0.5838838,0.5835177,0.5852498,0.5900273,0.602051,0.6025303,0.6016238,0.5960564,0.6044982,0.5964116,0.5957561,0.6139401,0.6139401,0.6139401,0.6139401,0.6139401,0.6139401,0.6139401,0.6139401,0.6199229,0.6199622,0.6199622,0.6199622,0.6199622,0.619965,0.6199622,0.6199613,0.592354,0.5817083,0.5824877,0.5828016,0.5863588,0.5818907,0.5814002,0.5835912,0.5812729,0.5628381,0.564868,0.5664714,0.5765536,0.5658033,0.5655925,0.5668374,0.600627,0.6349934,0.6341949,0.6188788,0.5934113,0.6117784,0.6124722,0.6303574
emotions,0.8539788,0.851559,0.8525261,0.8523618,0.8513693,0.8520428,0.8481411,0.8503442,0.8473765,0.8500568,0.8462996,0.846503,0.8469418,0.8450032,0.8471369,0.8490293,0.8533277,0.8469793,0.8457628,0.8470091,0.8462852,0.8464702,0.8490326,0.8469393,0.8536969,0.8514007,0.8491841,0.8518561,0.8519733,0.8532584,0.8513108,0.8520685,0.8477619,0.8446702,0.8448,0.8468045,0.8491131,0.8468098,0.8483687,0.8473637,0.8489626,0.8480015,0.8506627,0.8507743,0.8527409,0.8506536,0.8478507,0.8473842,0.8425842,0.8407224,0.8397844,0.8405169,0.8419795,0.8390184,0.8419052,0.8388669,0.8501757,0.8453617,0.8454346,0.8478363,0.852354,0.8459286,0.8485429,0.8454844
enron,0.6448201,0.6432458,0.6418777,0.6412839,0.6421172,0.6418312,0.6441903,0.6422246,0.6397071,0.6402532,0.6402717,0.6408276,0.6398142,0.6406603,0.639876,0.6406209,0.6459273,0.6514459,0.6501116,0.6444405,0.6500586,0.6470592,0.649707,0.6485102,0.6218106,0.6218106,0.6218106,0.6218106,0.6218106,0.6218106,0.6218106,0.6218106,0.6097295,0.6096278,0.6096307,0.6096278,0.6096278,0.6096307,0.6096278,0.609529,0.6525133,0.6557507,0.6550266,0.6575399,0.650871,0.65647,0.6548067,0.6544811,0.6345595,0.6352091,0.6348844,0.6344311,0.6332453,0.6329021,0.6333486,0.6313251,0.6414411,0.6597869,0.6554129,0.659007,0.6604608,0.6580795,0.662315,0.6660902
