,Bagging-Genie3-10,Bagging-Genie3-100,Bagging-Genie3-150,Bagging-Genie3-200,Bagging-Genie3-25,Bagging-Genie3-250,Bagging-Genie3-50,Bagging-Genie3-75,Bagging-RForest-10,Bagging-RForest-100,Bagging-RForest-150,Bagging-RForest-200,Bagging-RForest-25,Bagging-RForest-250,Bagging-RForest-50,Bagging-RForest-75,Bagging-Symbolic-10,Bagging-Symbolic-100,Bagging-Symbolic-150,Bagging-Symbolic-200,Bagging-Symbolic-25,Bagging-Symbolic-250,Bagging-Symbolic-50,Bagging-Symbolic-75,ExtraTrees-Genie3-10,ExtraTrees-Genie3-100,ExtraTrees-Genie3-150,ExtraTrees-Genie3-200,ExtraTrees-Genie3-25,ExtraTrees-Genie3-250,ExtraTrees-Genie3-50,ExtraTrees-Genie3-75,ExtraTrees-Symbolic-10,ExtraTrees-Symbolic-100,ExtraTrees-Symbolic-150,ExtraTrees-Symbolic-200,ExtraTrees-Symbolic-25,ExtraTrees-Symbolic-250,ExtraTrees-Symbolic-50,ExtraTrees-Symbolic-75,RForest-Genie3-10,RForest-Genie3-100,RForest-Genie3-150,RForest-Genie3-200,RForest-Genie3-25,RForest-Genie3-250,RForest-Genie3-50,RForest-Genie3-75,RForest-RForest-10,RForest-RForest-100,RForest-RForest-150,RForest-RForest-200,RForest-RForest-25,RForest-RForest-250,RForest-RForest-50,RForest-RForest-75,RForest-Symbolic-10,RForest-Symbolic-100,RForest-Symbolic-150,RForest-Symbolic-200,RForest-Symbolic-25,RForest-Symbolic-250,RForest-Symbolic-50,RForest-Symbolic-75
Arts1,0.3083405,0.3004682,0.3013706,0.3009637,0.3061187,0.3022626,0.301507,0.3018049,0.2611218,0.2523161,0.2468471,0.2466622,0.2547215,0.2486506,0.2538861,0.251328,0.3234232,0.3382441,0.3410209,0.3359458,0.3233563,0.3339774,0.3319633,0.335709,0.3010913,0.3010913,0.3010913,0.3010913,0.3010913,0.3010913,0.3010913,0.3010913,0.3214401,0.3212772,0.3213242,0.321357,0.3213368,0.3213615,0.3213553,0.3217225,0.2631813,0.26526,0.2714095,0.2746608,0.2715505,0.2725312,0.2762156,0.2681093,0.2270156,0.2282985,0.2295055,0.2329957,0.2330596,0.2362645,0.2338381,0.2297426,0.2948881,0.322889,0.3250954,0.325671,0.3211752,0.3249856,0.3256827,0.3288263
bibtex,0.3052209,0.3075085,0.3065094,0.3060616,0.3057743,0.3065266,0.3063054,0.3079702,0.2787385,0.2797695,0.2794219,0.279346,0.2771992,0.2803778,0.2788484,0.2800538,0.2936864,0.299608,0.302542,0.2999413,0.2958045,0.2999027,0.2974151,0.300088,0.1714629,0.1714629,0.1714629,0.1714629,0.1714629,0.1714629,0.1714629,0.1714629,0.1443472,0.1444112,0.1443823,0.1443886,0.144399,0.1443946,0.1443909,0.1443666,0.2925658,0.2915783,0.2919859,0.2914897,0.2903459,0.2919004,0.2915871,0.2922013,0.2292814,0.2256764,0.2257994,0.2268654,0.2275721,0.2261389,0.2264242,0.2259129,0.2725728,0.3143797,0.3189018,0.3207202,0.2912946,0.3228531,0.3135045,0.3164693
birds,0.3345788,0.3361975,0.3349018,0.3348063,0.3221387,0.3346124,0.3313178,0.337615,0.3163291,0.3222525,0.3256697,0.3240868,0.3255716,0.3229526,0.3228256,0.3254473,0.3496477,0.3475345,0.3495046,0.3464953,0.3681752,0.3491963,0.3672837,0.3523379,0.3766355,0.3777388,0.3807403,0.3784113,0.3776579,0.3774329,0.3757326,0.3770071,0.3653352,0.361739,0.3619481,0.3678795,0.370554,0.3658976,0.3614283,0.3669524,0.3355842,0.34325,0.3399726,0.3365318,0.3397744,0.3381075,0.3408124,0.3402961,0.3246665,0.3245212,0.3228485,0.3226967,0.3203244,0.3187804,0.3271722,0.3205236,0.3510121,0.4139609,0.4080657,0.4128029,0.4193603,0.4148632,0.412975,0.4182982
Business1,0.7245758,0.7189537,0.719569,0.7190059,0.7194083,0.720816,0.7187043,0.7191467,0.7048004,0.701197,0.7019543,0.701749,0.7012996,0.7030341,0.7022439,0.7010867,0.7208865,0.7307287,0.7318921,0.7324623,0.7278974,0.7311239,0.7299368,0.7314035,0.727542,0.7275517,0.7275371,0.7275529,0.7275372,0.7275431,0.7275413,0.7275578,0.7214923,0.7215118,0.7214966,0.7214997,0.7215052,0.7214879,0.7215054,0.7214814,0.7133127,0.7135637,0.7117503,0.711579,0.7169204,0.7111958,0.7124183,0.7140908,0.6994898,0.7010345,0.7015577,0.6987257,0.6989879,0.7000903,0.6990631,0.6991783,0.7170332,0.7286143,0.729355,0.7264658,0.7218761,0.7266889,0.7248826,0.7283574
Computers1,0.4888321,0.4928091,0.4928908,0.4921799,0.4938602,0.4916435,0.4938964,0.4928361,0.4725122,0.4709146,0.4713383,0.4703584,0.466031,0.4697652,0.4693007,0.4729022,0.4790178,0.4824037,0.482387,0.4817023,0.4799945,0.4798483,0.4825822,0.4844276,0.495892,0.495892,0.495892,0.495892,0.495892,0.495892,0.495892,0.495892,0.4571077,0.4573117,0.4571119,0.4574592,0.4573051,0.457274,0.457372,0.4572819,0.4850689,0.4865916,0.4848287,0.4833541,0.4844309,0.4820865,0.4857238,0.4856296,0.4532875,0.4542388,0.4542247,0.4519556,0.4561006,0.4523092,0.4581395,0.4561526,0.4636812,0.4945462,0.4962235,0.4989015,0.4702066,0.4987655,0.4850749,0.4917386
corel5k,0.1062792,0.1102508,0.1101986,0.1088837,0.1076185,0.1083646,0.1106902,0.1090716,0.1046466,0.04392417,0.03788616,0.04483632,0.04624346,0.1029081,0.03945863,0.03839157,0.1212305,0.1146751,0.1125839,0.1163192,0.1136519,0.1178159,0.1214833,0.1182236,0.1007897,0.1007897,0.1007897,0.1007897,0.1007897,0.1007897,0.1007897,0.1007897,0.06024375,0.06024375,0.06024375,0.06024375,0.06024375,0.06024375,0.06024375,0.06024375,0.09428899,0.09411762,0.09459143,0.09684271,0.08828553,0.09612109,0.08951265,0.09246618,0.03738694,0.03510243,0.03510243,0.03510243,0.03550871,0.03510243,0.03510243,0.03510243,0.1166861,0.1137941,0.1145937,0.1113582,0.1120735,0.1198125,0.1127396,0.1124943
delicious,0.257955,0.2587201,0.2587817,0.2589189,0.2585018,0.2588926,0.2590793,0.258947,0.2502032,0.2498587,0.2499018,0.2498037,0.2497186,0.2498141,0.2498932,0.2497526,0.2556812,0.2567165,0.2567693,0.2562096,0.2565611,0.2558326,0.2558457,0.2564994,0.2593483,0.2593483,0.2593483,0.2593483,0.2593483,0.2593483,0.2593483,0.2593483,0.2266997,0.2266769,0.2266933,0.2266293,0.2266893,0.2265944,0.2266138,0.2266554,0.2623489,0.2624046,0.2624357,0.2624075,0.2622396,0.2622221,0.262552,0.2626848,0.2524332,0.2548192,0.2547397,0.2547145,0.2554318,0.2549648,0.2554136,0.2556421,0.2476984,0.2562245,0.2570866,0.2577177,0.2509711,0.2584319,0.2495831,0.2518723
Education1,0.3534835,0.3519161,0.3495577,0.3491994,0.3511827,0.3485691,0.3494395,0.3510254,0.2930672,0.2848238,0.2836467,0.2828974,0.2900692,0.2830122,0.2870317,0.2856696,0.3581662,0.3600087,0.3633416,0.3628055,0.3582205,0.3652476,0.3582428,0.3558847,0.3493257,0.3493257,0.3493257,0.3493257,0.3493257,0.3493257,0.3493257,0.3493257,0.3780558,0.3780476,0.3780476,0.3780476,0.3780476,0.3780682,0.3780476,0.3780455,0.3260349,0.3226293,0.3217388,0.3202375,0.3258544,0.3208042,0.3233469,0.3216598,0.2653019,0.2606707,0.2641998,0.2640162,0.2669415,0.2621189,0.2673203,0.2623108,0.3243956,0.3877971,0.3825475,0.3755685,0.351553,0.3653703,0.3800021,0.380751
emotions,0.7611323,0.7560061,0.7577667,0.755684,0.7515324,0.7571659,0.751894,0.7564818,0.7450974,0.7472182,0.7427926,0.7431591,0.7420011,0.7429216,0.742886,0.7477336,0.7409772,0.7374783,0.7347285,0.7384184,0.7272645,0.735895,0.7452035,0.7352108,0.7608061,0.7537302,0.7517418,0.7534689,0.7520273,0.7533026,0.7522912,0.7539733,0.7430125,0.7420209,0.7385331,0.746578,0.7576152,0.7414913,0.7476526,0.7433508,0.742636,0.7374304,0.7430632,0.742887,0.7446015,0.7434568,0.7368484,0.7393262,0.7323032,0.7291127,0.7300959,0.7313333,0.7324623,0.7312569,0.7281781,0.7258033,0.7290824,0.7395649,0.7366745,0.7384419,0.7470932,0.7323044,0.7322614,0.7377127
enron,0.5359857,0.5375069,0.5381609,0.5407903,0.5361449,0.5407674,0.5396195,0.537807,0.4803806,0.4763147,0.476567,0.4776185,0.48231,0.4779038,0.4796127,0.4756109,0.5323653,0.535751,0.5350765,0.5361534,0.5322559,0.5361305,0.5336307,0.5310484,0.5061921,0.5061921,0.5061921,0.5061921,0.5061921,0.5061921,0.5061921,0.5061921,0.4703003,0.4703635,0.4701708,0.4703635,0.4703635,0.4701708,0.4703635,0.470234,0.5294609,0.5297594,0.5308606,0.5311057,0.5270489,0.5302852,0.5297972,0.5286953,0.4790231,0.4684838,0.469939,0.4694738,0.4714766,0.4695905,0.4685521,0.4683849,0.5230436,0.5422091,0.544788,0.5476613,0.5342077,0.5466356,0.5435288,0.5409874
