,baseline,It25Neigh1HammingLoss,It25Neigh1MLAccuracy,It25Neigh1MLFOne,It25Neigh1SubsetAccuracy,It25Neigh5HammingLoss,It25Neigh5MLAccuracy,It25Neigh5MLFOne,It25Neigh5SubsetAccuracy,It25Neigh10HammingLoss,It25Neigh10MLAccuracy,It25Neigh10MLFOne,It25Neigh10SubsetAccuracy,It25Neigh15HammingLoss,It25Neigh15MLAccuracy,It25Neigh15MLFOne,It25Neigh15SubsetAccuracy,It25Neigh20HammingLoss,It25Neigh20MLAccuracy,It25Neigh20MLFOne,It25Neigh20SubsetAccuracy,It25Neigh25HammingLoss,It25Neigh25MLAccuracy,It25Neigh25MLFOne,It25Neigh25SubsetAccuracy,It25Neigh30HammingLoss,It25Neigh30MLAccuracy,It25Neigh30MLFOne,It25Neigh30SubsetAccuracy,It25Neigh40HammingLoss,It25Neigh40MLAccuracy,It25Neigh40MLFOne,It25Neigh40SubsetAccuracy,It50Neigh1HammingLoss,It50Neigh1MLAccuracy,It50Neigh1MLFOne,It50Neigh1SubsetAccuracy,It50Neigh5HammingLoss,It50Neigh5MLAccuracy,It50Neigh5MLFOne,It50Neigh5SubsetAccuracy,It50Neigh10HammingLoss,It50Neigh10MLAccuracy,It50Neigh10MLFOne,It50Neigh10SubsetAccuracy,It50Neigh15HammingLoss,It50Neigh15MLAccuracy,It50Neigh15MLFOne,It50Neigh15SubsetAccuracy,It50Neigh20HammingLoss,It50Neigh20MLAccuracy,It50Neigh20MLFOne,It50Neigh20SubsetAccuracy,It50Neigh25HammingLoss,It50Neigh25MLAccuracy,It50Neigh25MLFOne,It50Neigh25SubsetAccuracy,It50Neigh30HammingLoss,It50Neigh30MLAccuracy,It50Neigh30MLFOne,It50Neigh30SubsetAccuracy,It50Neigh40HammingLoss,It50Neigh40MLAccuracy,It50Neigh40MLFOne,It50Neigh40SubsetAccuracy,It100Neigh1HammingLoss,It100Neigh1MLAccuracy,It100Neigh1MLFOne,It100Neigh1SubsetAccuracy,It100Neigh5HammingLoss,It100Neigh5MLAccuracy,It100Neigh5MLFOne,It100Neigh5SubsetAccuracy,It100Neigh10HammingLoss,It100Neigh10MLAccuracy,It100Neigh10MLFOne,It100Neigh10SubsetAccuracy,It100Neigh15HammingLoss,It100Neigh15MLAccuracy,It100Neigh15MLFOne,It100Neigh15SubsetAccuracy,It100Neigh20HammingLoss,It100Neigh20MLAccuracy,It100Neigh20MLFOne,It100Neigh20SubsetAccuracy,It100Neigh25HammingLoss,It100Neigh25MLAccuracy,It100Neigh25MLFOne,It100Neigh25SubsetAccuracy,It100Neigh30HammingLoss,It100Neigh30MLAccuracy,It100Neigh30MLFOne,It100Neigh30SubsetAccuracy,It100Neigh40HammingLoss,It100Neigh40MLAccuracy,It100Neigh40MLFOne,It100Neigh40SubsetAccuracy
bibtex,0.0147,0.0147,0.0145,0.0145,0.0151,0.0146,0.0144,0.0143,0.0147,0.0145,0.0143,0.0142,0.0146,0.0144,0.0143,0.0142,0.0145,0.0144,0.0142,0.0142,0.0145,0.0143,0.0142,0.0142,0.0145,0.0143,0.0142,0.0142,0.0145,0.0143,0.0142,0.0142,0.0145,0.0153,0.0145,0.0145,0.0148,0.0146,0.0144,0.0144,0.0146,0.0145,0.0143,0.0143,0.0145,0.0144,0.0143,0.0142,0.0146,0.0144,0.0143,0.0142,0.0145,0.0144,0.0143,0.0142,0.0145,0.0143,0.0142,0.0142,0.0144,0.0143,0.0142,0.0142,0.0144,0.0151,0.0144,0.0144,0.0146,0.0147,0.0144,0.0144,0.0146,0.0145,0.0143,0.0143,0.0145,0.0144,0.0143,0.0142,0.0145,0.0144,0.0142,0.0142,0.0145,0.0144,0.0142,0.0142,0.0145,0.0143,0.0142,0.0142,0.0145,0.0143,0.0142,0.0142,0.0144
birds,0.0487,0.046,0.0464,0.0468,0.0455,0.0446,0.0476,0.0481,0.046,0.0443,0.0471,0.0476,0.045,0.044,0.0468,0.0471,0.0448,0.0443,0.046,0.0461,0.0446,0.044,0.0448,0.0456,0.0445,0.0443,0.0451,0.0453,0.0458,0.0445,0.0448,0.0455,0.0456,0.0463,0.0471,0.0484,0.0466,0.0461,0.046,0.0471,0.0451,0.0464,0.0446,0.0456,0.0456,0.046,0.0445,0.0446,0.0451,0.0455,0.0446,0.0448,0.0455,0.0448,0.0445,0.045,0.0451,0.0448,0.0438,0.0448,0.0463,0.0446,0.0435,0.0435,0.0463,0.0458,0.0463,0.0469,0.046,0.0458,0.0453,0.046,0.0451,0.0453,0.045,0.0453,0.045,0.045,0.045,0.0451,0.0456,0.0448,0.0437,0.045,0.0476,0.0451,0.0438,0.0446,0.0471,0.0448,0.0442,0.0442,0.0476,0.0453,0.0445,0.0437,0.0473
corel5k,0.0094,0.00939,0.00937,0.00939,0.00943,0.00947,0.0097,0.00961,0.00955,0.00991,0.00987,0.00994,0.00965,0.00955,0.00991,0.00987,0.00964,0.00984,0.0099,0.00993,0.00956,0.00981,0.00994,0.00998,0.00978,0.00987,0.01,0.0101,0.0102,0.00997,0.0101,0.0101,0.00952,0.00979,0.00945,0.0095,0.0094,0.00961,0.00948,0.00958,0.00993,0.00955,0.00978,0.00988,0.0101,0.0098,0.00979,0.00991,0.0099,0.0096,0.0099,0.00984,0.00973,0.00953,0.00997,0.00991,0.0106,0.00962,0.0101,0.0101,0.0108,0.00978,0.0104,0.0103,0.00976,0.00977,0.01,0.00973,0.00942,0.00982,0.00955,0.00951,0.00978,0.00988,0.00968,0.00974,0.00994,0.00982,0.00978,0.00974,0.0099,0.00968,0.00975,0.00995,0.00973,0.00977,0.00992,0.00994,0.00984,0.00982,0.0101,0.0101,0.00984,0.00991,0.0102,0.0101,0.00962
delicious,0.0184,0.0186,0.0187,0.0189,0.0187,0.0186,0.0189,0.019,0.0186,0.0186,0.019,0.0192,0.0186,0.0186,0.0191,0.0192,0.0186,0.0186,0.0191,0.0192,0.0186,0.0186,0.0191,0.0192,0.0186,0.0186,0.0191,0.0192,0.0186,0.0186,0.0192,0.0192,0.0186,0.0186,0.0188,0.0189,0.0186,0.0186,0.0189,0.0193,0.0186,0.0186,0.0191,0.0192,0.0186,0.0186,0.0191,0.0192,0.0186,0.0186,0.0192,0.0192,0.0186,0.0186,0.0191,0.0191,0.0185,0.0186,0.0191,0.0191,0.0185,0.0186,0.0191,0.0195,0.0185,0.0187,0.0188,0.0189,0.0187,0.0186,0.0191,0.0192,0.0186,0.0186,0.0191,0.0192,0.0186,0.0186,0.0192,0.0192,0.0186,0.0186,0.0192,0.0192,0.0186,0.0186,0.0191,0.0193,0.0186,0.0186,0.0191,0.0193,0.0186,0.0185,0.0191,0.0193,0.0186
emotions,0.186,0.191,0.187,0.192,0.19,0.202,0.2,0.205,0.2,0.215,0.217,0.224,0.2,0.215,0.212,0.216,0.201,0.201,0.203,0.211,0.201,0.208,0.2,0.206,0.204,0.201,0.202,0.208,0.198,0.206,0.201,0.208,0.207,0.196,0.204,0.206,0.201,0.201,0.196,0.208,0.196,0.219,0.21,0.213,0.195,0.221,0.2,0.212,0.203,0.219,0.205,0.208,0.201,0.223,0.2,0.205,0.21,0.219,0.202,0.21,0.21,0.21,0.202,0.213,0.203,0.194,0.196,0.196,0.196,0.195,0.185,0.191,0.202,0.201,0.187,0.196,0.187,0.206,0.188,0.192,0.191,0.203,0.201,0.201,0.199,0.209,0.2,0.202,0.196,0.207,0.204,0.205,0.195,0.213,0.198,0.206,0.197
enron,0.0579,0.055,0.0539,0.054,0.0555,0.0574,0.053,0.0531,0.0553,0.0579,0.0521,0.052,0.0546,0.0571,0.0518,0.0521,0.0545,0.0573,0.0522,0.0516,0.0542,0.0576,0.0524,0.0517,0.0546,0.057,0.0521,0.0514,0.0545,0.0572,0.0517,0.0519,0.0542,0.0567,0.0545,0.0544,0.0557,0.0573,0.0533,0.0533,0.0545,0.0566,0.0528,0.0521,0.0546,0.0565,0.0532,0.052,0.0545,0.0565,0.0532,0.0519,0.0542,0.0563,0.0525,0.0521,0.0541,0.0562,0.0528,0.0523,0.0543,0.0558,0.0526,0.0522,0.0542,0.0574,0.0552,0.055,0.0565,0.057,0.0541,0.0535,0.0555,0.0569,0.0531,0.0522,0.0545,0.0562,0.053,0.0519,0.0542,0.056,0.0527,0.0519,0.0542,0.056,0.0527,0.0518,0.0546,0.056,0.0526,0.0521,0.0546,0.0556,0.0524,0.0514,0.0542
genbase,0.00316,0.0424,0.0424,0.0424,0.0424,0.00912,0.00986,0.0134,0.0104,0.00409,0.00447,0.00465,0.00465,0.00298,0.00279,0.00316,0.00335,0.00298,0.00279,0.00279,0.00316,0.00298,0.00279,0.00279,0.00298,0.00298,0.00279,0.00279,0.00298,0.00279,0.00279,0.00465,0.00279,0.0406,0.0406,0.0406,0.0406,0.0117,0.0117,0.0117,0.0121,0.00298,0.00279,0.00316,0.00298,0.00316,0.00316,0.00279,0.00335,0.00316,0.00298,0.00279,0.00335,0.00316,0.00298,0.00279,0.00335,0.00316,0.00279,0.00279,0.00298,0.00279,0.00279,0.00447,0.00279,0.0393,0.0393,0.0393,0.0393,0.011,0.00875,0.00875,0.0125,0.00409,0.00316,0.00316,0.00465,0.00316,0.00316,0.00316,0.00335,0.00298,0.00298,0.00298,0.00335,0.00298,0.00298,0.00298,0.00316,0.00298,0.00298,0.00298,0.00298,0.00298,0.00279,0.00279,0.00279
mediamill,0.0317,0.0316,0.0315,0.0315,0.0315,0.0316,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0314,0.0314,0.0315,0.0316,0.0315,0.0314,0.0315,0.0316,0.0314,0.0315,0.0315,0.0316,0.0314,0.0315,0.0315,0.0316,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0316,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0316,0.0315,0.0315,0.0315,0.0316,0.0315,0.0314,0.0315,0.0316,0.0314,0.0315,0.0315,0.0316,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0316,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0316,0.0315,0.0315,0.0315,0.0316,0.0315,0.0314,0.0316,0.0316,0.0314,0.0315,0.0315,0.0316,0.0315,0.0315,0.0315,0.0316,0.0315,0.0315,0.0316
medical,0.0192,0.0131,0.0134,0.0132,0.0145,0.0157,0.0139,0.0137,0.0157,0.014,0.0136,0.0132,0.0139,0.0133,0.0132,0.013,0.0133,0.0133,0.0128,0.013,0.0131,0.0131,0.0133,0.0133,0.0131,0.0131,0.013,0.0135,0.0127,0.0143,0.0144,0.0149,0.0129,0.0149,0.0148,0.015,0.0169,0.0148,0.0143,0.0129,0.0169,0.0129,0.0127,0.0128,0.0144,0.0127,0.0123,0.0128,0.0126,0.0128,0.0126,0.0124,0.0125,0.0131,0.0127,0.013,0.0127,0.0135,0.013,0.0129,0.0131,0.0143,0.0131,0.0131,0.0133,0.0139,0.0134,0.0133,0.0133,0.014,0.0134,0.0136,0.0161,0.0133,0.0131,0.0133,0.0147,0.0129,0.0129,0.0128,0.013,0.0129,0.0129,0.0131,0.0127,0.0129,0.0131,0.0129,0.0124,0.0131,0.0133,0.0133,0.0127,0.0131,0.0137,0.0133,0.0135
scene,0.105,0.117,0.117,0.118,0.119,0.137,0.136,0.135,0.134,0.136,0.14,0.14,0.137,0.138,0.139,0.138,0.136,0.14,0.14,0.142,0.14,0.14,0.141,0.141,0.137,0.135,0.138,0.138,0.134,0.137,0.137,0.138,0.135,0.115,0.114,0.115,0.114,0.133,0.132,0.131,0.135,0.133,0.134,0.132,0.137,0.135,0.137,0.136,0.136,0.138,0.139,0.14,0.136,0.137,0.139,0.14,0.137,0.134,0.136,0.137,0.133,0.134,0.138,0.139,0.135,0.119,0.119,0.12,0.118,0.133,0.134,0.135,0.134,0.137,0.139,0.139,0.138,0.14,0.142,0.14,0.139,0.143,0.143,0.144,0.138,0.14,0.14,0.14,0.139,0.138,0.14,0.14,0.137,0.139,0.14,0.144,0.14
