,baseline,It25Neigh1HammingLoss,It25Neigh1MLAccuracy,It25Neigh1MLFOne,It25Neigh1SubsetAccuracy,It25Neigh5HammingLoss,It25Neigh5MLAccuracy,It25Neigh5MLFOne,It25Neigh5SubsetAccuracy,It25Neigh10HammingLoss,It25Neigh10MLAccuracy,It25Neigh10MLFOne,It25Neigh10SubsetAccuracy,It25Neigh15HammingLoss,It25Neigh15MLAccuracy,It25Neigh15MLFOne,It25Neigh15SubsetAccuracy,It25Neigh20HammingLoss,It25Neigh20MLAccuracy,It25Neigh20MLFOne,It25Neigh20SubsetAccuracy,It25Neigh25HammingLoss,It25Neigh25MLAccuracy,It25Neigh25MLFOne,It25Neigh25SubsetAccuracy,It25Neigh30HammingLoss,It25Neigh30MLAccuracy,It25Neigh30MLFOne,It25Neigh30SubsetAccuracy,It25Neigh40HammingLoss,It25Neigh40MLAccuracy,It25Neigh40MLFOne,It25Neigh40SubsetAccuracy,It50Neigh1HammingLoss,It50Neigh1MLAccuracy,It50Neigh1MLFOne,It50Neigh1SubsetAccuracy,It50Neigh5HammingLoss,It50Neigh5MLAccuracy,It50Neigh5MLFOne,It50Neigh5SubsetAccuracy,It50Neigh10HammingLoss,It50Neigh10MLAccuracy,It50Neigh10MLFOne,It50Neigh10SubsetAccuracy,It50Neigh15HammingLoss,It50Neigh15MLAccuracy,It50Neigh15MLFOne,It50Neigh15SubsetAccuracy,It50Neigh20HammingLoss,It50Neigh20MLAccuracy,It50Neigh20MLFOne,It50Neigh20SubsetAccuracy,It50Neigh25HammingLoss,It50Neigh25MLAccuracy,It50Neigh25MLFOne,It50Neigh25SubsetAccuracy,It50Neigh30HammingLoss,It50Neigh30MLAccuracy,It50Neigh30MLFOne,It50Neigh30SubsetAccuracy,It50Neigh40HammingLoss,It50Neigh40MLAccuracy,It50Neigh40MLFOne,It50Neigh40SubsetAccuracy,It100Neigh1HammingLoss,It100Neigh1MLAccuracy,It100Neigh1MLFOne,It100Neigh1SubsetAccuracy,It100Neigh5HammingLoss,It100Neigh5MLAccuracy,It100Neigh5MLFOne,It100Neigh5SubsetAccuracy,It100Neigh10HammingLoss,It100Neigh10MLAccuracy,It100Neigh10MLFOne,It100Neigh10SubsetAccuracy,It100Neigh15HammingLoss,It100Neigh15MLAccuracy,It100Neigh15MLFOne,It100Neigh15SubsetAccuracy,It100Neigh20HammingLoss,It100Neigh20MLAccuracy,It100Neigh20MLFOne,It100Neigh20SubsetAccuracy,It100Neigh25HammingLoss,It100Neigh25MLAccuracy,It100Neigh25MLFOne,It100Neigh25SubsetAccuracy,It100Neigh30HammingLoss,It100Neigh30MLAccuracy,It100Neigh30MLFOne,It100Neigh30SubsetAccuracy,It100Neigh40HammingLoss,It100Neigh40MLAccuracy,It100Neigh40MLFOne,It100Neigh40SubsetAccuracy
bibtex,0.123,0.153,0.18,0.183,0.0897,0.177,0.188,0.193,0.189,0.176,0.195,0.202,0.2,0.187,0.2,0.2,0.201,0.186,0.2,0.199,0.202,0.194,0.198,0.196,0.194,0.198,0.198,0.197,0.194,0.194,0.197,0.196,0.194,0.176,0.188,0.189,0.144,0.182,0.188,0.195,0.193,0.184,0.196,0.201,0.199,0.192,0.197,0.199,0.199,0.2,0.197,0.198,0.199,0.203,0.195,0.198,0.197,0.201,0.196,0.197,0.2,0.197,0.197,0.199,0.2,0.176,0.198,0.195,0.172,0.183,0.193,0.197,0.203,0.187,0.197,0.203,0.205,0.196,0.198,0.201,0.205,0.203,0.198,0.201,0.201,0.205,0.2,0.199,0.201,0.207,0.199,0.199,0.202,0.209,0.2,0.2,0.201
birds,0.556,0.613,0.61,0.613,0.601,0.596,0.613,0.607,0.599,0.602,0.607,0.608,0.613,0.601,0.598,0.602,0.611,0.601,0.616,0.613,0.605,0.608,0.621,0.619,0.604,0.613,0.613,0.618,0.588,0.602,0.613,0.61,0.588,0.604,0.601,0.591,0.593,0.601,0.608,0.608,0.605,0.599,0.63,0.615,0.604,0.601,0.625,0.633,0.598,0.602,0.618,0.619,0.594,0.608,0.619,0.615,0.598,0.604,0.616,0.613,0.579,0.607,0.619,0.616,0.582,0.587,0.608,0.599,0.579,0.601,0.618,0.61,0.604,0.602,0.616,0.621,0.61,0.61,0.618,0.621,0.588,0.602,0.619,0.618,0.551,0.599,0.616,0.621,0.563,0.601,0.613,0.616,0.557,0.591,0.61,0.618,0.563
corel5k,0.0307,0.027,0.018,0.014,0.0243,0.0487,0.033,0.026,0.0533,0.0617,0.055,0.056,0.042,0.0663,0.043,0.0443,0.048,0.066,0.0547,0.0523,0.0423,0.058,0.0573,0.068,0.0487,0.0593,0.0653,0.0647,0.0697,0.0727,0.0657,0.0673,0.0383,0.077,0.041,0.04,0.046,0.065,0.039,0.037,0.065,0.048,0.043,0.056,0.0867,0.037,0.042,0.059,0.0647,0.056,0.0575,0.0727,0.0577,0.06,0.063,0.046,0.0573,0.0543,0.046,0.0557,0.0623,0.0553,0.0643,0.0697,0.0473,0.059,0.056,0.0643,0.0367,0.066,0.036,0.036,0.0517,0.05,0.044,0.054,0.0627,0.031,0.036,0.04,0.0382,0.061,0.047,0.057,0.0403,0.06,0.06,0.044,0.0497,0.0627,0.0467,0.047,0.0507,0.0617,0.0597,0.0623,0.0297
delicious,0.453,0.41,0.428,0.385,0.417,0.36,0.438,0.434,0.418,0.361,0.433,0.241,0.431,0.355,0.268,0.234,0.422,0.334,0.269,0.237,0.429,0.344,0.258,0.237,0.429,0.342,0.257,0.236,0.43,0.345,0.248,0.244,0.429,0.397,0.422,0.42,0.411,0.375,0.429,0.401,0.415,0.356,0.406,0.412,0.428,0.347,0.407,0.244,0.431,0.35,0.413,0.25,0.431,0.349,0.42,0.255,0.429,0.351,0.272,0.249,0.428,0.362,0.27,0.369,0.43,0.431,0.418,0.42,0.428,0.371,0.417,0.416,0.427,0.366,0.407,0.389,0.427,0.356,0.409,0.398,0.427,0.362,0.395,0.395,0.429,0.362,0.26,0.396,0.426,0.361,0.249,0.395,0.44,0.364,0.259,0.393,0.439
emotions,0.697,0.676,0.687,0.669,0.674,0.667,0.658,0.639,0.686,0.683,0.647,0.612,0.669,0.681,0.65,0.644,0.682,0.723,0.683,0.657,0.677,0.705,0.67,0.658,0.695,0.702,0.682,0.666,0.7,0.699,0.665,0.656,0.689,0.676,0.631,0.63,0.663,0.674,0.667,0.634,0.679,0.673,0.649,0.634,0.682,0.662,0.677,0.64,0.687,0.67,0.655,0.653,0.69,0.661,0.672,0.668,0.664,0.677,0.685,0.647,0.678,0.68,0.67,0.631,0.686,0.676,0.677,0.682,0.69,0.679,0.672,0.663,0.67,0.69,0.694,0.654,0.703,0.693,0.695,0.674,0.708,0.695,0.658,0.667,0.682,0.683,0.662,0.657,0.689,0.677,0.662,0.646,0.691,0.697,0.672,0.654,0.684
enron,0.403,0.553,0.575,0.582,0.512,0.481,0.59,0.607,0.553,0.49,0.608,0.616,0.568,0.503,0.617,0.617,0.574,0.503,0.62,0.618,0.581,0.505,0.61,0.623,0.572,0.516,0.611,0.625,0.576,0.512,0.61,0.62,0.586,0.524,0.557,0.566,0.516,0.502,0.59,0.594,0.567,0.518,0.593,0.614,0.57,0.518,0.594,0.613,0.574,0.515,0.589,0.6,0.584,0.528,0.604,0.594,0.584,0.526,0.597,0.598,0.583,0.527,0.601,0.606,0.59,0.499,0.556,0.562,0.513,0.507,0.578,0.601,0.552,0.504,0.59,0.608,0.564,0.518,0.594,0.607,0.578,0.517,0.598,0.613,0.579,0.523,0.598,0.61,0.573,0.517,0.601,0.604,0.574,0.534,0.605,0.615,0.584
genbase,0.99,0.0854,0.0854,0.0854,0.0854,0.917,0.912,0.746,0.912,0.985,0.982,0.982,0.98,0.995,1.0,0.995,0.99,0.995,1.0,1.0,0.99,0.995,1.0,1.0,0.995,0.995,1.0,1.0,0.995,1.0,1.0,0.975,1.0,0.136,0.136,0.136,0.136,0.764,0.764,0.759,0.759,0.995,1.0,0.995,0.995,0.995,0.995,1.0,0.99,0.995,0.995,1.0,0.99,0.995,0.995,1.0,0.99,0.995,1.0,1.0,0.995,1.0,1.0,0.977,1.0,0.151,0.151,0.151,0.151,0.889,0.92,0.92,0.869,0.98,0.995,0.995,0.965,0.995,0.995,0.995,0.99,0.995,0.995,0.995,0.99,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,1.0,1.0,1.0
mediamill,0.709,0.71,0.71,0.711,0.71,0.71,0.71,0.711,0.71,0.711,0.71,0.711,0.71,0.712,0.711,0.712,0.711,0.712,0.711,0.712,0.711,0.712,0.712,0.712,0.712,0.712,0.713,0.712,0.711,0.712,0.712,0.712,0.71,0.711,0.711,0.711,0.71,0.711,0.71,0.711,0.711,0.711,0.71,0.711,0.711,0.711,0.71,0.712,0.711,0.711,0.711,0.711,0.711,0.711,0.711,0.712,0.712,0.712,0.712,0.712,0.712,0.711,0.712,0.712,0.711,0.71,0.711,0.711,0.71,0.711,0.71,0.71,0.71,0.711,0.71,0.711,0.71,0.711,0.711,0.712,0.71,0.711,0.712,0.712,0.71,0.711,0.711,0.712,0.71,0.712,0.712,0.712,0.711,0.711,0.712,0.712,0.711
medical,0.453,0.754,0.746,0.752,0.71,0.727,0.754,0.758,0.71,0.751,0.752,0.763,0.758,0.745,0.758,0.755,0.758,0.743,0.766,0.748,0.752,0.745,0.743,0.746,0.749,0.737,0.754,0.742,0.752,0.695,0.742,0.73,0.737,0.713,0.722,0.71,0.674,0.73,0.734,0.766,0.689,0.754,0.767,0.764,0.731,0.749,0.76,0.751,0.758,0.742,0.751,0.758,0.751,0.724,0.746,0.743,0.743,0.713,0.74,0.746,0.722,0.68,0.74,0.737,0.721,0.733,0.751,0.754,0.749,0.743,0.763,0.761,0.71,0.752,0.757,0.758,0.73,0.754,0.763,0.772,0.758,0.748,0.757,0.757,0.754,0.742,0.754,0.754,0.763,0.742,0.751,0.751,0.751,0.73,0.751,0.749,0.727
scene,0.598,0.55,0.549,0.545,0.543,0.455,0.453,0.445,0.464,0.431,0.415,0.41,0.439,0.427,0.426,0.425,0.452,0.424,0.417,0.411,0.44,0.431,0.427,0.423,0.45,0.451,0.441,0.441,0.462,0.452,0.448,0.435,0.468,0.546,0.553,0.55,0.559,0.461,0.457,0.457,0.457,0.45,0.447,0.454,0.447,0.451,0.44,0.44,0.453,0.444,0.432,0.423,0.453,0.451,0.437,0.428,0.457,0.464,0.453,0.442,0.471,0.465,0.443,0.433,0.465,0.536,0.536,0.531,0.54,0.452,0.449,0.434,0.46,0.427,0.418,0.411,0.442,0.419,0.405,0.408,0.436,0.415,0.401,0.397,0.437,0.418,0.418,0.418,0.436,0.432,0.422,0.419,0.442,0.433,0.418,0.408,0.429
