,baseline,It25Neigh1HammingLoss,It25Neigh1MLAccuracy,It25Neigh1MLFOne,It25Neigh1SubsetAccuracy,It25Neigh5HammingLoss,It25Neigh5MLAccuracy,It25Neigh5MLFOne,It25Neigh5SubsetAccuracy,It25Neigh10HammingLoss,It25Neigh10MLAccuracy,It25Neigh10MLFOne,It25Neigh10SubsetAccuracy,It25Neigh15HammingLoss,It25Neigh15MLAccuracy,It25Neigh15MLFOne,It25Neigh15SubsetAccuracy,It25Neigh20HammingLoss,It25Neigh20MLAccuracy,It25Neigh20MLFOne,It25Neigh20SubsetAccuracy,It25Neigh25HammingLoss,It25Neigh25MLAccuracy,It25Neigh25MLFOne,It25Neigh25SubsetAccuracy,It25Neigh30HammingLoss,It25Neigh30MLAccuracy,It25Neigh30MLFOne,It25Neigh30SubsetAccuracy,It25Neigh40HammingLoss,It25Neigh40MLAccuracy,It25Neigh40MLFOne,It25Neigh40SubsetAccuracy,It50Neigh1HammingLoss,It50Neigh1MLAccuracy,It50Neigh1MLFOne,It50Neigh1SubsetAccuracy,It50Neigh5HammingLoss,It50Neigh5MLAccuracy,It50Neigh5MLFOne,It50Neigh5SubsetAccuracy,It50Neigh10HammingLoss,It50Neigh10MLAccuracy,It50Neigh10MLFOne,It50Neigh10SubsetAccuracy,It50Neigh15HammingLoss,It50Neigh15MLAccuracy,It50Neigh15MLFOne,It50Neigh15SubsetAccuracy,It50Neigh20HammingLoss,It50Neigh20MLAccuracy,It50Neigh20MLFOne,It50Neigh20SubsetAccuracy,It50Neigh25HammingLoss,It50Neigh25MLAccuracy,It50Neigh25MLFOne,It50Neigh25SubsetAccuracy,It50Neigh30HammingLoss,It50Neigh30MLAccuracy,It50Neigh30MLFOne,It50Neigh30SubsetAccuracy,It50Neigh40HammingLoss,It50Neigh40MLAccuracy,It50Neigh40MLFOne,It50Neigh40SubsetAccuracy,It100Neigh1HammingLoss,It100Neigh1MLAccuracy,It100Neigh1MLFOne,It100Neigh1SubsetAccuracy,It100Neigh5HammingLoss,It100Neigh5MLAccuracy,It100Neigh5MLFOne,It100Neigh5SubsetAccuracy,It100Neigh10HammingLoss,It100Neigh10MLAccuracy,It100Neigh10MLFOne,It100Neigh10SubsetAccuracy,It100Neigh15HammingLoss,It100Neigh15MLAccuracy,It100Neigh15MLFOne,It100Neigh15SubsetAccuracy,It100Neigh20HammingLoss,It100Neigh20MLAccuracy,It100Neigh20MLFOne,It100Neigh20SubsetAccuracy,It100Neigh25HammingLoss,It100Neigh25MLAccuracy,It100Neigh25MLFOne,It100Neigh25SubsetAccuracy,It100Neigh30HammingLoss,It100Neigh30MLAccuracy,It100Neigh30MLFOne,It100Neigh30SubsetAccuracy,It100Neigh40HammingLoss,It100Neigh40MLAccuracy,It100Neigh40MLFOne,It100Neigh40SubsetAccuracy
bibtex,0.052,0.0702,0.0775,0.0798,0.048,0.0759,0.0841,0.0854,0.0884,0.0743,0.0873,0.092,0.094,0.0804,0.0914,0.0923,0.0941,0.0796,0.0917,0.0917,0.0945,0.0859,0.0903,0.0889,0.0899,0.0895,0.0908,0.0894,0.0895,0.0876,0.0894,0.0884,0.0885,0.088,0.0844,0.0837,0.0728,0.0805,0.0827,0.0865,0.0891,0.0804,0.0887,0.0921,0.094,0.0862,0.0898,0.0908,0.0935,0.0913,0.0886,0.0902,0.0922,0.0933,0.0872,0.0897,0.0912,0.092,0.0881,0.0891,0.0921,0.0907,0.0891,0.0907,0.0919,0.0852,0.0916,0.0886,0.0858,0.0797,0.0858,0.0887,0.0984,0.0829,0.088,0.0933,0.0983,0.0893,0.0899,0.092,0.098,0.0937,0.0899,0.0912,0.0951,0.0947,0.0908,0.0899,0.0937,0.0963,0.09,0.0897,0.0945,0.0979,0.0908,0.0908,0.0935
birds,0.525,0.557,0.55,0.55,0.549,0.548,0.548,0.54,0.541,0.553,0.546,0.548,0.555,0.552,0.542,0.544,0.554,0.557,0.553,0.55,0.548,0.554,0.561,0.554,0.54,0.556,0.554,0.559,0.528,0.551,0.554,0.555,0.529,0.543,0.531,0.527,0.536,0.545,0.544,0.543,0.547,0.543,0.561,0.548,0.545,0.542,0.559,0.562,0.536,0.545,0.556,0.555,0.54,0.547,0.556,0.554,0.542,0.542,0.557,0.556,0.525,0.544,0.554,0.558,0.525,0.538,0.556,0.545,0.523,0.544,0.549,0.545,0.545,0.545,0.559,0.556,0.544,0.545,0.559,0.562,0.529,0.543,0.556,0.559,0.502,0.54,0.555,0.56,0.514,0.539,0.554,0.555,0.508,0.532,0.553,0.558,0.511
corel5k,0.0137,0.00783,0.00667,0.0055,0.00933,0.0248,0.013,0.00883,0.0198,0.0307,0.0235,0.0222,0.0155,0.024,0.0172,0.0187,0.0202,0.0273,0.0228,0.0235,0.0198,0.0292,0.0237,0.0308,0.0242,0.0327,0.029,0.032,0.0385,0.037,0.0312,0.0365,0.0188,0.0395,0.0132,0.0142,0.0222,0.0295,0.0115,0.0103,0.027,0.0202,0.013,0.0167,0.0362,0.014,0.014,0.0222,0.0308,0.0192,0.0232,0.0257,0.0232,0.0272,0.0242,0.0135,0.0385,0.0293,0.0162,0.0233,0.0443,0.0333,0.0328,0.0355,0.02,0.0342,0.033,0.0302,0.0168,0.0315,0.0095,0.00983,0.0215,0.031,0.0132,0.0163,0.0257,0.0128,0.00983,0.0117,0.0173,0.0247,0.014,0.021,0.0162,0.0322,0.022,0.0153,0.0212,0.0348,0.0208,0.0208,0.0223,0.036,0.029,0.0277,0.0128
delicious,0.125,0.113,0.0994,0.089,0.103,0.0985,0.0861,0.0699,0.108,0.102,0.0769,0.049,0.112,0.0989,0.0589,0.047,0.112,0.0999,0.0593,0.0467,0.115,0.102,0.0542,0.0468,0.115,0.103,0.0535,0.047,0.116,0.103,0.0484,0.046,0.117,0.107,0.101,0.093,0.104,0.105,0.0838,0.08,0.107,0.109,0.0729,0.0693,0.11,0.107,0.0674,0.0535,0.111,0.107,0.0675,0.0526,0.114,0.107,0.0674,0.0511,0.115,0.108,0.0572,0.0507,0.116,0.107,0.0556,0.064,0.117,0.104,0.0994,0.0948,0.106,0.104,0.0826,0.0833,0.107,0.105,0.0748,0.0659,0.109,0.105,0.075,0.0631,0.11,0.107,0.0671,0.0615,0.113,0.108,0.0592,0.0593,0.114,0.11,0.0553,0.0599,0.116,0.111,0.0571,0.0587,0.117
emotions,0.62,0.636,0.645,0.625,0.616,0.601,0.611,0.594,0.605,0.576,0.578,0.56,0.583,0.557,0.591,0.588,0.583,0.587,0.609,0.606,0.596,0.562,0.616,0.597,0.581,0.577,0.613,0.592,0.611,0.578,0.615,0.592,0.59,0.634,0.614,0.607,0.603,0.603,0.649,0.611,0.613,0.561,0.62,0.606,0.587,0.543,0.629,0.602,0.582,0.551,0.604,0.615,0.596,0.543,0.618,0.619,0.573,0.562,0.63,0.607,0.583,0.581,0.611,0.599,0.586,0.63,0.627,0.635,0.616,0.612,0.638,0.641,0.59,0.596,0.647,0.644,0.617,0.578,0.666,0.655,0.62,0.588,0.634,0.642,0.606,0.579,0.63,0.643,0.607,0.596,0.626,0.639,0.629,0.587,0.64,0.63,0.625
enron,0.244,0.327,0.336,0.344,0.304,0.289,0.363,0.375,0.332,0.301,0.37,0.381,0.341,0.306,0.377,0.38,0.346,0.31,0.379,0.383,0.349,0.313,0.373,0.379,0.348,0.318,0.376,0.378,0.349,0.319,0.38,0.375,0.353,0.309,0.342,0.348,0.308,0.304,0.366,0.379,0.336,0.315,0.372,0.388,0.344,0.314,0.374,0.383,0.346,0.315,0.374,0.38,0.351,0.322,0.38,0.38,0.353,0.323,0.378,0.378,0.352,0.334,0.379,0.378,0.356,0.301,0.328,0.338,0.312,0.307,0.363,0.381,0.331,0.311,0.374,0.388,0.34,0.32,0.377,0.386,0.346,0.322,0.377,0.389,0.347,0.325,0.379,0.388,0.343,0.324,0.38,0.383,0.347,0.332,0.383,0.387,0.352
genbase,0.969,0.0653,0.0653,0.0653,0.0653,0.898,0.891,0.725,0.886,0.974,0.974,0.974,0.969,0.974,0.979,0.974,0.969,0.974,0.979,0.979,0.969,0.974,0.979,0.979,0.974,0.974,0.979,0.979,0.974,0.979,0.979,0.979,0.979,0.108,0.108,0.108,0.108,0.742,0.742,0.737,0.737,0.974,0.979,0.974,0.974,0.974,0.974,0.979,0.969,0.974,0.974,0.979,0.969,0.974,0.974,0.979,0.969,0.974,0.979,0.979,0.974,0.979,0.979,0.979,0.979,0.135,0.135,0.135,0.135,0.868,0.898,0.898,0.848,0.959,0.974,0.974,0.947,0.974,0.974,0.974,0.969,0.974,0.974,0.974,0.969,0.974,0.974,0.974,0.974,0.974,0.974,0.974,0.974,0.974,0.979,0.979,0.979
mediamill,0.483,0.485,0.486,0.486,0.486,0.486,0.486,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.488,0.487,0.487,0.488,0.487,0.487,0.488,0.487,0.488,0.486,0.488,0.486,0.487,0.486,0.487,0.486,0.487,0.486,0.486,0.486,0.486,0.486,0.486,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.486,0.487,0.487,0.488,0.486,0.488,0.487,0.487,0.486,0.487,0.487,0.487,0.485,0.486,0.486,0.486,0.486,0.487,0.487,0.487,0.487,0.486,0.487,0.488,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.486,0.488,0.487,0.487,0.486,0.488,0.487,0.487,0.486,0.487,0.487,0.487
medical,0.413,0.702,0.691,0.698,0.663,0.671,0.7,0.705,0.657,0.694,0.693,0.704,0.697,0.689,0.703,0.698,0.697,0.685,0.709,0.695,0.697,0.689,0.688,0.689,0.694,0.685,0.7,0.688,0.703,0.647,0.688,0.679,0.688,0.655,0.662,0.651,0.619,0.67,0.678,0.708,0.633,0.694,0.708,0.704,0.678,0.693,0.704,0.695,0.7,0.689,0.695,0.698,0.693,0.673,0.692,0.688,0.689,0.662,0.686,0.691,0.675,0.629,0.688,0.683,0.667,0.673,0.691,0.695,0.689,0.69,0.705,0.702,0.658,0.695,0.703,0.701,0.676,0.695,0.707,0.716,0.705,0.691,0.701,0.7,0.699,0.691,0.701,0.701,0.709,0.691,0.7,0.7,0.699,0.679,0.698,0.697,0.675
scene,0.569,0.524,0.525,0.52,0.519,0.436,0.434,0.425,0.442,0.41,0.395,0.391,0.418,0.405,0.401,0.401,0.429,0.402,0.395,0.389,0.418,0.406,0.402,0.397,0.427,0.426,0.415,0.416,0.439,0.428,0.425,0.411,0.444,0.519,0.526,0.522,0.532,0.438,0.436,0.435,0.435,0.429,0.424,0.432,0.426,0.427,0.418,0.418,0.431,0.423,0.411,0.4,0.429,0.429,0.414,0.404,0.434,0.44,0.428,0.417,0.448,0.442,0.42,0.408,0.442,0.511,0.51,0.505,0.515,0.429,0.425,0.411,0.439,0.403,0.394,0.388,0.421,0.395,0.381,0.385,0.415,0.392,0.378,0.375,0.414,0.394,0.395,0.393,0.413,0.408,0.398,0.395,0.419,0.408,0.395,0.385,0.404
