,baseline,It25Neigh1HammingLoss,It25Neigh1MLAccuracy,It25Neigh1MLFOne,It25Neigh1SubsetAccuracy,It25Neigh5HammingLoss,It25Neigh5MLAccuracy,It25Neigh5MLFOne,It25Neigh5SubsetAccuracy,It25Neigh10HammingLoss,It25Neigh10MLAccuracy,It25Neigh10MLFOne,It25Neigh10SubsetAccuracy,It25Neigh15HammingLoss,It25Neigh15MLAccuracy,It25Neigh15MLFOne,It25Neigh15SubsetAccuracy,It25Neigh20HammingLoss,It25Neigh20MLAccuracy,It25Neigh20MLFOne,It25Neigh20SubsetAccuracy,It25Neigh25HammingLoss,It25Neigh25MLAccuracy,It25Neigh25MLFOne,It25Neigh25SubsetAccuracy,It25Neigh30HammingLoss,It25Neigh30MLAccuracy,It25Neigh30MLFOne,It25Neigh30SubsetAccuracy,It25Neigh40HammingLoss,It25Neigh40MLAccuracy,It25Neigh40MLFOne,It25Neigh40SubsetAccuracy,It50Neigh1HammingLoss,It50Neigh1MLAccuracy,It50Neigh1MLFOne,It50Neigh1SubsetAccuracy,It50Neigh5HammingLoss,It50Neigh5MLAccuracy,It50Neigh5MLFOne,It50Neigh5SubsetAccuracy,It50Neigh10HammingLoss,It50Neigh10MLAccuracy,It50Neigh10MLFOne,It50Neigh10SubsetAccuracy,It50Neigh15HammingLoss,It50Neigh15MLAccuracy,It50Neigh15MLFOne,It50Neigh15SubsetAccuracy,It50Neigh20HammingLoss,It50Neigh20MLAccuracy,It50Neigh20MLFOne,It50Neigh20SubsetAccuracy,It50Neigh25HammingLoss,It50Neigh25MLAccuracy,It50Neigh25MLFOne,It50Neigh25SubsetAccuracy,It50Neigh30HammingLoss,It50Neigh30MLAccuracy,It50Neigh30MLFOne,It50Neigh30SubsetAccuracy,It50Neigh40HammingLoss,It50Neigh40MLAccuracy,It50Neigh40MLFOne,It50Neigh40SubsetAccuracy,It100Neigh1HammingLoss,It100Neigh1MLAccuracy,It100Neigh1MLFOne,It100Neigh1SubsetAccuracy,It100Neigh5HammingLoss,It100Neigh5MLAccuracy,It100Neigh5MLFOne,It100Neigh5SubsetAccuracy,It100Neigh10HammingLoss,It100Neigh10MLAccuracy,It100Neigh10MLFOne,It100Neigh10SubsetAccuracy,It100Neigh15HammingLoss,It100Neigh15MLAccuracy,It100Neigh15MLFOne,It100Neigh15SubsetAccuracy,It100Neigh20HammingLoss,It100Neigh20MLAccuracy,It100Neigh20MLFOne,It100Neigh20SubsetAccuracy,It100Neigh25HammingLoss,It100Neigh25MLAccuracy,It100Neigh25MLFOne,It100Neigh25SubsetAccuracy,It100Neigh30HammingLoss,It100Neigh30MLAccuracy,It100Neigh30MLFOne,It100Neigh30SubsetAccuracy,It100Neigh40HammingLoss,It100Neigh40MLAccuracy,It100Neigh40MLFOne,It100Neigh40SubsetAccuracy
bibtex,0.837,0.753,0.798,0.801,0.645,0.757,0.852,0.876,0.695,0.836,0.884,0.91,0.732,0.857,0.873,0.922,0.751,0.865,0.904,0.941,0.765,0.857,0.908,0.931,0.769,0.861,0.92,0.951,0.781,0.868,0.929,0.948,0.797,0.527,0.805,0.793,0.715,0.732,0.844,0.835,0.727,0.81,0.877,0.881,0.748,0.8,0.892,0.908,0.735,0.815,0.899,0.925,0.766,0.813,0.905,0.927,0.775,0.839,0.919,0.936,0.787,0.877,0.936,0.948,0.801,0.577,0.801,0.798,0.784,0.721,0.829,0.831,0.727,0.782,0.867,0.875,0.751,0.813,0.893,0.905,0.745,0.797,0.916,0.911,0.753,0.8,0.918,0.927,0.768,0.808,0.918,0.932,0.773,0.824,0.923,0.937,0.782
birds,0.646,0.667,0.646,0.633,0.736,0.791,0.6,0.583,0.682,0.797,0.622,0.606,0.723,0.821,0.644,0.628,0.726,0.766,0.667,0.66,0.767,0.803,0.711,0.677,0.803,0.781,0.709,0.692,0.767,0.794,0.726,0.693,0.762,0.704,0.658,0.598,0.701,0.697,0.67,0.622,0.725,0.684,0.714,0.677,0.739,0.718,0.727,0.705,0.821,0.75,0.735,0.716,0.804,0.788,0.756,0.713,0.821,0.839,0.806,0.744,0.784,0.842,0.859,0.829,0.796,0.776,0.656,0.632,0.83,0.716,0.688,0.67,0.765,0.754,0.713,0.692,0.785,0.776,0.723,0.705,0.8,0.839,0.808,0.723,0.784,0.81,0.814,0.735,0.8,0.839,0.818,0.784,0.769,0.843,0.812,0.826,0.78
corel5k,0.568,0.652,0.812,0.733,0.5,0.458,0.24,0.242,0.371,0.268,0.25,0.221,0.284,0.393,0.2,0.223,0.311,0.276,0.238,0.23,0.364,0.295,0.233,0.257,0.274,0.289,0.236,0.239,0.239,0.279,0.238,0.242,0.382,0.333,0.462,0.397,0.541,0.375,0.404,0.284,0.243,0.38,0.205,0.207,0.244,0.215,0.209,0.229,0.272,0.337,0.237,0.273,0.297,0.412,0.23,0.179,0.188,0.368,0.153,0.2,0.189,0.32,0.195,0.209,0.248,0.324,0.254,0.323,0.518,0.297,0.305,0.346,0.266,0.277,0.247,0.25,0.243,0.193,0.178,0.21,0.209,0.323,0.225,0.215,0.248,0.316,0.229,0.172,0.248,0.311,0.186,0.195,0.253,0.29,0.207,0.221,0.263
delicious,0.609,0.597,0.582,0.568,0.587,0.611,0.558,0.546,0.594,0.604,0.554,0.515,0.598,0.602,0.551,0.517,0.597,0.598,0.552,0.523,0.593,0.605,0.54,0.527,0.594,0.602,0.529,0.515,0.596,0.604,0.53,0.526,0.596,0.592,0.568,0.549,0.594,0.595,0.553,0.495,0.593,0.593,0.519,0.508,0.596,0.59,0.529,0.521,0.599,0.594,0.519,0.526,0.596,0.594,0.523,0.534,0.6,0.594,0.543,0.533,0.601,0.593,0.542,0.451,0.601,0.577,0.568,0.561,0.586,0.6,0.526,0.511,0.594,0.6,0.517,0.516,0.594,0.59,0.515,0.512,0.596,0.59,0.519,0.505,0.597,0.592,0.537,0.493,0.593,0.595,0.531,0.495,0.592,0.597,0.53,0.495,0.59
emotions,0.762,0.744,0.744,0.743,0.758,0.733,0.73,0.725,0.74,0.718,0.707,0.692,0.756,0.727,0.715,0.703,0.754,0.749,0.726,0.705,0.74,0.749,0.733,0.721,0.745,0.751,0.728,0.721,0.743,0.737,0.728,0.719,0.731,0.728,0.713,0.71,0.729,0.736,0.723,0.706,0.745,0.718,0.699,0.696,0.764,0.719,0.721,0.702,0.744,0.72,0.718,0.706,0.741,0.713,0.725,0.716,0.727,0.716,0.713,0.706,0.724,0.727,0.72,0.701,0.74,0.736,0.731,0.726,0.736,0.748,0.755,0.737,0.739,0.744,0.74,0.719,0.764,0.735,0.733,0.724,0.751,0.741,0.715,0.711,0.741,0.732,0.716,0.706,0.746,0.724,0.71,0.702,0.738,0.718,0.719,0.704,0.737
enron,0.647,0.66,0.678,0.669,0.664,0.624,0.674,0.665,0.647,0.608,0.687,0.68,0.656,0.626,0.69,0.678,0.657,0.62,0.68,0.688,0.663,0.61,0.681,0.692,0.655,0.621,0.684,0.697,0.654,0.615,0.691,0.686,0.66,0.633,0.662,0.657,0.655,0.619,0.667,0.659,0.662,0.629,0.673,0.674,0.655,0.633,0.664,0.679,0.656,0.631,0.664,0.683,0.66,0.633,0.673,0.681,0.661,0.634,0.667,0.679,0.656,0.636,0.672,0.678,0.655,0.62,0.653,0.652,0.634,0.626,0.653,0.654,0.644,0.626,0.664,0.673,0.66,0.635,0.664,0.68,0.663,0.638,0.671,0.678,0.661,0.636,0.669,0.681,0.655,0.636,0.671,0.678,0.652,0.639,0.674,0.69,0.66
genbase,1.0,1.0,1.0,1.0,1.0,0.922,0.921,0.978,0.92,0.974,0.966,0.962,0.966,1.0,1.0,0.996,0.996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.958,1.0,1.0,1.0,1.0,1.0,0.995,0.995,1.0,0.989,1.0,1.0,0.996,1.0,0.996,0.996,1.0,0.996,0.996,1.0,1.0,0.996,0.996,1.0,1.0,0.996,0.996,1.0,1.0,1.0,1.0,1.0,0.962,1.0,0.905,0.905,0.905,0.905,0.904,0.93,0.93,0.887,0.987,0.996,0.996,0.987,0.996,0.996,0.996,0.996,1.0,1.0,1.0,0.996,1.0,1.0,1.0,0.996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mediamill,0.72,0.722,0.723,0.723,0.722,0.722,0.722,0.723,0.722,0.723,0.723,0.723,0.722,0.722,0.724,0.724,0.722,0.722,0.724,0.724,0.722,0.722,0.724,0.724,0.722,0.722,0.724,0.724,0.722,0.722,0.724,0.724,0.722,0.722,0.723,0.724,0.722,0.722,0.722,0.723,0.722,0.723,0.723,0.723,0.722,0.722,0.723,0.724,0.722,0.722,0.723,0.724,0.722,0.722,0.724,0.724,0.723,0.722,0.724,0.724,0.722,0.722,0.724,0.724,0.722,0.723,0.724,0.724,0.722,0.723,0.723,0.723,0.722,0.723,0.723,0.723,0.723,0.722,0.723,0.724,0.722,0.721,0.724,0.724,0.721,0.722,0.724,0.724,0.722,0.722,0.724,0.724,0.722,0.722,0.724,0.724,0.722
medical,0.828,0.823,0.82,0.822,0.809,0.772,0.802,0.805,0.783,0.799,0.813,0.818,0.803,0.819,0.812,0.823,0.824,0.822,0.825,0.827,0.826,0.826,0.823,0.823,0.824,0.834,0.825,0.813,0.835,0.815,0.785,0.774,0.838,0.809,0.808,0.808,0.772,0.801,0.811,0.832,0.762,0.833,0.833,0.828,0.812,0.843,0.844,0.836,0.846,0.84,0.844,0.849,0.846,0.843,0.843,0.837,0.845,0.835,0.837,0.837,0.838,0.826,0.832,0.834,0.836,0.82,0.824,0.821,0.831,0.802,0.809,0.802,0.769,0.819,0.817,0.811,0.8,0.827,0.82,0.819,0.827,0.834,0.826,0.823,0.839,0.833,0.818,0.826,0.839,0.826,0.816,0.816,0.837,0.836,0.803,0.815,0.827
scene,0.808,0.765,0.766,0.76,0.76,0.706,0.713,0.722,0.715,0.725,0.712,0.715,0.717,0.719,0.713,0.715,0.712,0.701,0.705,0.697,0.696,0.701,0.695,0.699,0.707,0.719,0.705,0.706,0.72,0.71,0.707,0.711,0.71,0.778,0.779,0.78,0.778,0.727,0.735,0.741,0.716,0.734,0.733,0.737,0.712,0.72,0.714,0.722,0.71,0.705,0.709,0.706,0.712,0.706,0.7,0.704,0.704,0.719,0.71,0.716,0.723,0.716,0.707,0.703,0.71,0.763,0.766,0.761,0.767,0.731,0.727,0.733,0.722,0.722,0.717,0.719,0.703,0.709,0.702,0.717,0.702,0.691,0.697,0.695,0.71,0.709,0.71,0.707,0.703,0.714,0.708,0.705,0.714,0.707,0.705,0.689,0.698
tmc2007-500,0.758,0.729,0.725,0.726,0.714,0.728,0.732,0.728,0.712,0.726,0.725,0.718,0.714,0.724,0.723,0.718,0.717,0.721,0.721,0.718,0.715,0.72,0.719,0.714,0.713,0.719,0.717,0.714,0.715,0.721,0.716,0.712,0.715,0.736,0.727,0.72,0.717,0.728,0.726,0.722,0.715,0.726,0.72,0.72,0.713,0.721,0.72,0.715,0.711,0.722,0.718,0.714,0.712,0.724,0.718,0.715,0.713,0.722,0.716,0.711,0.713,0.722,0.713,0.709,0.712,0.734,0.728,0.723,0.72,0.731,0.725,0.722,0.712,0.725,0.72,0.717,0.713,0.722,0.719,0.715,0.712,0.721,0.716,0.716,0.715,0.719,0.714,0.712,0.712,0.719,0.715,0.711,0.713,0.717,0.715,0.709,0.712
yeast,0.713,0.707,0.697,0.693,0.706,0.708,0.706,0.704,0.708,0.7,0.701,0.7,0.708,0.71,0.699,0.698,0.706,0.709,0.701,0.703,0.708,0.714,0.709,0.703,0.709,0.713,0.709,0.703,0.71,0.706,0.709,0.709,0.711,0.705,0.699,0.701,0.706,0.71,0.704,0.702,0.703,0.709,0.7,0.7,0.705,0.71,0.705,0.701,0.707,0.711,0.705,0.706,0.709,0.713,0.706,0.709,0.709,0.713,0.711,0.708,0.71,0.715,0.713,0.711,0.711,0.704,0.709,0.704,0.704,0.704,0.702,0.699,0.709,0.712,0.704,0.699,0.707,0.71,0.705,0.702,0.711,0.711,0.705,0.703,0.714,0.716,0.707,0.705,0.713,0.712,0.708,0.708,0.713,0.71,0.707,0.708,0.71
zbookmarks,0.868,0.844,0.841,0.838,0.837,0.843,0.834,0.835,0.838,0.841,0.835,0.834,0.836,0.841,0.836,0.837,0.838,0.839,0.837,0.837,0.838,0.839,0.836,0.836,0.838,0.839,0.836,0.834,0.838,0.84,0.836,0.834,0.837,0.846,0.839,0.834,0.838,0.842,0.835,0.834,0.835,0.842,0.834,0.834,0.834,0.841,0.835,0.835,0.837,0.839,0.837,0.835,0.837,0.839,0.837,0.834,0.837,0.839,0.837,0.834,0.838,0.84,0.837,0.834,0.839,0.844,0.838,0.834,0.838,0.844,0.835,0.835,0.836,0.843,0.838,0.836,0.836,0.841,0.836,0.835,0.838,0.842,0.837,0.836,0.838,0.84,0.837,0.836,0.84,0.839,0.838,0.835,0.839,0.841,0.838,0.833,0.84
Arts1,0.926,0.275,0.264,0.268,0.26,0.373,0.278,0.276,0.297,0.322,0.274,0.284,0.28,0.308,0.279,0.283,0.284,0.303,0.277,0.281,0.282,0.318,0.3,0.293,0.293,0.321,0.302,0.298,0.304,0.307,0.292,0.289,0.307,0.292,0.281,0.277,0.272,0.311,0.288,0.288,0.438,0.315,0.3,0.303,0.307,0.308,0.313,0.294,0.302,0.305,0.301,0.301,0.296,0.297,0.314,0.311,0.311,0.319,0.3,0.304,0.294,0.301,0.299,0.305,0.292,0.284,0.273,0.275,0.279,0.349,0.288,0.29,0.326,0.299,0.302,0.294,0.298,0.302,0.305,0.305,0.306,0.3,0.298,0.293,0.306,0.304,0.301,0.286,0.295,0.302,0.306,0.306,0.293,0.296,0.284,0.292,0.289
Business1,0.861,0.86,0.861,0.859,0.86,0.863,0.864,0.863,0.864,0.863,0.864,0.863,0.865,0.863,0.864,0.864,0.864,0.863,0.864,0.864,0.865,0.861,0.864,0.864,0.865,0.861,0.863,0.863,0.865,0.861,0.864,0.864,0.865,0.861,0.86,0.861,0.861,0.865,0.864,0.865,0.864,0.863,0.864,0.864,0.864,0.863,0.865,0.865,0.865,0.863,0.864,0.865,0.865,0.863,0.864,0.864,0.865,0.863,0.864,0.866,0.865,0.863,0.864,0.865,0.866,0.862,0.859,0.856,0.862,0.865,0.864,0.863,0.864,0.863,0.864,0.863,0.864,0.863,0.864,0.864,0.865,0.862,0.864,0.863,0.865,0.863,0.863,0.863,0.865,0.863,0.864,0.863,0.866,0.863,0.864,0.864,0.866
