,baseline,It25Neigh1HammingLoss,It25Neigh1MLAccuracy,It25Neigh1MLFOne,It25Neigh1SubsetAccuracy,It25Neigh5HammingLoss,It25Neigh5MLAccuracy,It25Neigh5MLFOne,It25Neigh5SubsetAccuracy,It25Neigh10HammingLoss,It25Neigh10MLAccuracy,It25Neigh10MLFOne,It25Neigh10SubsetAccuracy,It25Neigh15HammingLoss,It25Neigh15MLAccuracy,It25Neigh15MLFOne,It25Neigh15SubsetAccuracy,It25Neigh20HammingLoss,It25Neigh20MLAccuracy,It25Neigh20MLFOne,It25Neigh20SubsetAccuracy,It25Neigh25HammingLoss,It25Neigh25MLAccuracy,It25Neigh25MLFOne,It25Neigh25SubsetAccuracy,It25Neigh30HammingLoss,It25Neigh30MLAccuracy,It25Neigh30MLFOne,It25Neigh30SubsetAccuracy,It25Neigh40HammingLoss,It25Neigh40MLAccuracy,It25Neigh40MLFOne,It25Neigh40SubsetAccuracy,It50Neigh1HammingLoss,It50Neigh1MLAccuracy,It50Neigh1MLFOne,It50Neigh1SubsetAccuracy,It50Neigh5HammingLoss,It50Neigh5MLAccuracy,It50Neigh5MLFOne,It50Neigh5SubsetAccuracy,It50Neigh10HammingLoss,It50Neigh10MLAccuracy,It50Neigh10MLFOne,It50Neigh10SubsetAccuracy,It50Neigh15HammingLoss,It50Neigh15MLAccuracy,It50Neigh15MLFOne,It50Neigh15SubsetAccuracy,It50Neigh20HammingLoss,It50Neigh20MLAccuracy,It50Neigh20MLFOne,It50Neigh20SubsetAccuracy,It50Neigh25HammingLoss,It50Neigh25MLAccuracy,It50Neigh25MLFOne,It50Neigh25SubsetAccuracy,It50Neigh30HammingLoss,It50Neigh30MLAccuracy,It50Neigh30MLFOne,It50Neigh30SubsetAccuracy,It50Neigh40HammingLoss,It50Neigh40MLAccuracy,It50Neigh40MLFOne,It50Neigh40SubsetAccuracy,It100Neigh1HammingLoss,It100Neigh1MLAccuracy,It100Neigh1MLFOne,It100Neigh1SubsetAccuracy,It100Neigh5HammingLoss,It100Neigh5MLAccuracy,It100Neigh5MLFOne,It100Neigh5SubsetAccuracy,It100Neigh10HammingLoss,It100Neigh10MLAccuracy,It100Neigh10MLFOne,It100Neigh10SubsetAccuracy,It100Neigh15HammingLoss,It100Neigh15MLAccuracy,It100Neigh15MLFOne,It100Neigh15SubsetAccuracy,It100Neigh20HammingLoss,It100Neigh20MLAccuracy,It100Neigh20MLFOne,It100Neigh20SubsetAccuracy,It100Neigh25HammingLoss,It100Neigh25MLAccuracy,It100Neigh25MLFOne,It100Neigh25SubsetAccuracy,It100Neigh30HammingLoss,It100Neigh30MLAccuracy,It100Neigh30MLFOne,It100Neigh30SubsetAccuracy,It100Neigh40HammingLoss,It100Neigh40MLAccuracy,It100Neigh40MLFOne,It100Neigh40SubsetAccuracy
bibtex,0.0519,0.0639,0.0747,0.0758,0.0373,0.0734,0.0786,0.0802,0.0781,0.0729,0.0807,0.0838,0.0827,0.0781,0.0827,0.0831,0.0831,0.0779,0.0827,0.083,0.0835,0.0812,0.082,0.0812,0.0804,0.0827,0.0818,0.0814,0.0797,0.0814,0.0812,0.0805,0.0799,0.0734,0.0781,0.0788,0.0596,0.0761,0.0781,0.0809,0.0794,0.0765,0.081,0.0835,0.082,0.0801,0.0817,0.0831,0.082,0.0838,0.0815,0.0823,0.0818,0.0856,0.0807,0.0822,0.0812,0.0848,0.0812,0.0815,0.0822,0.0836,0.0814,0.0823,0.0825,0.0729,0.0823,0.0809,0.0709,0.0758,0.0799,0.0825,0.0838,0.0781,0.0817,0.0841,0.0843,0.0822,0.0818,0.0835,0.0844,0.0862,0.0812,0.0835,0.0833,0.088,0.0823,0.083,0.083,0.0903,0.0818,0.0823,0.0838,0.091,0.0822,0.0828,0.083
birds,0.099,0.198,0.198,0.198,0.169,0.169,0.201,0.201,0.185,0.176,0.195,0.192,0.192,0.176,0.185,0.189,0.195,0.189,0.198,0.198,0.179,0.182,0.204,0.201,0.169,0.182,0.195,0.201,0.147,0.173,0.195,0.195,0.153,0.16,0.16,0.157,0.15,0.169,0.195,0.195,0.185,0.166,0.208,0.201,0.163,0.163,0.204,0.214,0.147,0.163,0.195,0.201,0.144,0.166,0.189,0.198,0.147,0.15,0.185,0.185,0.128,0.153,0.176,0.185,0.125,0.144,0.195,0.192,0.125,0.169,0.204,0.195,0.166,0.166,0.198,0.201,0.163,0.166,0.192,0.198,0.141,0.15,0.189,0.192,0.0927,0.15,0.182,0.195,0.102,0.15,0.173,0.185,0.0958,0.137,0.166,0.182,0.102
corel5k,0.0142,0.00851,0.00737,0.00624,0.00964,0.025,0.013,0.00908,0.0187,0.0295,0.0233,0.0216,0.0153,0.0238,0.017,0.0187,0.0182,0.0272,0.0227,0.0227,0.0182,0.0289,0.0238,0.0312,0.0227,0.0323,0.0295,0.0329,0.0357,0.0363,0.0312,0.0357,0.0164,0.038,0.0136,0.0142,0.0227,0.0289,0.0119,0.0108,0.025,0.0199,0.013,0.017,0.0357,0.0147,0.0136,0.0216,0.0301,0.0193,0.0227,0.0267,0.0233,0.0267,0.0244,0.0142,0.0374,0.0284,0.0164,0.0238,0.0431,0.0329,0.0318,0.0329,0.0176,0.0335,0.0323,0.0295,0.0164,0.0306,0.0102,0.0102,0.021,0.0295,0.013,0.0164,0.0255,0.013,0.0102,0.0119,0.0182,0.0244,0.0142,0.021,0.0159,0.0312,0.0221,0.0142,0.0216,0.0346,0.021,0.0216,0.0227,0.0357,0.0289,0.0267,0.0113
delicious,0.118,0.109,0.0932,0.0814,0.0955,0.0979,0.0795,0.0633,0.1,0.101,0.0704,0.0406,0.103,0.0987,0.0511,0.0383,0.104,0.0985,0.0516,0.0379,0.107,0.101,0.046,0.0381,0.108,0.102,0.0458,0.0385,0.109,0.101,0.0399,0.0377,0.11,0.104,0.0946,0.086,0.0971,0.105,0.0784,0.0766,0.0994,0.108,0.067,0.0653,0.102,0.107,0.0607,0.0446,0.104,0.106,0.0602,0.0439,0.107,0.107,0.06,0.0424,0.108,0.108,0.0486,0.0419,0.108,0.107,0.0469,0.0556,0.11,0.102,0.0939,0.0894,0.0982,0.104,0.0764,0.0775,0.0997,0.105,0.0688,0.059,0.102,0.105,0.0686,0.0555,0.103,0.107,0.06,0.0534,0.105,0.108,0.0518,0.0507,0.107,0.11,0.0468,0.0513,0.109,0.111,0.0483,0.05,0.11
emotions,0.634,0.642,0.657,0.637,0.622,0.607,0.624,0.609,0.607,0.574,0.581,0.574,0.581,0.554,0.591,0.594,0.576,0.584,0.617,0.617,0.599,0.554,0.619,0.609,0.579,0.581,0.617,0.602,0.609,0.581,0.624,0.604,0.586,0.649,0.637,0.632,0.619,0.609,0.659,0.632,0.617,0.554,0.639,0.627,0.591,0.539,0.642,0.619,0.584,0.549,0.624,0.632,0.596,0.541,0.634,0.627,0.581,0.556,0.647,0.619,0.586,0.581,0.632,0.617,0.591,0.642,0.639,0.652,0.629,0.617,0.649,0.654,0.596,0.596,0.664,0.662,0.624,0.584,0.674,0.672,0.629,0.589,0.649,0.659,0.609,0.576,0.652,0.662,0.612,0.599,0.644,0.654,0.634,0.581,0.654,0.644,0.624
enron,0.191,0.274,0.287,0.295,0.253,0.24,0.319,0.33,0.283,0.243,0.329,0.341,0.292,0.247,0.333,0.34,0.294,0.251,0.334,0.341,0.298,0.256,0.328,0.334,0.296,0.261,0.332,0.337,0.298,0.262,0.336,0.335,0.303,0.254,0.29,0.297,0.26,0.252,0.319,0.33,0.29,0.262,0.327,0.346,0.296,0.261,0.328,0.342,0.297,0.262,0.329,0.338,0.301,0.269,0.335,0.336,0.303,0.27,0.334,0.333,0.303,0.28,0.335,0.337,0.307,0.249,0.276,0.286,0.259,0.253,0.315,0.334,0.281,0.258,0.33,0.345,0.292,0.269,0.332,0.342,0.296,0.271,0.333,0.346,0.298,0.274,0.336,0.344,0.294,0.275,0.335,0.34,0.297,0.284,0.338,0.345,0.301
genbase,0.931,0.0694,0.0694,0.0694,0.0694,0.873,0.857,0.722,0.845,0.935,0.935,0.935,0.931,0.935,0.939,0.935,0.931,0.935,0.939,0.939,0.931,0.935,0.939,0.939,0.935,0.935,0.939,0.939,0.935,0.939,0.939,0.939,0.939,0.11,0.11,0.11,0.11,0.747,0.747,0.743,0.743,0.935,0.939,0.935,0.935,0.935,0.935,0.939,0.931,0.935,0.935,0.939,0.931,0.935,0.935,0.939,0.931,0.935,0.939,0.939,0.935,0.939,0.939,0.939,0.939,0.155,0.155,0.155,0.155,0.849,0.873,0.873,0.833,0.922,0.935,0.935,0.91,0.935,0.935,0.935,0.931,0.935,0.935,0.935,0.931,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.939,0.939,0.939
mediamill,0.447,0.449,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.451,0.451,0.451,0.451,0.45,0.451,0.451,0.451,0.45,0.451,0.451,0.451,0.45,0.451,0.451,0.451,0.45,0.451,0.451,0.451,0.45,0.451,0.45,0.45,0.45,0.45,0.45,0.449,0.45,0.45,0.45,0.45,0.45,0.45,0.451,0.451,0.45,0.451,0.451,0.451,0.45,0.451,0.451,0.451,0.449,0.451,0.451,0.451,0.45,0.451,0.451,0.451,0.449,0.451,0.451,0.451,0.449,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.451,0.45,0.451,0.451,0.45,0.451,0.451,0.451,0.45,0.451,0.451,0.451,0.449,0.451,0.451,0.451,0.45,0.451,0.451,0.451,0.449,0.451,0.451,0.451
medical,0.392,0.677,0.665,0.672,0.627,0.622,0.667,0.67,0.603,0.665,0.665,0.677,0.663,0.67,0.684,0.679,0.663,0.665,0.687,0.675,0.67,0.67,0.667,0.667,0.672,0.663,0.677,0.667,0.679,0.632,0.665,0.655,0.667,0.608,0.615,0.605,0.56,0.624,0.636,0.675,0.574,0.67,0.682,0.682,0.629,0.667,0.684,0.672,0.67,0.667,0.672,0.675,0.672,0.653,0.667,0.663,0.667,0.644,0.663,0.665,0.655,0.615,0.663,0.66,0.648,0.641,0.66,0.667,0.658,0.66,0.679,0.679,0.605,0.67,0.682,0.679,0.632,0.677,0.687,0.694,0.675,0.672,0.679,0.677,0.675,0.67,0.679,0.679,0.687,0.67,0.677,0.677,0.677,0.66,0.675,0.675,0.653
scene,0.554,0.509,0.508,0.505,0.503,0.421,0.419,0.41,0.429,0.398,0.383,0.379,0.406,0.394,0.392,0.391,0.417,0.391,0.385,0.379,0.406,0.396,0.393,0.39,0.415,0.415,0.406,0.406,0.426,0.416,0.413,0.401,0.431,0.507,0.513,0.509,0.517,0.425,0.422,0.422,0.42,0.416,0.413,0.42,0.413,0.416,0.406,0.406,0.419,0.411,0.399,0.39,0.418,0.416,0.403,0.395,0.422,0.428,0.417,0.407,0.434,0.429,0.408,0.399,0.429,0.495,0.495,0.491,0.499,0.416,0.413,0.4,0.424,0.393,0.386,0.379,0.407,0.387,0.373,0.376,0.402,0.383,0.37,0.366,0.403,0.386,0.385,0.385,0.402,0.398,0.389,0.386,0.408,0.4,0.386,0.376,0.395
