,baseline,It25Neigh1HammingLoss,It25Neigh1MLAccuracy,It25Neigh1MLFOne,It25Neigh1SubsetAccuracy,It25Neigh5HammingLoss,It25Neigh5MLAccuracy,It25Neigh5MLFOne,It25Neigh5SubsetAccuracy,It25Neigh10HammingLoss,It25Neigh10MLAccuracy,It25Neigh10MLFOne,It25Neigh10SubsetAccuracy,It25Neigh15HammingLoss,It25Neigh15MLAccuracy,It25Neigh15MLFOne,It25Neigh15SubsetAccuracy,It25Neigh20HammingLoss,It25Neigh20MLAccuracy,It25Neigh20MLFOne,It25Neigh20SubsetAccuracy,It25Neigh25HammingLoss,It25Neigh25MLAccuracy,It25Neigh25MLFOne,It25Neigh25SubsetAccuracy,It25Neigh30HammingLoss,It25Neigh30MLAccuracy,It25Neigh30MLFOne,It25Neigh30SubsetAccuracy,It25Neigh40HammingLoss,It25Neigh40MLAccuracy,It25Neigh40MLFOne,It25Neigh40SubsetAccuracy,It50Neigh1HammingLoss,It50Neigh1MLAccuracy,It50Neigh1MLFOne,It50Neigh1SubsetAccuracy,It50Neigh5HammingLoss,It50Neigh5MLAccuracy,It50Neigh5MLFOne,It50Neigh5SubsetAccuracy,It50Neigh10HammingLoss,It50Neigh10MLAccuracy,It50Neigh10MLFOne,It50Neigh10SubsetAccuracy,It50Neigh15HammingLoss,It50Neigh15MLAccuracy,It50Neigh15MLFOne,It50Neigh15SubsetAccuracy,It50Neigh20HammingLoss,It50Neigh20MLAccuracy,It50Neigh20MLFOne,It50Neigh20SubsetAccuracy,It50Neigh25HammingLoss,It50Neigh25MLAccuracy,It50Neigh25MLFOne,It50Neigh25SubsetAccuracy,It50Neigh30HammingLoss,It50Neigh30MLAccuracy,It50Neigh30MLFOne,It50Neigh30SubsetAccuracy,It50Neigh40HammingLoss,It50Neigh40MLAccuracy,It50Neigh40MLFOne,It50Neigh40SubsetAccuracy,It100Neigh1HammingLoss,It100Neigh1MLAccuracy,It100Neigh1MLFOne,It100Neigh1SubsetAccuracy,It100Neigh5HammingLoss,It100Neigh5MLAccuracy,It100Neigh5MLFOne,It100Neigh5SubsetAccuracy,It100Neigh10HammingLoss,It100Neigh10MLAccuracy,It100Neigh10MLFOne,It100Neigh10SubsetAccuracy,It100Neigh15HammingLoss,It100Neigh15MLAccuracy,It100Neigh15MLFOne,It100Neigh15SubsetAccuracy,It100Neigh20HammingLoss,It100Neigh20MLAccuracy,It100Neigh20MLFOne,It100Neigh20SubsetAccuracy,It100Neigh25HammingLoss,It100Neigh25MLAccuracy,It100Neigh25MLFOne,It100Neigh25SubsetAccuracy,It100Neigh30HammingLoss,It100Neigh30MLAccuracy,It100Neigh30MLFOne,It100Neigh30SubsetAccuracy,It100Neigh40HammingLoss,It100Neigh40MLAccuracy,It100Neigh40MLFOne,It100Neigh40SubsetAccuracy
bibtex,0.243,0.187,0.166,0.166,0.236,0.187,0.167,0.162,0.197,0.179,0.159,0.156,0.185,0.172,0.152,0.157,0.177,0.185,0.146,0.15,0.171,0.186,0.151,0.158,0.176,0.179,0.152,0.157,0.175,0.186,0.155,0.162,0.175,0.27,0.157,0.161,0.21,0.193,0.162,0.165,0.184,0.178,0.159,0.158,0.181,0.188,0.155,0.157,0.188,0.184,0.149,0.152,0.181,0.188,0.153,0.156,0.181,0.187,0.154,0.156,0.175,0.179,0.154,0.162,0.172,0.247,0.152,0.163,0.186,0.19,0.155,0.16,0.182,0.181,0.155,0.155,0.177,0.188,0.151,0.154,0.179,0.198,0.148,0.155,0.181,0.198,0.151,0.159,0.176,0.2,0.157,0.164,0.172,0.188,0.161,0.169,0.169
birds,0.211,0.189,0.204,0.207,0.186,0.195,0.238,0.245,0.217,0.186,0.232,0.248,0.211,0.173,0.226,0.241,0.201,0.183,0.214,0.223,0.173,0.189,0.207,0.207,0.161,0.192,0.198,0.204,0.17,0.18,0.192,0.198,0.18,0.195,0.214,0.235,0.192,0.207,0.226,0.241,0.198,0.22,0.195,0.214,0.192,0.217,0.201,0.207,0.167,0.204,0.198,0.22,0.183,0.189,0.176,0.204,0.173,0.167,0.173,0.183,0.186,0.161,0.161,0.173,0.186,0.176,0.198,0.217,0.173,0.192,0.204,0.217,0.189,0.195,0.207,0.207,0.161,0.198,0.198,0.217,0.17,0.167,0.176,0.192,0.189,0.176,0.164,0.183,0.198,0.164,0.158,0.18,0.195,0.183,0.173,0.161,0.183
corel5k,0.214,0.234,0.202,0.194,0.232,0.266,0.26,0.24,0.27,0.32,0.348,0.342,0.254,0.314,0.34,0.344,0.278,0.338,0.356,0.33,0.262,0.316,0.346,0.362,0.296,0.336,0.352,0.362,0.352,0.338,0.354,0.368,0.252,0.326,0.226,0.236,0.21,0.334,0.226,0.258,0.314,0.284,0.334,0.374,0.38,0.334,0.336,0.346,0.318,0.312,0.368,0.36,0.272,0.264,0.356,0.35,0.384,0.302,0.368,0.366,0.394,0.314,0.398,0.394,0.278,0.302,0.284,0.276,0.236,0.332,0.256,0.248,0.27,0.316,0.32,0.328,0.288,0.318,0.318,0.332,0.27,0.312,0.344,0.37,0.29,0.336,0.376,0.368,0.288,0.334,0.37,0.352,0.29,0.338,0.366,0.372,0.276
delicious,0.361,0.352,0.402,0.407,0.386,0.284,0.421,0.446,0.379,0.348,0.431,0.344,0.382,0.293,0.408,0.333,0.379,0.338,0.407,0.331,0.373,0.337,0.424,0.424,0.373,0.326,0.431,0.439,0.37,0.326,0.435,0.435,0.376,0.368,0.397,0.426,0.379,0.342,0.423,0.484,0.384,0.342,0.488,0.487,0.374,0.345,0.473,0.346,0.374,0.347,0.477,0.337,0.386,0.34,0.482,0.429,0.378,0.341,0.334,0.427,0.372,0.342,0.335,0.585,0.37,0.406,0.405,0.431,0.383,0.343,0.464,0.484,0.379,0.346,0.478,0.487,0.372,0.35,0.477,0.491,0.377,0.353,0.48,0.494,0.371,0.347,0.411,0.497,0.376,0.347,0.405,0.502,0.378,0.34,0.344,0.501,0.382
emotions,0.248,0.297,0.282,0.297,0.287,0.297,0.267,0.262,0.302,0.302,0.292,0.302,0.332,0.282,0.277,0.302,0.317,0.277,0.267,0.292,0.302,0.267,0.272,0.277,0.302,0.262,0.272,0.272,0.322,0.292,0.292,0.272,0.302,0.282,0.312,0.312,0.292,0.257,0.277,0.307,0.272,0.287,0.252,0.277,0.322,0.307,0.267,0.302,0.307,0.297,0.262,0.277,0.277,0.312,0.277,0.257,0.292,0.312,0.277,0.243,0.307,0.292,0.238,0.267,0.302,0.277,0.287,0.282,0.272,0.292,0.272,0.277,0.307,0.282,0.252,0.292,0.267,0.282,0.262,0.272,0.287,0.292,0.252,0.257,0.302,0.297,0.252,0.262,0.312,0.287,0.257,0.272,0.307,0.287,0.272,0.272,0.302
enron,0.354,0.335,0.318,0.326,0.356,0.396,0.316,0.313,0.361,0.421,0.282,0.283,0.33,0.408,0.282,0.282,0.339,0.413,0.28,0.306,0.332,0.411,0.302,0.285,0.337,0.394,0.301,0.288,0.332,0.402,0.297,0.278,0.321,0.363,0.33,0.347,0.339,0.392,0.295,0.304,0.339,0.39,0.275,0.269,0.335,0.378,0.282,0.276,0.335,0.385,0.295,0.282,0.326,0.385,0.285,0.283,0.328,0.38,0.297,0.278,0.33,0.385,0.288,0.266,0.339,0.389,0.354,0.351,0.38,0.396,0.333,0.306,0.371,0.39,0.292,0.294,0.337,0.387,0.287,0.299,0.333,0.378,0.294,0.292,0.321,0.378,0.288,0.294,0.335,0.383,0.282,0.294,0.337,0.373,0.29,0.285,0.33
genbase,0.0,0.276,0.276,0.276,0.276,0.0804,0.0854,0.0905,0.0804,0.00503,0.00503,0.00503,0.01,0.00503,0.0,0.00503,0.01,0.00503,0.0,0.0,0.01,0.00503,0.0,0.0,0.00503,0.00503,0.0,0.0,0.00503,0.0,0.0,0.0,0.0,0.286,0.286,0.286,0.286,0.0804,0.0804,0.0804,0.0854,0.00503,0.0,0.00503,0.00503,0.00503,0.00503,0.0,0.01,0.00503,0.0,0.0,0.01,0.00503,0.00503,0.0,0.00503,0.00503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.327,0.322,0.322,0.327,0.111,0.0804,0.0804,0.131,0.0201,0.00503,0.00503,0.0302,0.00503,0.00503,0.00503,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.00503,0.0,0.0,0.00503,0.0,0.0,0.0,0.0,0.0
mediamill,0.185,0.184,0.185,0.185,0.184,0.184,0.185,0.185,0.185,0.184,0.185,0.184,0.184,0.183,0.184,0.184,0.184,0.182,0.184,0.183,0.184,0.182,0.183,0.184,0.183,0.182,0.183,0.184,0.184,0.182,0.183,0.184,0.183,0.184,0.185,0.184,0.184,0.183,0.185,0.184,0.184,0.184,0.186,0.185,0.184,0.183,0.185,0.184,0.184,0.182,0.184,0.184,0.184,0.183,0.183,0.183,0.184,0.183,0.183,0.183,0.183,0.184,0.183,0.183,0.183,0.184,0.185,0.185,0.185,0.183,0.185,0.184,0.185,0.184,0.185,0.185,0.184,0.182,0.185,0.184,0.184,0.182,0.184,0.184,0.185,0.182,0.184,0.183,0.184,0.182,0.183,0.183,0.184,0.182,0.183,0.184,0.184
medical,0.297,0.18,0.177,0.177,0.213,0.24,0.204,0.213,0.243,0.201,0.192,0.177,0.198,0.198,0.198,0.177,0.198,0.195,0.18,0.18,0.192,0.18,0.198,0.192,0.192,0.174,0.174,0.195,0.186,0.225,0.201,0.222,0.177,0.21,0.213,0.21,0.27,0.21,0.195,0.177,0.261,0.195,0.177,0.171,0.21,0.18,0.168,0.177,0.177,0.177,0.159,0.15,0.177,0.18,0.165,0.168,0.174,0.192,0.171,0.171,0.198,0.222,0.168,0.177,0.183,0.204,0.192,0.192,0.189,0.198,0.183,0.192,0.237,0.189,0.183,0.183,0.204,0.183,0.177,0.171,0.18,0.183,0.186,0.189,0.171,0.18,0.192,0.174,0.171,0.18,0.183,0.183,0.174,0.168,0.198,0.192,0.186
scene,0.275,0.303,0.304,0.309,0.307,0.353,0.346,0.336,0.342,0.341,0.357,0.348,0.345,0.334,0.339,0.329,0.334,0.335,0.339,0.348,0.339,0.346,0.346,0.352,0.339,0.319,0.337,0.329,0.324,0.33,0.329,0.333,0.32,0.278,0.278,0.278,0.276,0.334,0.333,0.328,0.343,0.325,0.331,0.327,0.338,0.327,0.34,0.333,0.339,0.343,0.335,0.333,0.33,0.335,0.343,0.341,0.335,0.324,0.328,0.336,0.315,0.331,0.329,0.339,0.324,0.299,0.299,0.305,0.291,0.339,0.339,0.333,0.344,0.335,0.336,0.322,0.347,0.339,0.351,0.332,0.335,0.355,0.355,0.353,0.325,0.344,0.339,0.334,0.334,0.33,0.34,0.338,0.317,0.338,0.341,0.363,0.339
