,baseline,It25Neigh1HammingLoss,It25Neigh1MLAccuracy,It25Neigh1MLFOne,It25Neigh1SubsetAccuracy,It25Neigh5HammingLoss,It25Neigh5MLAccuracy,It25Neigh5MLFOne,It25Neigh5SubsetAccuracy,It25Neigh10HammingLoss,It25Neigh10MLAccuracy,It25Neigh10MLFOne,It25Neigh10SubsetAccuracy,It25Neigh15HammingLoss,It25Neigh15MLAccuracy,It25Neigh15MLFOne,It25Neigh15SubsetAccuracy,It25Neigh20HammingLoss,It25Neigh20MLAccuracy,It25Neigh20MLFOne,It25Neigh20SubsetAccuracy,It25Neigh25HammingLoss,It25Neigh25MLAccuracy,It25Neigh25MLFOne,It25Neigh25SubsetAccuracy,It25Neigh30HammingLoss,It25Neigh30MLAccuracy,It25Neigh30MLFOne,It25Neigh30SubsetAccuracy,It25Neigh40HammingLoss,It25Neigh40MLAccuracy,It25Neigh40MLFOne,It25Neigh40SubsetAccuracy,It50Neigh1HammingLoss,It50Neigh1MLAccuracy,It50Neigh1MLFOne,It50Neigh1SubsetAccuracy,It50Neigh5HammingLoss,It50Neigh5MLAccuracy,It50Neigh5MLFOne,It50Neigh5SubsetAccuracy,It50Neigh10HammingLoss,It50Neigh10MLAccuracy,It50Neigh10MLFOne,It50Neigh10SubsetAccuracy,It50Neigh15HammingLoss,It50Neigh15MLAccuracy,It50Neigh15MLFOne,It50Neigh15SubsetAccuracy,It50Neigh20HammingLoss,It50Neigh20MLAccuracy,It50Neigh20MLFOne,It50Neigh20SubsetAccuracy,It50Neigh25HammingLoss,It50Neigh25MLAccuracy,It50Neigh25MLFOne,It50Neigh25SubsetAccuracy,It50Neigh30HammingLoss,It50Neigh30MLAccuracy,It50Neigh30MLFOne,It50Neigh30SubsetAccuracy,It50Neigh40HammingLoss,It50Neigh40MLAccuracy,It50Neigh40MLFOne,It50Neigh40SubsetAccuracy,It100Neigh1HammingLoss,It100Neigh1MLAccuracy,It100Neigh1MLFOne,It100Neigh1SubsetAccuracy,It100Neigh5HammingLoss,It100Neigh5MLAccuracy,It100Neigh5MLFOne,It100Neigh5SubsetAccuracy,It100Neigh10HammingLoss,It100Neigh10MLAccuracy,It100Neigh10MLFOne,It100Neigh10SubsetAccuracy,It100Neigh15HammingLoss,It100Neigh15MLAccuracy,It100Neigh15MLFOne,It100Neigh15SubsetAccuracy,It100Neigh20HammingLoss,It100Neigh20MLAccuracy,It100Neigh20MLFOne,It100Neigh20SubsetAccuracy,It100Neigh25HammingLoss,It100Neigh25MLAccuracy,It100Neigh25MLFOne,It100Neigh25SubsetAccuracy,It100Neigh30HammingLoss,It100Neigh30MLAccuracy,It100Neigh30MLFOne,It100Neigh30SubsetAccuracy,It100Neigh40HammingLoss,It100Neigh40MLAccuracy,It100Neigh40MLFOne,It100Neigh40SubsetAccuracy
bibtex,0.0155,0.0294,0.0278,0.029,0.0274,0.0282,0.033,0.0322,0.0394,0.0258,0.0346,0.0378,0.0425,0.0286,0.0382,0.039,0.0418,0.0274,0.0386,0.0382,0.0421,0.0322,0.0374,0.0362,0.0394,0.0362,0.0382,0.0366,0.039,0.0358,0.037,0.0362,0.0374,0.0449,0.0334,0.0318,0.0374,0.0318,0.0314,0.033,0.0382,0.0306,0.0362,0.0378,0.0425,0.035,0.037,0.0374,0.0418,0.0386,0.0354,0.037,0.0402,0.039,0.0346,0.0366,0.0394,0.0386,0.0354,0.0362,0.0394,0.039,0.0366,0.0374,0.039,0.0418,0.039,0.0366,0.0429,0.0302,0.0334,0.0338,0.0469,0.0322,0.0346,0.039,0.0457,0.0374,0.0374,0.0382,0.0453,0.039,0.0374,0.0374,0.0425,0.0386,0.0374,0.0362,0.041,0.0402,0.037,0.0362,0.0414,0.0421,0.0378,0.0374,0.041
birds,0.492,0.502,0.498,0.498,0.505,0.505,0.489,0.48,0.489,0.505,0.489,0.495,0.505,0.502,0.489,0.492,0.505,0.505,0.495,0.492,0.502,0.505,0.508,0.495,0.495,0.508,0.502,0.505,0.489,0.505,0.502,0.505,0.489,0.502,0.489,0.486,0.495,0.505,0.486,0.486,0.498,0.502,0.502,0.489,0.505,0.502,0.505,0.502,0.495,0.505,0.505,0.502,0.505,0.505,0.508,0.502,0.505,0.502,0.511,0.508,0.489,0.505,0.508,0.511,0.489,0.502,0.495,0.489,0.489,0.502,0.489,0.486,0.502,0.505,0.505,0.498,0.502,0.505,0.508,0.508,0.492,0.505,0.508,0.508,0.474,0.502,0.508,0.508,0.486,0.502,0.511,0.508,0.48,0.495,0.511,0.511,0.48
corel5k,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.002,0.0,0.0,0.002,0.006,0.0,0.0,0.004,0.01,0.0,0.0,0.01,0.008,0.0,0.002,0.006,0.002,0.0,0.0,0.002,0.006,0.0,0.0,0.002,0.006,0.0,0.0,0.004,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.008,0.008,0.0,0.0,0.012,0.008,0.0,0.002,0.004,0.006,0.002,0.002,0.002,0.006,0.0,0.0,0.002,0.01,0.0,0.0,0.002,0.0,0.0,0.0,0.004,0.002,0.0,0.0,0.0,0.006,0.0,0.002,0.004,0.008,0.0,0.0,0.002,0.008,0.0,0.0,0.0
delicious,0.00251,0.00251,0.00126,0.00126,0.00251,0.00251,0.00157,0.00126,0.00283,0.00251,0.00126,0.00188,0.00283,0.00251,0.0022,0.0022,0.00283,0.00251,0.0022,0.0022,0.00251,0.00251,0.0022,0.0022,0.00251,0.0022,0.0022,0.0022,0.00251,0.0022,0.0022,0.0022,0.00251,0.0022,0.00126,0.0022,0.00314,0.00188,0.00157,0.00157,0.00283,0.00251,0.00126,0.00157,0.00283,0.00251,0.00126,0.00157,0.00283,0.00251,0.00157,0.00157,0.00283,0.00251,0.00157,0.00188,0.00283,0.0022,0.0022,0.00188,0.00283,0.00188,0.00188,0.00126,0.00283,0.00157,0.00126,0.00126,0.00283,0.00251,0.00157,0.00126,0.00283,0.0022,0.00126,0.00126,0.00251,0.00188,0.00126,0.00126,0.00251,0.00188,0.00126,0.00126,0.00283,0.00188,0.00188,0.00126,0.00283,0.0022,0.0022,0.00157,0.00283,0.0022,0.00188,0.00126,0.00251
emotions,0.302,0.317,0.327,0.327,0.317,0.257,0.262,0.267,0.292,0.243,0.238,0.248,0.257,0.238,0.272,0.257,0.252,0.248,0.272,0.277,0.277,0.233,0.282,0.267,0.233,0.277,0.267,0.252,0.267,0.282,0.282,0.252,0.262,0.297,0.292,0.257,0.292,0.282,0.307,0.287,0.307,0.233,0.277,0.267,0.277,0.228,0.282,0.267,0.272,0.252,0.277,0.272,0.248,0.223,0.292,0.277,0.257,0.233,0.277,0.252,0.262,0.252,0.267,0.262,0.262,0.292,0.277,0.297,0.292,0.307,0.317,0.312,0.287,0.252,0.317,0.322,0.307,0.257,0.332,0.332,0.282,0.262,0.297,0.297,0.272,0.252,0.307,0.312,0.302,0.267,0.292,0.312,0.307,0.257,0.297,0.302,0.287
enron,0.107,0.119,0.116,0.117,0.112,0.107,0.119,0.123,0.116,0.123,0.121,0.123,0.119,0.123,0.123,0.116,0.124,0.126,0.126,0.123,0.126,0.124,0.126,0.123,0.128,0.128,0.124,0.119,0.123,0.13,0.126,0.119,0.124,0.112,0.121,0.121,0.117,0.117,0.119,0.128,0.117,0.121,0.112,0.121,0.116,0.121,0.116,0.121,0.123,0.121,0.123,0.123,0.128,0.121,0.126,0.126,0.128,0.124,0.123,0.126,0.124,0.131,0.124,0.123,0.124,0.114,0.126,0.123,0.119,0.117,0.123,0.131,0.116,0.121,0.123,0.128,0.123,0.124,0.123,0.131,0.124,0.126,0.126,0.13,0.124,0.126,0.124,0.131,0.124,0.124,0.126,0.131,0.124,0.126,0.13,0.128,0.128
genbase,0.95,0.0553,0.0553,0.0553,0.0553,0.874,0.864,0.698,0.859,0.94,0.935,0.935,0.935,0.955,0.96,0.955,0.95,0.955,0.96,0.96,0.95,0.955,0.96,0.96,0.955,0.955,0.96,0.96,0.955,0.96,0.96,0.91,0.96,0.0905,0.0905,0.0905,0.0905,0.724,0.724,0.719,0.719,0.955,0.96,0.955,0.955,0.955,0.955,0.96,0.95,0.955,0.955,0.96,0.95,0.955,0.955,0.96,0.95,0.955,0.96,0.96,0.955,0.96,0.96,0.915,0.96,0.116,0.116,0.116,0.116,0.849,0.879,0.879,0.829,0.94,0.955,0.955,0.93,0.955,0.955,0.955,0.95,0.955,0.955,0.955,0.95,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.96,0.96,0.96
mediamill,0.108,0.109,0.111,0.111,0.11,0.111,0.111,0.112,0.111,0.11,0.111,0.111,0.112,0.11,0.111,0.112,0.113,0.11,0.111,0.112,0.112,0.11,0.112,0.111,0.111,0.11,0.112,0.111,0.111,0.11,0.111,0.111,0.111,0.111,0.111,0.112,0.111,0.111,0.112,0.112,0.112,0.11,0.112,0.111,0.112,0.11,0.111,0.112,0.112,0.11,0.111,0.111,0.111,0.109,0.111,0.112,0.111,0.109,0.111,0.111,0.111,0.11,0.111,0.111,0.111,0.11,0.111,0.112,0.111,0.11,0.111,0.112,0.111,0.11,0.112,0.111,0.112,0.109,0.111,0.111,0.111,0.109,0.111,0.111,0.111,0.109,0.111,0.111,0.111,0.109,0.111,0.111,0.111,0.11,0.111,0.111,0.111
medical,0.366,0.619,0.61,0.616,0.592,0.598,0.616,0.625,0.589,0.607,0.607,0.613,0.61,0.601,0.619,0.613,0.61,0.598,0.619,0.61,0.616,0.601,0.604,0.604,0.61,0.604,0.613,0.601,0.625,0.571,0.601,0.595,0.61,0.583,0.592,0.58,0.559,0.601,0.604,0.628,0.571,0.613,0.622,0.616,0.61,0.613,0.616,0.607,0.616,0.604,0.607,0.61,0.607,0.589,0.61,0.604,0.601,0.583,0.604,0.607,0.592,0.55,0.607,0.601,0.583,0.604,0.61,0.616,0.613,0.61,0.616,0.616,0.592,0.613,0.616,0.616,0.604,0.604,0.619,0.628,0.625,0.601,0.613,0.61,0.616,0.607,0.616,0.616,0.625,0.607,0.616,0.616,0.616,0.595,0.613,0.616,0.595
scene,0.539,0.497,0.5,0.496,0.495,0.415,0.413,0.405,0.421,0.387,0.373,0.37,0.395,0.383,0.376,0.376,0.406,0.379,0.371,0.366,0.392,0.381,0.375,0.37,0.403,0.402,0.39,0.39,0.414,0.404,0.401,0.386,0.419,0.488,0.496,0.492,0.503,0.413,0.411,0.41,0.414,0.403,0.398,0.407,0.405,0.401,0.395,0.394,0.405,0.399,0.387,0.375,0.402,0.405,0.39,0.38,0.408,0.414,0.401,0.392,0.423,0.416,0.395,0.383,0.417,0.486,0.483,0.477,0.491,0.405,0.401,0.386,0.417,0.379,0.368,0.363,0.4,0.37,0.355,0.36,0.392,0.367,0.353,0.35,0.39,0.369,0.371,0.367,0.388,0.383,0.373,0.369,0.393,0.382,0.37,0.36,0.378
