,baseline,It25Neigh1HammingLoss,It25Neigh1MLAccuracy,It25Neigh1MLFOne,It25Neigh1SubsetAccuracy,It25Neigh5HammingLoss,It25Neigh5MLAccuracy,It25Neigh5MLFOne,It25Neigh5SubsetAccuracy,It25Neigh10HammingLoss,It25Neigh10MLAccuracy,It25Neigh10MLFOne,It25Neigh10SubsetAccuracy,It25Neigh15HammingLoss,It25Neigh15MLAccuracy,It25Neigh15MLFOne,It25Neigh15SubsetAccuracy,It25Neigh20HammingLoss,It25Neigh20MLAccuracy,It25Neigh20MLFOne,It25Neigh20SubsetAccuracy,It25Neigh25HammingLoss,It25Neigh25MLAccuracy,It25Neigh25MLFOne,It25Neigh25SubsetAccuracy,It25Neigh30HammingLoss,It25Neigh30MLAccuracy,It25Neigh30MLFOne,It25Neigh30SubsetAccuracy,It25Neigh40HammingLoss,It25Neigh40MLAccuracy,It25Neigh40MLFOne,It25Neigh40SubsetAccuracy,It50Neigh1HammingLoss,It50Neigh1MLAccuracy,It50Neigh1MLFOne,It50Neigh1SubsetAccuracy,It50Neigh5HammingLoss,It50Neigh5MLAccuracy,It50Neigh5MLFOne,It50Neigh5SubsetAccuracy,It50Neigh10HammingLoss,It50Neigh10MLAccuracy,It50Neigh10MLFOne,It50Neigh10SubsetAccuracy,It50Neigh15HammingLoss,It50Neigh15MLAccuracy,It50Neigh15MLFOne,It50Neigh15SubsetAccuracy,It50Neigh20HammingLoss,It50Neigh20MLAccuracy,It50Neigh20MLFOne,It50Neigh20SubsetAccuracy,It50Neigh25HammingLoss,It50Neigh25MLAccuracy,It50Neigh25MLFOne,It50Neigh25SubsetAccuracy,It50Neigh30HammingLoss,It50Neigh30MLAccuracy,It50Neigh30MLFOne,It50Neigh30SubsetAccuracy,It50Neigh40HammingLoss,It50Neigh40MLAccuracy,It50Neigh40MLFOne,It50Neigh40SubsetAccuracy,It100Neigh1HammingLoss,It100Neigh1MLAccuracy,It100Neigh1MLFOne,It100Neigh1SubsetAccuracy,It100Neigh5HammingLoss,It100Neigh5MLAccuracy,It100Neigh5MLFOne,It100Neigh5SubsetAccuracy,It100Neigh10HammingLoss,It100Neigh10MLAccuracy,It100Neigh10MLFOne,It100Neigh10SubsetAccuracy,It100Neigh15HammingLoss,It100Neigh15MLAccuracy,It100Neigh15MLFOne,It100Neigh15SubsetAccuracy,It100Neigh20HammingLoss,It100Neigh20MLAccuracy,It100Neigh20MLFOne,It100Neigh20SubsetAccuracy,It100Neigh25HammingLoss,It100Neigh25MLAccuracy,It100Neigh25MLFOne,It100Neigh25SubsetAccuracy,It100Neigh30HammingLoss,It100Neigh30MLAccuracy,It100Neigh30MLFOne,It100Neigh30SubsetAccuracy,It100Neigh40HammingLoss,It100Neigh40MLAccuracy,It100Neigh40MLFOne,It100Neigh40SubsetAccuracy
bibtex,0.681,0.656,0.663,0.663,0.655,0.669,0.671,0.677,0.666,0.677,0.675,0.681,0.674,0.687,0.675,0.681,0.673,0.689,0.677,0.685,0.677,0.694,0.68,0.686,0.677,0.698,0.682,0.688,0.677,0.696,0.681,0.688,0.679,0.658,0.661,0.664,0.666,0.668,0.673,0.675,0.67,0.678,0.675,0.679,0.675,0.688,0.677,0.681,0.674,0.692,0.679,0.683,0.673,0.695,0.682,0.687,0.678,0.7,0.683,0.687,0.677,0.698,0.686,0.686,0.679,0.664,0.66,0.663,0.667,0.669,0.669,0.672,0.671,0.683,0.673,0.678,0.672,0.694,0.677,0.682,0.673,0.7,0.677,0.685,0.673,0.702,0.684,0.686,0.674,0.705,0.685,0.687,0.676,0.704,0.685,0.688,0.679
birds,0.815,0.821,0.833,0.832,0.812,0.831,0.832,0.832,0.837,0.826,0.83,0.833,0.827,0.822,0.832,0.832,0.823,0.822,0.832,0.832,0.808,0.815,0.825,0.831,0.807,0.815,0.821,0.825,0.815,0.811,0.818,0.824,0.802,0.822,0.83,0.828,0.817,0.833,0.829,0.83,0.824,0.823,0.835,0.835,0.814,0.822,0.834,0.834,0.814,0.812,0.824,0.832,0.81,0.811,0.827,0.831,0.814,0.811,0.816,0.826,0.808,0.808,0.813,0.814,0.81,0.803,0.823,0.826,0.819,0.818,0.834,0.832,0.816,0.826,0.833,0.834,0.813,0.817,0.825,0.83,0.827,0.816,0.818,0.823,0.806,0.816,0.817,0.823,0.809,0.814,0.829,0.83,0.803,0.815,0.827,0.815,0.795
corel5k,0.541,0.536,0.528,0.528,0.54,0.54,0.525,0.525,0.544,0.547,0.529,0.527,0.546,0.547,0.531,0.531,0.547,0.549,0.536,0.536,0.552,0.542,0.535,0.535,0.548,0.539,0.539,0.539,0.546,0.541,0.541,0.542,0.545,0.537,0.532,0.532,0.541,0.544,0.524,0.526,0.539,0.539,0.524,0.522,0.535,0.542,0.521,0.52,0.535,0.541,0.527,0.528,0.536,0.54,0.53,0.532,0.534,0.542,0.529,0.533,0.535,0.535,0.533,0.535,0.539,0.534,0.535,0.533,0.539,0.539,0.524,0.519,0.536,0.547,0.523,0.525,0.537,0.541,0.52,0.523,0.536,0.546,0.525,0.527,0.533,0.54,0.527,0.529,0.53,0.539,0.534,0.534,0.53,0.541,0.536,0.54,0.533
delicious,0.65,0.629,0.628,0.619,0.635,0.603,0.595,0.578,0.637,0.602,0.586,0.568,0.637,0.598,0.582,0.568,0.638,0.6,0.581,0.568,0.64,0.602,0.577,0.569,0.641,0.605,0.578,0.569,0.641,0.605,0.572,0.569,0.642,0.624,0.628,0.617,0.635,0.61,0.596,0.58,0.636,0.611,0.581,0.574,0.636,0.609,0.578,0.571,0.637,0.609,0.578,0.567,0.639,0.608,0.577,0.567,0.639,0.609,0.572,0.567,0.64,0.61,0.571,0.567,0.64,0.621,0.629,0.623,0.635,0.615,0.595,0.588,0.636,0.612,0.584,0.58,0.636,0.611,0.584,0.576,0.637,0.613,0.581,0.575,0.639,0.612,0.578,0.568,0.639,0.614,0.574,0.568,0.64,0.614,0.573,0.568,0.64
emotions,0.837,0.843,0.844,0.843,0.838,0.844,0.847,0.845,0.841,0.818,0.83,0.824,0.836,0.819,0.834,0.831,0.84,0.833,0.842,0.834,0.84,0.827,0.838,0.839,0.835,0.836,0.84,0.842,0.832,0.825,0.837,0.838,0.823,0.841,0.836,0.831,0.841,0.837,0.842,0.837,0.845,0.821,0.832,0.829,0.836,0.828,0.837,0.83,0.832,0.826,0.833,0.839,0.821,0.818,0.838,0.84,0.827,0.831,0.842,0.836,0.829,0.833,0.838,0.837,0.83,0.837,0.838,0.841,0.843,0.842,0.843,0.837,0.841,0.841,0.853,0.851,0.848,0.834,0.845,0.845,0.843,0.828,0.838,0.837,0.84,0.835,0.836,0.841,0.826,0.834,0.84,0.84,0.831,0.833,0.842,0.836,0.829
enron,0.626,0.634,0.63,0.633,0.625,0.636,0.642,0.645,0.638,0.633,0.638,0.64,0.64,0.632,0.634,0.64,0.639,0.627,0.635,0.64,0.642,0.628,0.636,0.638,0.64,0.629,0.636,0.642,0.637,0.631,0.636,0.635,0.637,0.63,0.631,0.631,0.631,0.629,0.643,0.637,0.638,0.631,0.641,0.635,0.639,0.631,0.64,0.638,0.636,0.63,0.641,0.636,0.637,0.632,0.642,0.633,0.637,0.634,0.638,0.634,0.634,0.635,0.637,0.633,0.633,0.625,0.635,0.634,0.627,0.629,0.647,0.64,0.634,0.633,0.634,0.646,0.633,0.628,0.64,0.64,0.629,0.634,0.641,0.64,0.629,0.634,0.64,0.641,0.631,0.636,0.64,0.641,0.628,0.637,0.637,0.636,0.635
genbase,0.889,0.646,0.646,0.646,0.646,0.862,0.862,0.858,0.862,0.887,0.887,0.887,0.885,0.887,0.887,0.887,0.887,0.887,0.887,0.887,0.887,0.887,0.887,0.887,0.887,0.887,0.887,0.887,0.887,0.87,0.87,0.87,0.887,0.748,0.748,0.748,0.748,0.881,0.881,0.881,0.881,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.888,0.889,0.889,0.889,0.888,0.889,0.763,0.763,0.763,0.763,0.886,0.886,0.886,0.885,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.888,0.889,0.889,0.888,0.888,0.889
mediamill,0.687,0.688,0.688,0.688,0.688,0.689,0.688,0.689,0.688,0.689,0.688,0.688,0.689,0.688,0.688,0.688,0.689,0.688,0.688,0.688,0.688,0.689,0.688,0.688,0.689,0.689,0.688,0.688,0.688,0.689,0.688,0.687,0.689,0.688,0.688,0.688,0.688,0.689,0.687,0.688,0.688,0.689,0.688,0.688,0.687,0.689,0.688,0.688,0.688,0.688,0.688,0.688,0.689,0.688,0.689,0.687,0.688,0.688,0.688,0.688,0.689,0.689,0.688,0.688,0.689,0.688,0.687,0.687,0.687,0.689,0.688,0.688,0.688,0.689,0.688,0.688,0.688,0.689,0.688,0.688,0.689,0.688,0.688,0.687,0.689,0.688,0.688,0.688,0.689,0.688,0.688,0.688,0.689,0.689,0.688,0.688,0.689
medical,0.728,0.74,0.74,0.737,0.729,0.744,0.745,0.742,0.74,0.738,0.74,0.735,0.743,0.745,0.749,0.749,0.742,0.744,0.748,0.748,0.744,0.743,0.744,0.746,0.743,0.742,0.739,0.738,0.742,0.737,0.737,0.738,0.738,0.735,0.734,0.734,0.742,0.741,0.741,0.742,0.736,0.746,0.74,0.739,0.742,0.748,0.739,0.742,0.743,0.741,0.742,0.741,0.742,0.741,0.738,0.738,0.744,0.735,0.735,0.735,0.74,0.737,0.734,0.736,0.738,0.755,0.754,0.752,0.736,0.742,0.745,0.743,0.738,0.745,0.738,0.74,0.737,0.747,0.743,0.74,0.742,0.75,0.741,0.743,0.737,0.744,0.742,0.741,0.735,0.739,0.732,0.734,0.736,0.738,0.739,0.739,0.74
scene,0.928,0.903,0.901,0.902,0.899,0.866,0.864,0.862,0.868,0.859,0.854,0.855,0.857,0.853,0.85,0.851,0.854,0.846,0.844,0.844,0.846,0.844,0.84,0.839,0.852,0.85,0.849,0.843,0.855,0.85,0.846,0.84,0.855,0.902,0.903,0.902,0.905,0.869,0.867,0.869,0.869,0.86,0.861,0.859,0.863,0.859,0.855,0.853,0.859,0.853,0.85,0.846,0.858,0.853,0.847,0.845,0.856,0.856,0.851,0.847,0.857,0.853,0.846,0.845,0.857,0.901,0.899,0.899,0.897,0.862,0.856,0.853,0.867,0.852,0.847,0.844,0.857,0.847,0.846,0.844,0.851,0.847,0.844,0.843,0.852,0.845,0.843,0.841,0.849,0.846,0.844,0.842,0.849,0.845,0.841,0.838,0.842
